36,0 3.580.082.432 6.000 596.680,0 584.800,0 579.392 2.545.696 79.616,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.569.545.536 6.000 594.924,0 584.800,0 580.256 2.444.544 70.129,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.572.835.648 6.000 595.472,0 584.704,0 580.512 2.824.576 74.421,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.608.523.040 6.000 601.420,0 584.192,0 579.936 2.484.320 86.585,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.630.562.144 6.000 605.093,0 585.312,0 580.928 2.425.600 100.909,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.587.342.528 6.000 597.890,0 584.480,0 580.000 2.426.336 85.728,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.567.868.864 6.000 594.644,0 584.416,0 579.712 2.430.016 76.967,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.569.123.392 6.000 594.853,0 584.448,0 580.576 2.450.880 67.592,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.654.119.456 6.000 609.019,0 584.608,0 580.096 3.210.752 126.209,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.580.954.144 6.000 596.825,0 584.608,0 580.448 2.496.320 68.537,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.607.558.432 6.000 601.259,0 584.720,0 580.256 3.025.664 103.633,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.659.380.992 6.000 609.896,0 584.256,0 578.976 3.089.248 127.585,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.573.893.056 6.000 595.648,0 584.032,0 579.232 3.000.096 84.686,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.579.240.416 6.000 596.540,0 584.864,0 580.640 2.565.856 81.377,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
