1.2 3035584 12 252965.3 272000.0 194240 309280 49617.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034752 12 252896.0 271824.0 193760 309216 49910.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035168 12 252930.7 271536.0 193664 309056 49736.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3041120 12 253426.7 272448.0 194080 309760 50121.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037536 12 253128.0 272192.0 193568 309696 50117.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3040352 12 253362.7 272944.0 193376 310336 50021.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034944 12 252912.0 271440.0 193856 310112 49880.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037984 12 253165.3 271584.0 194816 309824 49783.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036768 12 253064.0 272256.0 194240 309440 49829.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037568 12 253130.7 272400.0 193728 309312 49951.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034976 12 252914.7 271728.0 193120 309664 49924.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3040096 12 253341.3 271952.0 193856 309792 49956.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2360512 12 196709.3 215264.0 145568 244608 43329.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034080 12 252840.0 271760.0 193888 309504 49758.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034240 12 252853.3 271600.0 193696 309536 49997.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036128 12 253010.7 272112.0 193696 309664 49841.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2360352 12 196696.0 215376.0 145440 245024 43129.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036064 12 253005.3 271984.0 193952 309280 49805.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037024 12 253085.3 272272.0 193760 309248 49843.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038592 12 253216.0 272080.0 193984 309184 49797.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2361184 12 196765.3 215664.0 145696 244480 43207.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037056 12 253088.0 271584.0 193760 309664 49804.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
