8.6 20873376 12 1739448.0 522160.0 200640 8946528 2615591.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20902752 12 1741896.0 519280.0 200864 8953792 2617071.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20956384 12 1746365.3 521248.0 200864 8947776 2619146.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20873184 12 1739432.0 517760.0 199904 8955456 2617778.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20891456 12 1740954.7 518880.0 199936 8944032 2615211.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20658752 12 1721562.7 521424.0 196864 8943456 2621096.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20918080 12 1743173.3 520160.0 200192 8952512 2617057.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20887936 12 1740661.3 518608.0 200160 8940192 2614318.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20926528 12 1743877.3 519904.0 201184 8944288 2616055.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20908160 12 1742346.7 517760.0 201504 8941408 2616547.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20906784 12 1742232.0 520800.0 202880 8935648 2613706.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20907264 12 1742272.0 526064.0 200832 8941760 2614346.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20904128 12 1742010.7 523856.0 201280 8958720 2618649.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20900672 12 1741722.7 518672.0 200192 8951488 2617063.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20886016 12 1740501.3 519536.0 201760 8938976 2614519.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20905440 12 1742120.0 518992.0 199840 8941856 2615804.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20878400 12 1739866.7 519584.0 200864 8940480 2614510.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20904352 12 1742029.3 524096.0 201152 8958144 2618701.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.2 20980352 12 1748362.7 520944.0 200640 8956576 2619808.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20921440 12 1743453.3 520112.0 201792 8951424 2618307.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20904672 12 1742056.0 519840.0 200608 8948512 2617893.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20903648 12 1741970.7 516736.0 201888 8942976 2616300.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20951456 12 1745954.7 517408.0 200544 8942976 2616572.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20881440 12 1740120.0 521360.0 199136 8945536 2615663.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.6 20889024 12 1740752.0 516784.0 200640 8947936 2617476.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.2 20901888 12 1741824.0 517904.0 200224 8943520 2615846.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20903840 12 1741986.7 519856.0 200480 8944768 2615695.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.2 20896544 12 1741378.7 521824.0 201504 8938976 2614710.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20917184 12 1743098.7 523136.0 200960 8950016 2617398.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20909216 12 1742434.7 519888.0 201792 8946144 2616077.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20919200 12 1743266.7 521872.0 201824 8939936 2615655.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20931072 12 1744256.0 522672.0 201696 8942784 2616068.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20901280 12 1741773.3 520256.0 201216 8960416 2618629.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.1 20934112 12 1744509.3 523504.0 202496 8947168 2617535.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6.8 15938976 12 1328248.0 406272.0 153312 6711200 1962703.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20903200 12 1741933.3 522768.0 202016 8943520 2615575.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20889504 12 1740792.0 523472.0 201472 8942016 2615099.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20896544 12 1741378.7 524912.0 199712 8947648 2616499.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6.8 15905408 12 1325450.7 410672.0 153152 6704448 1958966.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20896256 12 1741354.7 515344.0 200928 8958112 2618786.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.1 20913856 12 1742821.3 524288.0 201184 8950976 2616837.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.6 20933792 12 1744482.7 521792.0 201504 8949472 2617425.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6.7 15917344 12 1326445.3 409168.0 153568 6720960 1963529.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.2 20854464 12 1737872.0 520592.0 201280 8946688 2615180.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6.6 15921248 12 1326770.7 411712.0 154080 6713888 1961424.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20904768 12 1742064.0 520928.0 199168 8952896 2618268.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.2 20327968 12 1693997.3 513648.0 198208 8946944 2614122.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20938944 12 1744912.0 521664.0 200704 8958336 2619921.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20919808 12 1743317.3 520784.0 200256 8956448 2618550.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6.7 15917472 12 1326456.0 407776.0 153952 6711328 1962136.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.1 20908800 12 1742400.0 523200.0 202016 8951680 2617326.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20914368 12 1742864.0 520048.0 201920 8958848 2619539.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
