2,0 13.513.024 2 6.756.512,0 6.756.512,0 6.056.480 7.456.544 989.994,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.040.032 2 5.520.016,0 5.520.016,0 5.515.168 5.524.864 6.856,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.994.048 2 6.497.024,0 6.497.024,0 5.549.536 7.444.512 1.339.950,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.818.240 2 7.409.120,0 7.409.120,0 7.380.768 7.437.472 40.095,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.047.904 2 5.523.952,0 5.523.952,0 5.519.488 5.528.416 6.313,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.667.232 2 6.333.616,0 6.333.616,0 5.572.512 7.094.720 1.076.363,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.044.672 2 5.522.336,0 5.522.336,0 5.519.648 5.525.024 3.801,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 14.878.304 2 7.439.152,0 7.439.152,0 7.425.664 7.452.640 19.074,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.065.312 2 5.532.656,0 5.532.656,0 5.520.960 5.544.352 16.540,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.901.312 2 6.450.656,0 6.450.656,0 5.558.912 7.342.400 1.261.116,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.976.800 2 6.488.400,0 6.488.400,0 5.577.824 7.398.976 1.287.748,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.050.080 2 6.525.040,0 6.525.040,0 5.588.096 7.461.984 1.325.038,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.820.800 2 7.410.400,0 7.410.400,0 7.379.488 7.441.312 43.716,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.035.328 2 5.517.664,0 5.517.664,0 5.514.272 5.521.056 4.797,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.806.112 2 7.403.056,0 7.403.056,0 7.336.544 7.469.568 94.062,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.878.848 2 7.439.424,0 7.439.424,0 7.431.584 7.447.264 11.087,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.053.312 2 5.526.656,0 5.526.656,0 5.522.880 5.530.432 5.340,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.887.360 2 7.443.680,0 7.443.680,0 7.429.632 7.457.728 19.866,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.144.352 2 5.572.176,0 5.572.176,0 5.560.352 5.584.000 16.721,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.036.096 2 5.518.048,0 5.518.048,0 5.514.080 5.522.016 5.611,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.896.224 2 6.448.112,0 6.448.112,0 5.545.024 7.351.200 1.277.159,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.129.536 2 5.564.768,0 5.564.768,0 5.551.552 5.577.984 18.690,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.073.280 2 5.536.640,0 5.536.640,0 5.515.680 5.557.600 29.641,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.942.016 2 6.471.008,0 6.471.008,0 5.553.952 7.388.064 1.296.913,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.992.768 2 6.496.384,0 6.496.384,0 5.553.536 7.439.232 1.333.388,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.006.144 2 6.503.072,0 6.503.072,0 5.572.000 7.434.144 1.316.734,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.052.672 2 6.526.336,0 6.526.336,0 5.562.624 7.490.048 1.362.894,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.122.848 2 5.561.424,0 5.561.424,0 5.557.696 5.565.152 5.272,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.988.224 2 6.494.112,0 6.494.112,0 5.557.376 7.430.848 1.324.744,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.038.880 2 6.519.440,0 6.519.440,0 5.564.864 7.474.016 1.349.974,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.898.976 2 6.449.488,0 6.449.488,0 5.564.096 7.334.880 1.252.133,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.051.776 2 5.525.888,0 5.525.888,0 5.522.176 5.529.600 5.249,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.969.440 2 6.484.720,0 6.484.720,0 5.577.568 7.391.872 1.282.906,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.025.760 2 5.512.880,0 5.512.880,0 5.512.736 5.513.024 203,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.031.328 2 6.515.664,0 6.515.664,0 5.560.384 7.470.944 1.350.969,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.022.720 2 6.511.360,0 6.511.360,0 5.563.168 7.459.552 1.340.946,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.957.920 2 6.978.960,0 6.978.960,0 6.491.456 7.466.464 689.434,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.041.760 2 5.520.880,0 5.520.880,0 5.509.600 5.532.160 15.952,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.955.168 2 6.477.584,0 6.477.584,0 5.593.696 7.361.472 1.250.006,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.118.688 2 5.559.344,0 5.559.344,0 5.555.584 5.563.104 5.317,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.954.048 2 6.477.024,0 6.477.024,0 5.573.056 7.380.992 1.278.403,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 12.970.912 2 6.485.456,0 6.485.456,0 5.561.248 7.409.664 1.307.027,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.937.760 2 7.468.880,0 7.468.880,0 7.464.608 7.473.152 6.041,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.109.440 2 5.554.720,0 5.554.720,0 5.526.880 5.582.560 39.371,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.256.000 2 5.628.000,0 5.628.000,0 5.561.248 5.694.752 94.401,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
