2,0 1.433.673.600 2.000 716.836,0 714.656,0 710.368 1.903.456 36.694,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.413.528.704 2.000 706.764,0 705.664,0 703.424 1.901.856 28.379,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.832.576 2.000 716.416,0 714.848,0 710.880 1.902.400 35.187,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.434.073.792 2.000 717.036,0 714.656,0 710.720 1.903.712 41.574,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.930.112 2.000 715.965,0 714.688,0 710.624 1.902.912 31.673,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.434.268.512 2.000 717.134,0 714.656,0 710.912 2.497.376 49.735,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.879.488 2.000 716.439,0 714.592,0 710.688 1.965.568 42.087,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.416.469.568 2.000 708.234,0 705.472,0 703.456 1.902.624 32.117,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.419.245.600 2.000 709.622,0 705.792,0 703.520 1.902.368 37.076,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.777.376 2.000 715.888,0 714.752,0 710.368 1.902.912 31.413,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.773.760 2.000 716.386,0 714.880,0 710.400 1.901.952 33.506,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.035.936 2.000 716.018,0 714.816,0 710.464 1.901.984 31.437,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.933.504 2.000 716.466,0 714.880,0 710.912 1.902.656 35.171,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.853.088 2.000 716.426,0 714.880,0 710.944 1.903.520 35.059,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.026.112 2.000 716.513,0 715.008,0 711.072 1.902.144 34.857,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.160.576 2.000 716.580,0 714.784,0 710.496 1.903.456 32.873,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.413.924.064 2.000 706.962,0 705.536,0 703.360 1.903.616 31.689,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.435.060.672 2.000 717.530,0 714.880,0 710.560 1.902.464 44.255,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.686.112 2.000 716.843,0 715.424,0 710.848 1.902.336 35.018,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.435.758.240 2.000 717.879,0 714.784,0 711.200 1.902.304 46.957,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.917.728 2.000 716.458,0 715.136,0 710.848 1.902.976 31.779,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.235.360 2.000 716.117,0 714.864,0 709.984 1.901.888 31.420,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.234.400 2.000 716.117,0 714.944,0 710.368 1.901.280 31.527,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.543.616 2.000 716.271,0 715.008,0 711.104 1.903.616 31.560,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.434.868.192 2.000 717.434,0 715.376,0 711.360 2.492.160 50.638,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.660.000 2.000 716.330,0 715.136,0 711.296 1.902.176 31.491,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.390.976 2.000 716.695,0 714.720,0 710.432 2.181.184 45.547,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.434.252.480 2.000 717.126,0 714.848,0 710.688 1.902.176 41.563,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.435.437.920 2.000 717.719,0 715.008,0 711.136 2.426.048 54.031,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.820.896 2.000 715.910,0 714.656,0 710.176 1.902.080 31.654,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.081.696 2.000 716.040,0 714.688,0 710.560 1.903.584 31.754,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.192.928 2.000 716.596,0 714.720,0 709.824 1.903.392 32.910,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.193.472 2.000 716.096,0 714.816,0 710.752 1.904.000 31.725,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.448.282.688 2.000 724.141,0 714.976,0 710.400 1.901.760 80.216,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.470.240 2.000 716.735,0 714.592,0 710.208 2.483.040 50.593,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.390.272 2.000 716.695,0 714.944,0 710.784 1.902.464 35.640,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.575.840 2.000 716.287,0 714.752,0 710.976 1.901.568 35.022,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.830.624 2.000 716.415,0 714.688,0 710.816 1.902.048 39.373,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.913.824 2.000 715.956,0 714.752,0 710.656 1.903.360 31.468,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.840.768 2.000 715.920,0 714.816,0 710.560 1.903.200 29.679,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.668.608 2.000 716.334,0 714.816,0 710.720 1.902.656 35.014,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.434.344.096 2.000 717.172,0 714.720,0 710.400 1.902.464 39.402,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.957.472 2.000 715.978,0 714.816,0 710.560 1.902.400 31.278,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.055.936 2.000 716.028,0 714.848,0 710.688 1.903.008 31.466,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.263.296 2.000 716.131,0 714.688,0 710.720 1.903.040 31.850,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.141.152 2.000 716.070,0 714.928,0 710.912 1.902.752 31.360,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.496.000 2.000 716.748,0 714.752,0 710.624 2.492.512 50.561,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.358.432 2.000 716.179,0 714.688,0 710.176 1.902.720 34.845,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.434.002.272 2.000 717.001,0 715.296,0 708.480 1.903.264 35.501,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.284.416 2.000 716.642,0 714.976,0 710.400 1.902.976 35.329,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.077.120 2.000 716.538,0 715.168,0 711.456 1.903.552 32.082,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.935.552 2.000 715.967,0 714.816,0 710.336 1.902.432 31.387,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.629.024 2.000 716.814,0 714.816,0 710.624 1.963.872 43.456,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.325.984 2.000 716.163,0 714.976,0 710.880 1.903.008 31.427,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.036.160 2.000 716.518,0 715.232,0 711.328 1.902.624 31.742,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.726.944 2.000 716.363,0 715.200,0 711.392 1.902.144 31.416,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
