1,0 874.331.424 6.000 145.721,0 145.408,0 144.032 344.224 6.519,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 881.519.200 6.000 146.919,0 145.824,0 144.288 1.620.576 22.576,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.634.944 6.000 145.939,0 145.632,0 144.224 340.256 6.907,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.189.952 6.000 146.198,0 145.920,0 144.672 333.280 5.617,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.079.168 6.000 145.846,0 145.600,0 144.224 335.008 5.503,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.658.432 6.000 146.276,0 145.984,0 144.512 337.280 5.655,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.351.744 6.000 145.892,0 145.504,0 142.592 337.024 6.972,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.702.304 6.000 146.450,0 145.984,0 144.576 338.368 7.296,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 862.668.800 6.000 143.778,0 143.552,0 141.728 336.224 5.078,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.022.624 6.000 146.503,0 146.144,0 143.328 341.984 7.405,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.180.480 6.000 146.363,0 145.536,0 144.224 1.916.352 24.587,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.750.592 6.000 145.791,0 145.536,0 143.968 338.272 5.565,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.457.280 6.000 146.409,0 146.080,0 144.640 337.504 5.448,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 873.045.088 6.000 145.507,0 145.280,0 143.328 344.928 5.601,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 869.402.784 6.000 144.900,0 144.448,0 142.528 346.944 5.223,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 867.432.000 6.000 144.572,0 143.808,0 141.824 374.528 8.366,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.031.232 6.000 146.005,0 145.792,0 144.512 345.312 5.618,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.937.120 6.000 145.989,0 145.728,0 144.480 340.832 5.495,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.890.272 6.000 145.981,0 145.792,0 144.576 336.064 4.934,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.060.864 6.000 145.843,0 145.504,0 144.096 338.720 6.918,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.801.344 6.000 145.966,0 145.664,0 142.592 342.848 6.944,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.428.448 6.000 146.404,0 146.112,0 144.896 349.696 6.604,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.495.744 6.000 146.082,0 145.728,0 144.256 336.480 6.230,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.928.608 6.000 144.321,0 144.064,0 142.240 335.040 5.572,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.226.944 6.000 146.204,0 145.568,0 144.288 337.920 10.259,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.988.992 6.000 146.164,0 145.888,0 144.480 348.352 6.575,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.022.560 6.000 146.337,0 145.632,0 144.096 337.600 10.802,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.701.888 6.000 146.117,0 145.856,0 144.384 346.464 5.623,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.692.896 6.000 145.948,0 145.696,0 144.224 331.264 5.412,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.652.192 6.000 145.942,0 145.728,0 143.232 339.392 4.993,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.156.480 6.000 146.359,0 145.824,0 144.384 1.919.648 23.544,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.330.528 6.000 146.221,0 145.984,0 144.384 336.512 5.479,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.355.072 6.000 145.725,0 145.504,0 144.256 344.128 5.510,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.040.128 6.000 146.173,0 145.888,0 144.512 345.856 6.136,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.965.152 6.000 146.160,0 145.632,0 144.064 339.232 9.306,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.553.056 6.000 146.425,0 146.048,0 144.672 344.992 7.762,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.351.392 6.000 145.891,0 145.664,0 144.352 337.408 5.530,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.576.160 6.000 146.262,0 145.984,0 144.704 342.336 5.631,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.022.080 6.000 146.003,0 145.664,0 144.096 341.280 5.800,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.952.800 6.000 146.325,0 146.080,0 144.672 344.448 5.109,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 887.079.296 6.000 147.846,0 145.440,0 143.904 338.944 20.624,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.498.400 6.000 145.749,0 145.472,0 144.032 334.432 5.964,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.210.016 6.000 146.201,0 145.856,0 144.544 345.280 6.612,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.769.536 6.000 146.128,0 145.792,0 144.416 347.200 6.928,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.799.584 6.000 145.966,0 145.728,0 144.000 337.536 5.495,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.853.984 6.000 146.142,0 145.920,0 144.224 343.648 5.562,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.796.896 6.000 145.966,0 145.792,0 144.512 333.824 4.626,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.377.696 6.000 146.229,0 145.920,0 144.608 346.720 6.990,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.161.568 6.000 146.026,0 145.440,0 144.096 342.624 8.952,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.953.280 6.000 145.992,0 145.728,0 144.416 339.328 6.002,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.055.328 6.000 146.509,0 146.336,0 144.160 333.120 4.928,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.957.952 6.000 145.993,0 145.696,0 144.384 338.784 5.158,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.757.952 6.000 146.459,0 146.272,0 145.024 337.184 4.902,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.159.200 6.000 146.026,0 145.792,0 143.008 340.960 5.527,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.658.464 6.000 146.109,0 145.792,0 144.448 342.304 6.936,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.059.648 6.000 146.009,0 145.632,0 143.136 346.336 7.027,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.520.320 6.000 145.920,0 145.568,0 144.096 346.272 6.961,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.589.632 6.000 146.098,0 145.824,0 144.384 332.384 6.031,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.953.664 6.000 146.158,0 145.952,0 144.576 345.440 5.567,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.382.720 6.000 145.897,0 145.600,0 144.128 358.048 6.848,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.299.072 6.000 145.883,0 145.664,0 144.320 339.264 5.555,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.792.256 6.000 145.798,0 145.536,0 144.192 331.520 5.504,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.559.296 6.000 145.926,0 145.728,0 144.448 331.616 5.425,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.325.728 6.000 145.721,0 145.504,0 144.160 334.496 4.997,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.023.936 6.000 145.837,0 145.568,0 144.064 336.576 5.966,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.691.072 6.000 145.948,0 145.696,0 144.384 331.008 5.955,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.170.944 6.000 146.195,0 145.856,0 144.448 343.552 6.886,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.907.712 6.000 145.984,0 145.728,0 144.224 331.808 5.429,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.806.464 6.000 146.134,0 145.760,0 144.416 339.744 6.928,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 873.564.224 6.000 145.594,0 145.408,0 144.096 341.536 4.489,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.943.392 6.000 145.990,0 145.792,0 144.416 335.776 4.542,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.697.184 6.000 146.282,0 146.112,0 144.672 335.040 4.908,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
