0,0 17.056 2 8.528,0 8.528,0 7.104 9.952 2.013,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.056 2 8.528,0 8.528,0 7.104 9.952 2.013,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.312 2 8.656,0 8.656,0 7.104 10.208 2.194,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.992 2 8.496,0 8.496,0 7.008 9.984 2.104,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.624 2 9.312,0 9.312,0 8.288 10.336 1.448,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.152 2 8.576,0 8.576,0 7.072 10.080 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.056 2 8.528,0 8.528,0 7.072 9.984 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.120 2 8.560,0 8.560,0 7.104 10.016 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.120 2 8.560,0 8.560,0 7.072 10.048 2.104,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.056 2 8.528,0 8.528,0 7.040 10.016 2.104,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.056 2 8.528,0 8.528,0 7.104 9.952 2.013,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.712 2 9.856,0 9.856,0 9.760 9.952 135,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.288 2 10.144,0 10.144,0 9.952 10.336 271,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.304 2 9.152,0 9.152,0 8.064 10.240 1.538,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.216 2 8.608,0 8.608,0 7.104 10.112 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.184 2 8.592,0 8.592,0 6.976 10.208 2.285,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.152 2 8.576,0 8.576,0 7.072 10.080 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.032 2 10.016,0 10.016,0 9.984 10.048 45,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.072 10.016 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.096 2 10.048,0 10.048,0 10.016 10.080 45,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.128 2 10.064,0 10.064,0 9.952 10.176 158,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.040 10.048 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.496 2 9.248,0 9.248,0 8.128 10.368 1.583,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.296 2 7.648,0 7.648,0 6.240 9.056 1.991,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.520 2 7.760,0 7.760,0 6.304 9.216 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.376 2 8.688,0 8.688,0 7.296 10.080 1.968,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.152 2 8.576,0 8.576,0 7.072 10.080 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.120 2 8.560,0 8.560,0 7.072 10.048 2.104,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.504 2 8.752,0 8.752,0 7.104 10.400 2.330,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.896 2 8.448,0 8.448,0 6.976 9.920 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.040 10.048 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.056 2 8.528,0 8.528,0 7.136 9.920 1.968,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.504 2 8.752,0 8.752,0 7.488 10.016 1.787,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.536 2 8.768,0 8.768,0 7.584 9.952 1.674,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.104 9.984 2.036,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.472 2 4.736,0 4.736,0 3.552 5.920 1.674,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.024 2 8.512,0 8.512,0 7.008 10.016 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.560 2 9.280,0 9.280,0 8.448 10.112 1.176,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.312 2 8.656,0 8.656,0 7.232 10.080 2.013,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.992 2 8.496,0 8.496,0 7.040 9.952 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.096 2 10.048,0 10.048,0 8.800 11.296 1.764,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.832 2 4.416,0 4.416,0 3.552 5.280 1.221,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.760 2 8.880,0 8.880,0 7.616 10.144 1.787,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.632 2 6.816,0 6.816,0 5.280 8.352 2.172,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.408 2 8.704,0 8.704,0 7.232 10.176 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.248 2 8.624,0 8.624,0 7.072 10.176 2.194,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.872 2 9.936,0 9.936,0 9.824 10.048 158,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.768 2 4.384,0 4.384,0 3.552 5.216 1.176,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.872 2 9.936,0 9.936,0 9.920 9.952 22,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.240 2 9.120,0 9.120,0 7.008 11.232 2.986,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.272 2 9.136,0 9.136,0 7.104 11.168 2.873,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.960 2 8.480,0 8.480,0 6.976 9.984 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
