1,0 4.930.592 100 49.305,0 49.168,0 48.352 55.680 778,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.914.944 100 49.149,0 49.120,0 48.448 55.360 708,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.885.056 100 48.850,0 48.768,0 48.064 55.168 770,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.299.104 100 72.991,0 65.136,0 58.624 103.072 13.022,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.338.720 100 73.387,0 65.424,0 57.728 102.752 13.872,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.867.392 100 68.673,0 64.768,0 55.328 102.112 14.065,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.417.920 100 74.179,0 65.136,0 62.432 102.400 13.310,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.956.928 100 49.569,0 49.504,0 48.448 55.648 741,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.896.512 100 48.965,0 48.864,0 48.096 55.328 747,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.924.960 100 49.249,0 49.216,0 48.352 54.944 697,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.007.104 100 50.071,0 49.968,0 48.864 55.872 700,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.924.448 100 49.244,0 49.104,0 48.320 56.608 886,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.919.680 100 49.196,0 49.120,0 48.288 54.944 707,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.084.544 100 80.845,0 92.736,0 63.776 103.552 14.846,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.894.944 100 48.949,0 48.896,0 47.936 55.136 751,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.908.384 100 49.083,0 48.992,0 48.160 55.584 756,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.834.048 100 48.340,0 48.224,0 47.136 54.944 770,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.908.672 100 49.086,0 48.992,0 48.448 55.264 683,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.673.344 100 66.733,0 66.560,0 65.280 73.472 1.033,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.821.920 100 48.219,0 48.112,0 47.200 55.296 802,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.927.328 100 49.273,0 49.152,0 48.512 56.576 837,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.036.992 100 80.369,0 91.360,0 63.424 102.208 13.789,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.415.104 100 74.151,0 65.056,0 57.664 103.200 14.726,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.901.856 100 49.018,0 48.960,0 48.192 55.584 741,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.884.768 100 48.847,0 48.720,0 47.808 55.104 765,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.850.752 100 48.507,0 48.448,0 47.744 54.080 657,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.905.664 100 49.056,0 48.992,0 48.256 55.360 712,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.274.112 100 72.741,0 65.488,0 55.584 102.336 15.831,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.568.800 100 75.688,0 65.056,0 63.744 103.456 13.862,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.452.800 100 74.528,0 90.288,0 48.352 101.056 19.424,0 CUDA_KERNEL prepare(long, float *, float *, float *)
0,0 6.026.848 100 60.268,0 49.264,0 47.456 102.848 19.019,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.836.352 100 48.363,0 48.288,0 47.552 53.952 672,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.881.984 100 48.819,0 48.688,0 47.968 55.648 810,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.512.384 100 55.123,0 55.232,0 49.440 63.232 2.095,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.116.736 100 51.167,0 50.688,0 48.064 63.232 2.450,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.876.704 100 48.767,0 48.688,0 47.968 56.576 859,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.898.592 100 48.985,0 48.992,0 48.128 55.136 707,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.547.520 100 55.475,0 55.392,0 54.400 62.464 819,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.579.520 100 85.795,0 91.712,0 63.488 102.624 11.410,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 6.447.360 100 64.473,0 64.304,0 62.624 70.912 1.224,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.902.400 100 49.024,0 48.976,0 48.096 55.136 728,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.840.064 100 48.400,0 48.368,0 47.424 54.816 731,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.638.912 100 56.389,0 56.544,0 54.816 63.360 1.023,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.906.560 100 49.065,0 49.024,0 48.096 56.128 812,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.840.224 100 68.402,0 60.464,0 50.496 101.760 17.099,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.911.872 100 49.118,0 48.960,0 48.192 54.784 726,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.926.400 100 49.264,0 49.184,0 48.256 54.720 689,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.794.176 100 77.941,0 65.184,0 58.304 102.208 14.774,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.395.904 100 73.959,0 64.432,0 63.104 102.080 13.592,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.953.440 100 69.534,0 64.816,0 63.456 102.432 10.716,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.265.184 100 72.651,0 65.024,0 55.456 102.752 14.784,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.512.992 100 75.129,0 65.200,0 56.960 103.040 15.349,0 CUDA_KERNEL prepare(long, float *, float *, float *)
