 Start (ns)   Duration (ns)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MBps)  SrcMemKd  DstMemKd   Device   Ctx  Strm                       Name                     
 -----------  -------------  ------  ----  ----  ----  ----  ----  ----  -------  ------------  ------------  ----------  -----------------  --------  --------  --------  ---  ----  ----------------------------------------------
 488.767.840        957.056     107  None  None  None  None  None  None     None  None          None          4,194       4378,853           Pageable  Device    Orin (0)    1     7  [CUDA memcpy HtoD]                            
 604.014.848          8.736     430     2     1     1   512     1     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan1(float *, float *, int, int)              
 604.060.416      1.125.952     432   256   256     1     4     4     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan2(float *, float *, float *, int, int, int)
 605.234.784          8.928     435     2     1     1   512     1     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan1(float *, float *, int, int)              
 605.269.728      1.126.656     437   256   256     1     4     4     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan2(float *, float *, float *, int, int, int)
 606.444.800          8.704     440     2     1     1   512     1     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan1(float *, float *, int, int)              
 606.480.000      1.107.616     442   256   256     1     4     4     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan2(float *, float *, float *, int, int, int)
 607.631.232          9.152     445     2     1     1   512     1     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan1(float *, float *, int, int)              
 607.677.792      1.137.952     447   256   256     1     4     4     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan2(float *, float *, float *, int, int, int)
 608.856.224          9.344     450     2     1     1   512     1     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan1(float *, float *, int, int)              
 608.920.032      1.112.768     452   256   256     1     4     4     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan2(float *, float *, float *, int, int, int)
 610.087.232          9.440     455     2     1     1   512     1     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan1(float *, float *, int, int)              
 610.136.128      1.123.104     457   256   256     1     4     4     1       16  0,000         0,000         None                           None      None      Orin (0)    1     7  Fan2(float *, float *, float *, int, int, int)
