     18,0       58.727.712        100     587.277,0     730.176,0     348.480      793.824     196.415,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.113.184        100     311.131,0     310.512,0     308.352      353.472       4.401,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     20,0       69.163.808        100     691.638,0     755.792,0     359.232      815.904      151.782,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       39.478.176        100     394.781,0     394.192,0     392.384      439.840        4.654,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     15,0       40.458.432        100     404.584,0     311.904,0     308.512    1.072.352     238.472,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.172.320        100     311.723,0     311.392,0     308.064      354.528       4.599,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       34.297.824        100     342.978,0     342.544,0     339.616      390.080       4.875,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       35.186.624        100     351.866,0     351.456,0     348.000      397.568       4.837,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     19,0       72.907.904        100     729.079,0     365.248,0     356.448    4.165.120      676.540,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.008.320        100     310.083,0     309.472,0     307.520      355.392       4.679,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     20,0       61.769.088        100     617.690,0     734.912,0     356.256      848.064     186.960,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     19,0       68.046.464        100     680.464,0     716.816,0     393.056      786.208      113.244,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.162.144        100     311.621,0     311.072,0     309.088      353.536       4.370,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     19,0       53.595.072        100     535.950,0     361.808,0     318.592    3.555.360     520.267,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     15,0       39.621.024        100     396.210,0     395.664,0     393.216      445.120       5.071,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.128.256        100     311.282,0     310.704,0     308.416      359.296       4.985,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       38.858.752        100     388.587,0     395.424,0     319.744      438.944       21.712,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       34.514.560        100     345.145,0     341.888,0     316.064      423.584      21.917,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     20,0       60.358.304        100     603.583,0     724.864,0     355.456      792.832     184.295,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       34.676.480        100     346.764,0     350.480,0     317.984      395.424      11.734,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.112.928        100     311.129,0     310.688,0     308.416      351.264       4.188,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       39.596.416        100     395.964,0     395.456,0     392.800      440.288        4.592,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     20,0       79.235.392        100     792.353,0     768.912,0     355.776    4.162.880      650.434,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       31.097.216        100     310.972,0     310.528,0     308.160      351.712       4.304,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.114.880        100     311.148,0     310.800,0     307.648      353.536       4.497,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       30.872.352        100     308.723,0     308.272,0     305.376      351.616       4.520,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.229.824        100     312.298,0     311.280,0     307.808      355.168       5.059,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       33.776.800        100     337.768,0     344.496,0     317.024      393.952       12.911,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.082.016        100     310.820,0     310.368,0     308.544      355.680       4.615,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       34.245.568        100     342.455,0     322.560,0     318.976    2.135.168      181.166,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     18,0       69.470.784        100     694.707,0     732.848,0     358.880      770.432      118.078,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       34.575.776        100     345.757,0     343.696,0     340.640      396.352       6.363,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     20,0       63.461.088        100     634.610,0     727.616,0     319.520      792.192     152.313,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.250.848        100     312.508,0     312.288,0     308.736      354.272       4.590,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       33.615.232        100     336.152,0     341.488,0     315.264      390.528      11.752,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     17,0       74.577.152        100     745.771,0     747.008,0     692.320      819.552       34.885,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.004.800        100     310.048,0     309.568,0     307.616      355.168       4.688,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       34.448.768        100     344.487,0     344.048,0     341.184      387.872        4.523,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       30.988.640        100     309.886,0     309.344,0     307.072      354.816       4.657,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       34.423.264        100     344.232,0     344.240,0     319.072      384.608        5.592,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     23,0       88.106.880        100     881.068,0     750.672,0     680.672    3.136.192     453.335,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       34.952.448        100     349.524,0     350.656,0     314.304      400.704       8.638,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     18,0       61.058.656        100     610.586,0     741.072,0     393.056      814.528      182.753,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       31.209.824        100     312.098,0     311.760,0     307.264      352.064       4.616,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     20,0       86.716.736        100     867.167,0     740.272,0     712.416    3.562.720      553.722,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.189.376        100     311.893,0     311.712,0     307.520      354.752       4.753,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     19,0       71.496.352        100     714.963,0     751.936,0     353.824    1.886.752      200.030,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.075.616        100     310.756,0     310.480,0     307.648      350.112       4.232,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     23,0      104.894.240        100    1.048.942,0      705.488,0      356.192    3.597.760      840.666,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       31.041.696        100     310.417,0     309.792,0     308.256      356.128       4.706,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       31.104.480        100     311.044,0     310.432,0     307.744      354.784        4.540,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       31.109.472        100     311.094,0     310.496,0     308.480      356.256        4.756,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       39.714.144        100     397.141,0     396.800,0     393.888      441.248        4.564,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     13,0       30.923.296        100     309.233,0     308.848,0     306.880      350.176       4.251,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     14,0       35.101.728        100     351.017,0     350.400,0     325.440      403.744       7.866,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     16,0       56.762.464        100     567.624,0     694.832,0     392.672      746.304      157.517,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     22,0       76.510.144        100     765.101,0     759.648,0     735.552      814.208      18.336,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     22,0       71.033.760        100     710.337,0     762.048,0     358.432      821.728     145.586,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     19,0       66.409.344        100     664.093,0     702.624,0     355.680      729.856      108.713,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       30.909.216        100     309.092,0     308.368,0     306.464      351.200       4.512,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     12,0       34.034.400        100     340.344,0     339.776,0     337.792      383.776        4.494,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     20,0       69.020.768        100     690.207,0     761.696,0     356.928      871.328      170.820,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     21,0       69.403.008        100     694.030,0     778.224,0     357.280      901.376     184.364,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
