46,0 74.311.360 100 743.113,0 741.456,0 715.136 789.568 14.602,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 39.511.680 100 395.116,0 394.384,0 392.384 465.504 7.160,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 61.888.192 100 618.881,0 721.632,0 391.840 789.056 161.774,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 32.371.840 100 323.718,0 321.312,0 317.184 385.632 9.461,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 38.047.328 100 380.473,0 310.176,0 307.328 2.213.888 298.919,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 31.166.272 100 311.662,0 309.328,0 307.072 374.592 8.414,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 59.785.984 100 597.859,0 724.272,0 393.536 845.984 181.786,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 39.512.736 100 395.127,0 394.576,0 392.160 463.296 6.954,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 66.693.888 100 666.938,0 365.488,0 356.256 2.172.224 490.826,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 31.197.632 100 311.976,0 311.232,0 308.448 379.712 7.058,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
43,0 46.409.024 100 464.090,0 395.472,0 317.120 2.145.024 327.848,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 37.106.048 100 371.060,0 311.680,0 309.376 1.953.888 271.551,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 36.107.392 100 361.073,0 349.904,0 347.648 1.188.640 84.114,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 36.899.968 100 368.999,0 311.008,0 307.616 1.960.672 268.264,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 39.051.904 100 390.519,0 312.416,0 308.288 2.138.944 331.792,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 36.993.728 100 369.937,0 310.128,0 304.448 2.037.856 273.193,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 38.868.064 100 388.680,0 395.536,0 320.000 463.136 21.349,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 33.090.880 100 330.908,0 324.976,0 315.584 416.000 15.671,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 61.493.120 100 614.931,0 396.992,0 394.208 3.524.000 541.456,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
38,0 39.375.968 100 393.759,0 313.440,0 307.456 2.073.600 309.584,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
47,0 76.523.424 100 765.234,0 760.256,0 726.368 873.824 32.253,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 31.132.160 100 311.321,0 310.432,0 308.224 378.784 6.962,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
47,0 72.195.936 100 721.959,0 718.704,0 691.232 838.624 21.601,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 38.030.688 100 380.306,0 394.432,0 316.640 458.176 30.032,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 69.007.136 100 690.071,0 746.208,0 352.288 2.494.016 283.148,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 31.067.040 100 310.670,0 309.952,0 307.520 376.288 6.734,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 74.820.544 100 748.205,0 745.216,0 708.896 806.432 19.073,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 44.215.136 100 442.151,0 393.840,0 354.240 2.417.088 319.601,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 71.949.152 100 719.491,0 755.472,0 355.232 855.488 118.511,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 39.586.592 100 395.865,0 395.312,0 392.320 456.992 6.280,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 75.840.256 100 758.402,0 747.872,0 358.048 3.556.608 536.234,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 33.893.952 100 338.939,0 341.520,0 315.840 404.192 10.429,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
42,0 79.904.896 100 799.049,0 779.520,0 321.024 2.726.400 448.516,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 40.755.040 100 407.550,0 321.472,0 314.496 2.134.496 293.216,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 34.493.856 100 344.938,0 344.256,0 342.592 413.568 6.998,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 37.426.176 100 374.261,0 373.856,0 368.384 423.232 5.466,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
46,0 71.633.024 100 716.330,0 709.888,0 683.168 772.832 17.334,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
41,0 39.714.784 100 397.147,0 396.576,0 393.312 445.312 4.998,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
42,0 75.197.088 100 751.970,0 732.064,0 694.784 893.472 50.719,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
37,0 40.517.728 100 405.177,0 394.768,0 392.224 1.383.200 98.912,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
40,0 51.212.224 100 512.122,0 397.232,0 318.240 1.490.752 330.917,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 80.547.200 100 805.472,0 777.744,0 720.480 2.774.112 223.490,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
37,0 40.567.744 100 405.677,0 395.536,0 318.272 2.051.456 208.964,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
41,0 60.457.952 100 604.579,0 737.952,0 356.160 784.128 190.329,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
41,0 79.459.168 100 794.591,0 770.160,0 358.240 4.031.968 680.018,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
41,0 56.255.264 100 562.552,0 395.648,0 392.896 2.901.504 494.413,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
