1,0 6.487.712 100 64.877,0 73.408,0 47.136 75.840 10.823,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.709.536 100 67.095,0 74.128,0 47.712 79.456 11.277,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.274.112 100 52.741,0 47.632,0 39.360 82.560 13.087,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.278.976 100 72.789,0 73.776,0 55.648 80.512 4.253,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.116.640 100 71.166,0 72.736,0 46.944 81.600 5.304,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.741.984 100 57.419,0 48.960,0 45.376 80.320 12.465,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.520.448 100 65.204,0 61.568,0 53.984 80.928 10.127,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.749.824 100 57.498,0 50.448,0 42.304 81.920 12.988,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.341.632 100 73.416,0 73.312,0 72.288 81.344 954,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.774.272 100 57.742,0 51.424,0 38.496 81.888 12.663,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.422.560 100 64.225,0 70.496,0 44.864 80.384 10.708,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.997.952 100 59.979,0 56.336,0 39.040 78.176 13.517,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.062.496 100 70.625,0 74.320,0 47.360 81.056 8.778,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.992.768 100 49.927,0 46.416,0 38.496 81.568 12.426,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.359.392 100 63.593,0 60.832,0 48.352 80.832 14.129,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.953.632 100 59.536,0 50.704,0 42.848 80.736 14.179,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.809.248 100 78.092,0 77.952,0 76.864 81.056 652,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.978.336 100 59.783,0 57.776,0 40.288 82.016 14.556,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.418.048 100 64.180,0 71.264,0 38.912 79.584 10.128,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.655.808 100 56.558,0 46.880,0 42.656 80.960 11.795,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.522.656 100 65.226,0 74.768,0 48.256 79.360 12.380,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.696.576 100 56.965,0 51.696,0 39.008 81.280 13.670,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.336.352 100 53.363,0 48.864,0 40.608 84.192 13.644,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.005.312 100 60.053,0 56.624,0 46.688 83.456 12.614,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.659.616 100 66.596,0 74.448,0 46.784 86.400 12.250,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.787.200 100 57.872,0 48.784,0 40.128 82.912 14.467,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.358.240 100 63.582,0 72.080,0 47.680 81.056 12.963,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.455.808 100 54.558,0 48.432,0 40.160 78.464 13.519,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.647.392 100 66.473,0 73.472,0 45.888 80.224 11.854,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.744.000 100 57.440,0 55.136,0 38.560 83.840 13.874,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.054.656 100 60.546,0 53.264,0 42.496 84.384 14.958,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.529.120 100 55.291,0 47.168,0 43.232 79.488 12.425,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.465.312 100 84.653,0 84.672,0 82.720 86.560 963,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.880.160 100 58.801,0 56.336,0 39.744 80.352 13.731,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.820.448 100 58.204,0 48.720,0 44.384 81.056 12.426,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.319.936 100 53.199,0 46.912,0 38.528 80.320 13.364,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.469.152 100 54.691,0 49.200,0 40.928 80.512 13.921,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.529.728 100 55.297,0 47.520,0 38.880 81.632 13.548,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.654.752 100 56.547,0 48.720,0 40.384 80.000 14.416,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.513.888 100 65.138,0 71.664,0 45.792 79.840 10.806,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.874.688 100 68.746,0 77.952,0 49.472 81.248 12.845,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.441.184 100 64.411,0 61.040,0 49.184 80.128 13.559,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.829.312 100 58.293,0 49.568,0 41.280 81.472 14.866,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.418.528 100 54.185,0 48.032,0 39.424 81.792 13.153,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.405.120 100 74.051,0 75.808,0 49.408 83.360 6.001,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.220.096 100 62.201,0 72.800,0 44.096 79.264 12.839,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.053.120 100 70.531,0 71.840,0 53.568 80.448 4.893,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.185.792 100 61.857,0 71.392,0 46.272 81.216 11.953,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.461.056 100 74.610,0 74.624,0 73.216 81.600 935,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.397.856 100 73.978,0 73.952,0 72.384 79.552 846,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.045.984 100 70.459,0 76.224,0 47.968 81.120 11.273,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.875.296 100 58.753,0 49.776,0 41.216 81.984 14.973,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.818.464 100 78.184,0 78.080,0 76.928 79.840 716,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.418.880 100 54.188,0 47.632,0 39.488 81.504 13.725,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.303.168 100 73.031,0 72.992,0 71.552 80.544 959,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.474.432 100 54.744,0 47.440,0 43.776 81.760 12.577,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.546.304 100 65.463,0 72.864,0 49.248 81.184 13.443,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.988.384 100 69.883,0 77.264,0 49.312 80.992 11.928,0 CUDA_KERNEL prepare(long, float *, float *, float *)
