4,0 20.758.816 200 103.794,0 92.992,0 26.144 235.680 76.729,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 24.091.360 200 120.456,0 108.944,0 32.352 236.192 85.646,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.208.672 200 101.043,0 84.240,0 23.104 235.104 75.200,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.716.704 200 138.583,0 138.128,0 42.976 235.808 95.544,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.730.912 200 108.654,0 83.344,0 22.144 235.776 81.067,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 24.783.232 200 123.916,0 96.592,0 27.264 235.584 89.775,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.264.896 200 111.324,0 83.376,0 22.624 235.040 83.588,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 26.054.848 200 130.274,0 96.880,0 27.520 235.552 92.498,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 18.711.136 200 93.555,0 83.856,0 22.592 235.168 70.731,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.289.984 200 111.449,0 97.184,0 27.456 235.776 82.368,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 20.570.880 200 102.854,0 83.984,0 22.656 235.616 77.271,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 27.674.848 200 138.374,0 137.648,0 42.784 235.712 95.553,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.917.824 200 109.589,0 95.840,0 22.624 235.168 82.155,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 24.763.648 200 123.818,0 84.592,0 22.752 235.584 88.539,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.752.160 200 108.760,0 92.864,0 26.528 235.520 80.573,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 23.688.640 200 118.443,0 96.688,0 27.392 235.104 86.810,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 21.338.528 200 106.692,0 89.344,0 22.560 235.296 80.443,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 19.137.248 200 95.686,0 83.472,0 22.496 234.432 72.863,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 22.217.536 200 111.087,0 96.928,0 27.424 235.584 82.298,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 24.293.312 200 121.466,0 96.432,0 27.328 235.680 88.574,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
