0,0 19.936 2 9.968,0 9.968,0 9.152 10.784 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.664 2 10.832,0 10.832,0 10.208 11.456 882,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.496 2 9.248,0 9.248,0 9.088 9.408 226,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.064 2 10.032,0 10.032,0 9.120 10.944 1.289,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.648 2 9.824,0 9.824,0 9.184 10.464 905,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.288 2 10.144,0 10.144,0 9.344 10.944 1.131,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.448 2 10.224,0 10.224,0 9.152 11.296 1.516,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.504 2 10.752,0 10.752,0 9.216 12.288 2.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.608 2 10.304,0 10.304,0 9.152 11.456 1.629,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.320 2 10.160,0 10.160,0 9.312 11.008 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.648 2 9.824,0 9.824,0 9.152 10.496 950,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.032 2 10.016,0 10.016,0 9.088 10.944 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.936 2 9.968,0 9.968,0 9.088 10.848 1.244,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 24.448 2 12.224,0 12.224,0 11.328 13.120 1.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.960 2 10.480,0 10.480,0 10.176 10.784 429,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.032 2 10.016,0 10.016,0 9.216 10.816 1.131,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.192 2 10.096,0 10.096,0 9.248 10.944 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.184 2 10.592,0 10.592,0 9.216 11.968 1.946,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.288 2 10.144,0 10.144,0 10.016 10.272 181,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.552 2 9.776,0 9.776,0 9.056 10.496 1.018,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.904 2 9.952,0 9.952,0 9.472 10.432 678,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.096 2 10.048,0 10.048,0 9.120 10.976 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.704 2 10.352,0 10.352,0 9.184 11.520 1.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.744 2 9.872,0 9.872,0 9.024 10.720 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.992 2 10.496,0 10.496,0 9.728 11.264 1.086,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 25.536 2 12.768,0 12.768,0 11.904 13.632 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.744 2 9.872,0 9.872,0 9.280 10.464 837,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.176 2 11.088,0 11.088,0 10.240 11.936 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.032 2 10.016,0 10.016,0 9.472 10.560 769,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 24.704 2 12.352,0 12.352,0 11.360 13.344 1.402,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.944 2 9.472,0 9.472,0 9.120 9.824 497,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.936 2 7.968,0 7.968,0 7.360 8.576 859,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.024 2 10.512,0 10.512,0 9.152 11.872 1.923,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.992 2 10.496,0 10.496,0 9.280 11.712 1.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.000 2 10.000,0 10.000,0 9.120 10.880 1.244,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.064 2 10.032,0 10.032,0 9.248 10.816 1.108,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.456 2 9.728,0 9.728,0 9.056 10.400 950,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.512 2 10.256,0 10.256,0 9.120 11.392 1.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.160 2 10.080,0 10.080,0 9.408 10.752 950,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.432 2 9.216,0 9.216,0 9.024 9.408 271,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.160 2 10.080,0 10.080,0 9.216 10.944 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.128 2 10.064,0 10.064,0 9.088 11.040 1.380,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.056 2 10.528,0 10.528,0 9.184 11.872 1.900,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.432 2 11.216,0 11.216,0 10.208 12.224 1.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.344 2 10.672,0 10.672,0 9.184 12.160 2.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.448 2 10.224,0 10.224,0 9.632 10.816 837,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.400 2 11.200,0 11.200,0 10.272 12.128 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
