2,0 90.656 2 45.328,0 45.328,0 41.088 49.568 5.996,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.712 2 45.856,0 45.856,0 41.952 49.760 5.521,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.272 2 45.136,0 45.136,0 41.184 49.088 5.589,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.328 2 33.664,0 33.664,0 30.880 36.448 3.937,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.136 2 45.568,0 45.568,0 41.216 49.920 6.154,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.496 2 45.248,0 45.248,0 41.664 48.832 5.068,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.488 2 45.744,0 45.744,0 41.824 49.664 5.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.232 2 33.616,0 33.616,0 31.136 36.096 3.507,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.720 2 45.360,0 45.360,0 41.120 49.600 5.996,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.880 2 45.440,0 45.440,0 41.888 48.992 5.023,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.808 2 45.904,0 45.904,0 41.888 49.920 5.679,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.400 2 45.200,0 45.200,0 41.088 49.312 5.815,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 54.912 2 27.456,0 27.456,0 25.120 29.792 3.303,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.304 2 45.152,0 45.152,0 41.152 49.152 5.656,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.136 2 45.568,0 45.568,0 41.312 49.824 6.018,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 89.760 2 44.880,0 44.880,0 41.088 48.672 5.362,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.816 2 45.408,0 45.408,0 41.568 49.248 5.430,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.848 2 45.424,0 45.424,0 41.216 49.632 5.951,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.400 2 45.200,0 45.200,0 41.472 48.928 5.272,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.624 2 45.312,0 45.312,0 41.568 49.056 5.294,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.392 2 45.696,0 45.696,0 41.632 49.760 5.747,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.304 2 45.152,0 45.152,0 41.216 49.088 5.566,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.040 2 45.520,0 45.520,0 41.920 49.120 5.091,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.048 2 45.024,0 45.024,0 41.216 48.832 5.385,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.624 2 45.312,0 45.312,0 41.760 48.864 5.023,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 89.952 2 44.976,0 44.976,0 41.056 48.896 5.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.880 2 45.440,0 45.440,0 41.216 49.664 5.973,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.112 2 45.056,0 45.056,0 41.184 48.928 5.475,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.336 2 45.168,0 45.168,0 41.344 48.992 5.408,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.328 2 45.664,0 45.664,0 41.504 49.824 5.883,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.232 2 33.616,0 33.616,0 30.816 36.416 3.959,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
