36,0 60.164.896 127 473.739,0 348.448,0 3.840 1.421.696 438.593,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 80.751.680 127 635.840,0 457.536,0 6.304 1.909.376 581.371,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.330.688 127 467.170,0 324.384,0 4.480 1.402.272 434.797,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.245.088 127 466.496,0 303.360,0 4.448 1.419.040 434.227,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 61.456.256 127 483.907,0 313.504,0 3.840 2.880.032 481.617,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 60.409.728 127 475.667,0 322.912,0 4.320 1.432.704 441.391,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.754.752 127 470.509,0 321.760,0 3.808 1.409.440 436.789,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.221.088 127 466.307,0 309.024,0 3.840 1.402.336 433.937,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.110.048 127 465.433,0 320.064,0 3.808 1.419.264 433.406,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.185.184 127 466.025,0 310.784,0 3.840 1.393.056 433.857,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 58.957.056 127 464.228,0 320.544,0 3.840 1.403.872 432.358,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 60.095.200 127 473.190,0 347.904,0 3.840 1.423.936 438.021,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.970.144 127 472.205,0 337.024,0 3.840 1.407.360 437.371,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.330.112 127 467.166,0 318.304,0 3.872 1.394.816 433.609,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.881.248 127 471.505,0 340.416,0 3.872 1.396.736 436.183,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.959.680 127 472.123,0 332.320,0 3.872 1.417.024 436.994,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 60.039.840 127 472.754,0 322.816,0 3.808 1.413.312 436.510,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.202.368 127 466.160,0 318.304,0 3.808 1.401.504 434.448,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 60.118.592 127 473.374,0 322.496,0 3.872 1.411.456 437.175,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.602.208 127 469.308,0 334.560,0 3.872 1.411.424 434.897,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.960.128 127 472.127,0 334.240,0 3.840 1.423.808 437.027,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.819.552 127 471.020,0 344.352,0 3.808 1.403.040 434.656,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.682.560 127 469.941,0 317.344,0 4.128 1.411.424 436.938,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.759.168 127 470.544,0 339.712,0 3.840 1.430.464 436.048,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 60.012.576 127 472.540,0 344.032,0 3.808 1.423.360 438.644,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 60.011.776 127 472.533,0 348.352,0 4.288 1.430.912 438.009,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.771.872 127 470.644,0 343.808,0 3.840 1.407.392 436.723,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.843.392 127 471.207,0 335.584,0 4.416 1.405.888 436.073,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.736.960 127 470.369,0 335.840,0 3.808 1.402.464 435.897,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 65.124.896 127 512.794,0 351.168,0 3.872 3.081.248 565.073,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 70.765.920 127 557.212,0 402.048,0 5.056 1.666.176 511.010,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.892.000 127 471.590,0 344.224,0 3.872 1.407.328 436.367,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 60.000.096 127 472.441,0 343.456,0 3.840 1.429.024 438.618,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 60.114.240 127 473.340,0 346.176,0 3.840 1.410.208 437.828,0 CUDA_KERNEL lud_internal(float *, int, int)
35,0 59.456.608 127 468.162,0 330.784,0 3.840 1.418.720 434.184,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 60.064.928 127 472.952,0 348.640,0 3.872 1.395.200 437.021,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.103.072 127 465.378,0 325.152,0 3.840 1.397.440 432.460,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.913.568 127 471.760,0 340.672,0 3.840 1.410.368 436.770,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.379.392 127 467.554,0 321.152,0 3.904 1.403.712 434.422,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 59.248.000 127 466.519,0 318.848,0 3.840 1.395.552 433.967,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 65.772.864 127 517.896,0 301.056,0 4.512 3.605.344 617.534,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 61.639.648 127 485.351,0 346.112,0 3.840 3.028.672 487.281,0 CUDA_KERNEL lud_internal(float *, int, int)
