      4,0       14.651.488        127     115.366,0     107.712,0     68.032      204.832      39.061,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.357.760        128      65.295,0      66.896,0     61.216       71.296       2.965,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.001.760        127     889.777,0     652.544,0      6.976    2.656.832     823.015,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.616.416        127     115.089,0     108.608,0     68.352      206.464      39.120,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.347.776        128      65.217,0      67.392,0     61.216       71.712       3.242,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      112.905.248        127     889.017,0     610.912,0      8.256    2.664.320     820.088,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.688.704        127     115.659,0     107.968,0     69.600      205.216      38.633,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.412.320        128      65.721,0      66.944,0     62.240       71.456       2.710,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      111.975.616        127     881.697,0     589.184,0      6.976    2.676.384     823.351,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.549.760        127     114.565,0     104.896,0     67.776      205.504      39.381,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.294.688        128      64.802,0      65.840,0     61.184       70.464       3.078,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0       86.528.096        127     681.323,0     472.288,0      5.504    3.361.568     658.252,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       10.903.392        127      85.853,0      79.968,0     51.104      152.480      29.185,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.198.976        128      48.429,0      48.512,0     46.080       52.224       1.948,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      114.442.848        127     901.124,0     649.280,0      8.288    2.693.344     829.955,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.677.408        127     115.570,0     106.688,0     69.600      206.016      38.652,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.369.728        128      65.388,0      64.928,0     62.272       71.424       2.470,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.236.640        127     891.627,0     622.432,0      6.880    2.673.440     831.491,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.563.424        127     114.672,0     107.040,0     68.160      206.016      39.258,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.321.152        128      65.009,0      65.952,0     61.184       71.424       3.059,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      113.427.040        127     893.126,0     591.744,0      6.784    2.696.000     831.732,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.579.520        127     114.799,0     105.120,0     67.648      206.272      39.314,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.310.240        128      64.923,0      64.368,0     61.248       71.008       2.948,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      114.908.832        127     904.794,0     649.184,0      8.288    2.689.888     833.343,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.694.976        127     115.708,0     107.200,0     69.248      206.240      38.756,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.415.840        128      65.748,0      67.120,0     62.304       71.456       2.666,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      115.158.688        127     906.761,0     668.256,0      8.608    2.709.056     835.196,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.669.024        127     115.504,0     106.528,0     69.504      206.176      38.788,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.345.312        128      65.197,0      64.432,0     62.272       70.656       2.527,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      114.901.504        127     904.736,0     659.136,0      8.480    2.699.744     833.510,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.714.432        127     115.861,0     108.992,0     69.312      206.592      38.737,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.425.568        128      65.824,0      66.704,0     62.272       70.080       2.583,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      114.427.744        127     901.005,0     641.696,0      8.256    2.701.856     830.584,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.685.600        127     115.634,0     106.752,0     69.312      205.760      38.773,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.400.192        128      65.626,0      66.624,0     62.272       71.424       2.598,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.090.400        127     890.475,0     609.536,0      6.912    2.682.144     830.048,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.575.136        127     114.764,0     106.464,0     68.160      206.016      39.294,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.302.624        128      64.864,0      65.952,0     61.184       70.400       3.034,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      114.216.640        127     899.343,0     625.280,0      7.200    2.672.192     830.920,0  CUDA_KERNEL  lud_internal(float *, int, int) 
