4,0 7.404.448 127 58.302,0 53.440,0 34.816 104.800 19.605,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.391.904 127 58.204,0 53.856,0 34.336 105.408 19.564,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.386.336 127 58.160,0 53.568,0 34.848 104.544 19.601,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.389.632 127 58.186,0 54.016,0 34.752 104.736 19.613,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.390.208 127 58.190,0 54.272,0 34.752 104.768 19.543,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.389.408 127 58.184,0 54.272,0 34.880 105.312 19.629,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.396.160 127 58.237,0 54.400,0 34.592 104.768 19.590,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.393.824 127 58.219,0 54.144,0 34.368 104.736 19.644,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.378.240 127 58.096,0 53.696,0 34.336 104.448 19.626,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.408.448 127 58.334,0 54.208,0 34.560 105.312 19.550,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.400.864 127 58.274,0 53.504,0 35.040 104.736 19.588,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.396.352 127 58.239,0 54.016,0 34.752 104.672 19.556,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.404.096 127 58.300,0 53.568,0 34.496 104.480 19.560,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.392.864 127 58.211,0 53.856,0 34.592 105.152 19.590,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.377.120 127 58.087,0 53.600,0 34.304 104.416 19.608,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.397.952 127 58.251,0 54.656,0 34.400 105.280 19.576,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.404.864 127 58.306,0 53.984,0 34.848 104.768 19.513,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.391.712 127 58.202,0 53.984,0 34.816 105.120 19.618,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.390.880 127 58.195,0 54.144,0 34.304 104.736 19.602,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.394.048 127 58.220,0 53.664,0 34.496 105.056 19.599,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.405.952 127 58.314,0 53.952,0 34.496 104.992 19.643,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.396.480 127 58.240,0 53.792,0 34.560 105.056 19.553,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.402.208 127 58.285,0 53.888,0 34.624 104.608 19.531,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.464.768 127 66.651,0 54.208,0 34.624 1.164.864 100.135,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 9.183.392 127 72.310,0 67.808,0 42.880 130.624 24.217,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.397.216 127 58.245,0 53.664,0 34.784 105.152 19.617,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.393.760 127 58.218,0 53.568,0 34.528 105.184 19.579,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.391.808 127 58.203,0 54.176,0 34.400 105.152 19.670,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.398.720 127 58.257,0 54.240,0 34.912 104.832 19.535,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.402.592 127 58.288,0 54.496,0 34.432 104.512 19.595,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.389.664 127 58.186,0 54.112,0 34.432 104.896 19.545,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.395.328 127 58.230,0 54.176,0 34.624 104.512 19.535,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.391.776 127 58.203,0 54.080,0 35.008 105.088 19.596,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.404.032 127 58.299,0 54.400,0 34.976 105.120 19.603,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.400.256 127 58.269,0 53.440,0 34.528 105.088 19.598,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.400.640 127 58.272,0 54.976,0 34.368 105.312 19.651,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.389.184 127 58.182,0 54.368,0 34.496 104.512 19.577,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.388.352 127 58.176,0 53.664,0 34.656 104.512 19.569,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.398.432 127 58.255,0 54.112,0 34.720 105.088 19.622,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.404.992 127 58.307,0 54.304,0 34.368 105.216 19.542,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.392.736 127 58.210,0 54.336,0 34.464 104.640 19.620,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.408.224 127 58.332,0 54.464,0 34.880 104.416 19.564,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.419.072 127 66.291,0 54.784,0 34.624 1.117.152 95.973,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.413.280 127 58.372,0 54.336,0 35.168 105.536 19.597,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.398.624 127 58.256,0 54.240,0 34.496 104.864 19.658,0 CUDA_KERNEL lud_perimeter(float *, int, int)
