2,0 4.231.616 128 33.059,0 33.248,0 31.168 36.448 1.457,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.235.456 128 33.089,0 33.776,0 31.168 35.872 1.463,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.218.720 128 32.958,0 32.832,0 31.136 36.320 1.550,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.230.048 128 33.047,0 34.080,0 31.136 36.128 1.512,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.233.664 128 33.075,0 32.864,0 31.136 35.744 1.476,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 5.182.528 128 40.488,0 41.280,0 38.048 44.800 1.552,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.212.512 128 32.910,0 33.392,0 31.168 35.872 1.441,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.227.264 128 33.025,0 33.472,0 31.136 36.352 1.514,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.222.016 128 32.984,0 33.936,0 31.168 36.128 1.377,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.226.816 128 33.022,0 33.920,0 31.136 36.032 1.569,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.239.680 128 33.122,0 34.128,0 31.168 36.128 1.507,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.221.856 128 32.983,0 33.392,0 31.136 35.840 1.547,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.221.952 128 32.984,0 32.976,0 31.136 35.488 1.545,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.228.736 128 33.037,0 33.232,0 31.136 35.904 1.520,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.222.400 128 32.987,0 33.056,0 31.168 35.968 1.560,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.228.416 128 33.034,0 32.736,0 31.168 35.712 1.483,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.227.936 128 33.030,0 33.984,0 31.136 35.776 1.541,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.235.360 128 33.088,0 33.952,0 31.136 36.064 1.453,0 CUDA_KERNEL lud_diagonal(float *, int, int)
