43,0 920.155.616 10 92.015.561,0 91.810.688,0 86.948.800 98.644.160 3.226.604,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 936.828.896 10 93.682.889,0 92.430.992,0 86.969.056 105.161.216 5.036.122,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 968.909.312 10 96.890.931,0 93.821.712,0 86.761.088 117.404.800 9.151.846,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 946.355.232 10 94.635.523,0 93.104.432,0 86.836.832 110.696.096 6.507.018,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 929.866.272 10 92.986.627,0 91.910.576,0 86.819.456 99.340.256 3.804.280,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 976.781.984 10 97.678.198,0 95.378.688,0 86.953.856 113.513.952 8.503.266,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 1.628.081.152 10 162.808.115,0 170.318.464,0 113.208.864 185.437.536 22.385.136,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 948.026.016 10 94.802.601,0 92.032.112,0 86.945.344 117.690.656 8.593.349,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 934.833.952 10 93.483.395,0 91.990.224,0 86.938.848 107.343.488 5.638.897,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 942.016.064 10 94.201.606,0 92.958.768,0 86.862.496 106.451.328 5.364.688,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
41,0 949.211.008 10 94.921.100,0 93.721.728,0 86.815.328 109.430.656 6.414.756,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 1.749.295.392 10 174.929.539,0 190.668.880,0 92.601.632 209.205.088 44.108.192,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 949.360.000 10 94.936.000,0 92.258.272,0 86.854.816 116.620.160 8.232.754,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 919.822.528 10 91.982.252,0 91.807.056,0 86.757.760 98.599.040 3.281.018,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
45,0 1.404.616.736 10 140.461.673,0 100.738.000,0 90.377.600 217.456.064 59.638.288,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
41,0 942.695.392 10 94.269.539,0 91.904.128,0 86.834.816 115.850.368 7.960.874,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 921.960.576 10 92.196.057,0 91.629.088,0 86.841.600 98.551.456 3.408.765,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 953.321.568 10 95.332.156,0 92.421.616,0 86.659.616 121.925.952 9.835.699,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 915.574.528 10 91.557.452,0 91.600.320,0 86.770.048 95.104.224 2.557.617,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 933.398.208 10 93.339.820,0 92.110.560,0 86.977.824 106.034.080 5.031.094,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
41,0 1.144.437.344 10 114.443.734,0 92.485.632,0 86.933.600 206.694.656 46.731.815,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 952.612.960 10 95.261.296,0 92.118.464,0 86.856.640 119.412.032 9.066.346,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 915.652.128 10 91.565.212,0 91.647.072,0 86.920.096 95.192.512 2.543.481,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
44,0 1.223.048.448 10 122.304.844,0 91.619.024,0 86.946.880 216.158.720 52.052.404,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 941.200.864 10 94.120.086,0 92.826.976,0 86.738.784 106.496.640 5.407.969,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 952.731.136 10 95.273.113,0 92.707.248,0 86.865.440 117.816.896 8.549.272,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 1.016.511.744 10 101.651.174,0 91.927.648,0 86.915.776 189.018.208 30.827.906,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 959.957.120 10 95.995.712,0 92.374.704,0 86.798.432 128.557.472 11.841.460,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 915.945.728 10 91.594.572,0 91.655.792,0 86.834.112 95.159.168 2.552.737,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 1.216.912.096 10 121.691.209,0 92.068.144,0 88.821.984 187.592.608 43.092.765,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
45,0 1.908.350.976 10 190.835.097,0 200.016.848,0 124.044.608 217.548.832 27.699.667,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 938.424.928 10 93.842.492,0 92.680.080,0 86.979.872 103.162.336 4.564.417,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 947.106.432 10 94.710.643,0 92.024.304,0 86.894.272 119.269.856 9.089.818,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 962.991.680 10 96.299.168,0 93.656.592,0 86.813.536 126.196.032 11.006.444,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
42,0 967.245.184 10 96.724.518,0 92.472.992,0 86.960.416 134.999.296 13.786.426,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
41,0 977.566.112 10 97.756.611,0 93.808.352,0 86.932.704 143.506.720 16.312.529,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
43,0 1.547.922.272 10 154.792.227,0 149.827.920,0 95.182.336 214.354.720 40.401.951,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
