     34.9       1242625472       3900     318621.9     345824.0     253696     433088      44546.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.9       1203285280       3900     308534.7     345792.0     253856     449344      46009.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1164514144       3900     298593.4     265376.0     254272     431264      45141.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.8       1121716544       3900     287619.6     260256.0     254176     444448      41648.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.8       1368624736       3900     350929.4     346528.0     339040     450752      11284.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1307293312       3900     335203.4     346240.0     253856     428096      35892.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.1       1220813440       3900     313029.1     345728.0     217536     432800      45743.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.0       1111217760       3900     284927.6     260128.0     253952     445376      40301.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1180738016       3900     302753.3     269600.0     213056     431936      47710.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.0       1117622016       3900     286569.7     260288.0     206688     430560      53751.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1140631616       3900     292469.6     264448.0     177312     418272      44220.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1111693664       3900     285049.7     260192.0     253856     424608      40315.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1159113568       3900     297208.6     264960.0     253856     432800      44803.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.4       1109199296       3900     284410.1     260128.0     253632     430240      40003.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.2       1221549536       3900     313217.8     345824.0     253600     430976      45421.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1156089984       3900     296433.3     264880.0     180064     411040      46046.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1312825664       3900     336622.0     346336.0     254144     429728      34863.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.7       1284476384       3900     329352.9     346272.0     253920     433216      40312.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.7       1218890848       3900     312536.1     345856.0     253536     430976      45508.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.8       1248907008       3900     320232.6     345888.0     254272     430720      44111.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1367777440       3900     350712.2     346432.0     339264     431648      11111.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.1       1172122304       3900     300544.2     265824.0     253888     431136      45501.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.8       1175003392       3900     301282.9     266352.0     253920     431168      45543.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1136012832       3900     291285.3     261568.0     253920     427296      43245.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.4       1261490848       3900     323459.2     345888.0     253504     431744      43096.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.6       1194911104       3900     306387.5     295248.0     253984     419904      45948.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.4       1281018016       3900     328466.2     346144.0     254560     434720      40802.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.8       1243958848       3900     318963.8     345888.0     254336     428768      44464.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.6       1164609312       3900     298617.8     265312.0     253568     432800      45159.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1359140448       3900     348497.6     346432.0     253952     431584      17858.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1367735520       3900     350701.4     346400.0     338592     477312      11266.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.4       1207608224       3900     309643.1     345760.0     254464     431648      45760.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.2       1368117536       3900     350799.4     346464.0     339264     446176      11175.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.5       1271188928       3900     325945.9     345984.0     254336     444928      42052.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.1       1302108736       3900     333874.0     346336.0     254208     437696      37103.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1272887712       3900     326381.5     346144.0     175232     409024      60058.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.5       1305567008       3900     334760.8     346048.0     253536     428960      36270.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.4       1347927872       3900     345622.5     346400.0     254784     443584      23842.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1164747296       3900     298653.2     269584.0     205504     428800      53124.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.2       1368076096       3900     350788.7     346496.0     338208     429984      11101.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.8       1367743488       3900     350703.5     346368.0     338464     431712      11084.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.8       1368317792       3900     350850.7     346432.0     338048     458560      11200.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.1       1142695680       3900     292998.9     264400.0     254016     455840      43866.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
