1,0 1.673.752.288 6.000 278.958,0 278.432,0 276.288 1.357.440 17.075,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.663.040 6.000 279.610,0 279.360,0 277.280 653.344 8.486,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.873.856 6.000 278.812,0 278.560,0 276.416 656.896 8.503,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.656.836.640 6.000 276.139,0 275.168,0 272.352 2.457.600 33.067,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.140.800 6.000 278.690,0 278.400,0 276.416 656.128 9.627,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.039.360 6.000 279.006,0 278.688,0 276.800 652.576 9.649,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.961.536 6.000 279.326,0 278.496,0 276.416 653.760 16.646,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.655.706.144 6.000 275.951,0 275.232,0 272.416 661.856 10.766,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.883.232 6.000 275.647,0 274.976,0 272.000 669.664 12.150,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.363.616 6.000 279.227,0 278.784,0 276.736 653.312 11.827,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.700.256 6.000 279.450,0 279.136,0 276.992 654.816 9.665,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.657.994.528 6.000 276.332,0 275.872,0 272.992 661.216 8.966,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.659.369.440 6.000 276.561,0 275.456,0 272.576 662.048 17.655,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.655.147.712 6.000 275.858,0 274.848,0 271.712 655.040 12.326,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.919.648 6.000 278.653,0 278.336,0 276.256 688.672 9.884,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.678.719.808 6.000 279.786,0 278.496,0 276.640 661.216 21.450,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.430.688 6.000 279.405,0 278.720,0 276.832 2.212.704 26.555,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.866.080 6.000 279.311,0 278.688,0 276.640 654.112 10.564,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.475.264 6.000 278.745,0 278.464,0 276.352 655.648 8.857,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.493.664 6.000 278.915,0 278.592,0 276.704 652.608 9.695,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.652.849.984 6.000 275.475,0 275.264,0 272.480 654.368 8.539,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.415.488 6.000 279.402,0 278.784,0 276.928 1.761.792 21.631,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.679.699.808 6.000 279.950,0 279.040,0 276.896 673.920 17.517,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.354.336 6.000 279.059,0 278.592,0 276.608 1.372.576 17.085,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.658.163.296 6.000 276.360,0 275.328,0 272.608 4.238.176 51.880,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.507.680 6.000 279.251,0 278.816,0 276.608 664.224 11.851,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.691.767.552 6.000 281.961,0 278.912,0 277.120 663.136 33.225,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.052.224 6.000 279.175,0 278.848,0 276.800 652.352 9.690,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.967.008 6.000 279.327,0 278.752,0 276.896 652.800 13.559,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.023.744 6.000 279.337,0 279.040,0 276.960 649.696 9.042,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.678.102.720 6.000 279.683,0 278.752,0 273.792 655.904 17.402,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.397.856 6.000 279.566,0 278.944,0 276.768 708.992 14.645,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.681.327.136 6.000 280.221,0 279.072,0 276.768 649.856 19.673,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.681.622.880 6.000 280.270,0 278.976,0 276.608 648.608 20.808,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.429.664 6.000 279.238,0 278.912,0 276.768 652.032 9.739,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.513.568 6.000 278.752,0 278.336,0 276.224 647.680 10.826,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
