0,0 16.832 3 5.610,0 5.824,0 4.192 6.816 1.324,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.224 3 5.408,0 5.376,0 4.096 6.752 1.328,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.816 3 7.605,0 8.096,0 6.336 8.384 1.108,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.904 3 5.301,0 5.408,0 3.968 6.528 1.283,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.544 3 5.514,0 5.312,0 4.192 7.040 1.434,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.096 3 5.365,0 5.376,0 4.256 6.464 1.104,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.512 3 5.504,0 5.440,0 4.512 6.560 1.025,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.256 3 5.418,0 5.632,0 3.904 6.720 1.420,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.896 3 5.632,0 5.632,0 4.320 6.944 1.312,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.256 3 5.418,0 5.440,0 4.096 6.720 1.312,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.160 3 5.386,0 5.504,0 4.192 6.464 1.140,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.480 3 5.493,0 5.504,0 4.288 6.688 1.200,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.512 3 5.504,0 5.632,0 4.192 6.688 1.252,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.512 3 5.504,0 5.728,0 4.032 6.752 1.373,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.128 3 5.376,0 5.344,0 4.096 6.688 1.296,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.640 3 5.546,0 5.536,0 4.320 6.784 1.232,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.208 3 7.402,0 7.904,0 6.272 8.032 981,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.456 3 5.152,0 5.408,0 4.224 5.824 830,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.032 3 5.344,0 5.344,0 4.000 6.688 1.344,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.192 3 5.397,0 5.632,0 4.096 6.464 1.201,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.512 3 5.504,0 5.472,0 4.192 6.848 1.328,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.720 3 7.573,0 8.096,0 6.368 8.256 1.046,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.608 3 5.536,0 5.280,0 4.512 6.816 1.173,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.840 3 5.280,0 5.312,0 4.096 6.432 1.168,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.544 3 5.514,0 5.632,0 4.160 6.752 1.300,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.704 3 5.568,0 5.344,0 4.608 6.752 1.089,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.904 3 5.301,0 5.376,0 4.096 6.432 1.169,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.576 3 5.525,0 5.472,0 4.352 6.752 1.200,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.160 3 5.386,0 5.536,0 3.968 6.656 1.350,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.128 3 5.376,0 5.600,0 3.968 6.560 1.310,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.448 3 5.482,0 5.600,0 4.064 6.784 1.363,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.064 3 5.354,0 5.568,0 4.000 6.496 1.261,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.416 3 5.472,0 5.408,0 4.160 6.848 1.345,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.032 3 5.344,0 5.504,0 3.968 6.560 1.303,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.352 3 5.450,0 5.568,0 4.032 6.752 1.363,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.384 3 5.461,0 5.568,0 4.320 6.496 1.091,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.256 3 5.418,0 5.472,0 4.000 6.784 1.392,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.448 3 5.482,0 5.600,0 4.160 6.688 1.268,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 17.344 3 5.781,0 5.600,0 4.224 7.520 1.655,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.416 3 5.472,0 5.568,0 4.032 6.816 1.394,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.608 3 5.536,0 5.568,0 4.320 6.720 1.200,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.672 3 5.557,0 5.504,0 4.288 6.880 1.296,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.640 3 5.546,0 5.568,0 4.224 6.848 1.312,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.672 3 5.557,0 5.568,0 4.256 6.848 1.296,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.384 3 5.461,0 5.344,0 4.288 6.752 1.236,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.192 3 5.397,0 5.408,0 4.224 6.560 1.168,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.160 3 5.386,0 5.440,0 4.000 6.720 1.360,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.512 3 5.504,0 5.472,0 4.224 6.816 1.296,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.536,0 4.096 6.688 1.298,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.936 3 7.978,0 8.192,0 6.176 9.568 1.706,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.576 3 5.525,0 5.504,0 4.192 6.880 1.344,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.096 3 5.365,0 5.440,0 4.064 6.592 1.265,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.224 3 5.408,0 5.568,0 3.936 6.720 1.398,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.560 3 7.520,0 8.128,0 6.272 8.160 1.080,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.288 3 5.429,0 5.440,0 4.032 6.816 1.392,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.224 3 5.408,0 5.472,0 4.192 6.560 1.185,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.512 3 5.504,0 5.440,0 4.224 6.848 1.313,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.000 3 5.333,0 5.408,0 3.840 6.752 1.457,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.904 3 5.301,0 5.440,0 3.936 6.528 1.301,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.416 3 5.472,0 5.472,0 4.192 6.752 1.280,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.352 3 5.450,0 5.408,0 4.320 6.624 1.152,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.656 3 7.552,0 8.096,0 6.432 8.128 970,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.496 3 7.498,0 7.872,0 6.432 8.192 937,0 CUDA_KERNEL lud_internal(float *, int, int)
