4,0 107.968 3 35.989,0 36.384,0 34.592 36.992 1.247,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 111.424 3 37.141,0 37.120,0 35.872 38.432 1.280,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 119.584 3 39.861,0 40.608,0 38.176 40.800 1.462,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.520 3 35.840,0 35.808,0 34.592 37.120 1.264,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 108.224 3 36.074,0 36.160,0 34.752 37.312 1.282,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.616 3 35.872,0 35.904,0 34.592 37.120 1.264,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 113.504 3 37.834,0 38.336,0 36.096 39.072 1.550,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.616 3 35.872,0 35.456,0 34.304 37.856 1.812,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.712 3 35.904,0 35.648,0 34.528 37.536 1.520,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.392 3 35.797,0 35.552,0 34.784 37.056 1.155,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.872 3 35.957,0 35.904,0 34.336 37.632 1.648,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.576 3 36.192,0 36.256,0 35.168 37.152 993,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.520 3 35.840,0 35.776,0 34.592 37.152 1.281,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 108.960 3 36.320,0 36.384,0 35.200 37.376 1.089,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 121.408 3 40.469,0 40.736,0 39.136 41.536 1.222,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 118.496 3 39.498,0 39.072,0 38.592 40.832 1.179,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 112.672 3 37.557,0 37.824,0 36.512 38.336 940,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.936 3 35.978,0 36.288,0 34.528 37.120 1.323,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.456 3 35.818,0 35.776,0 34.592 37.088 1.248,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 108.704 3 36.234,0 36.256,0 35.168 37.280 1.056,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.616 3 35.872,0 35.328,0 35.264 37.024 998,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.392 3 35.797,0 35.968,0 34.304 37.120 1.415,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 106.976 3 35.658,0 36.288,0 34.368 36.320 1.117,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.960 3 36.320,0 36.000,0 34.656 38.304 1.844,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.904 3 35.968,0 35.744,0 35.040 37.120 1.057,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.456 3 35.818,0 35.904,0 34.368 37.184 1.409,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.040 3 35.680,0 35.456,0 34.560 37.024 1.247,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.680 3 35.893,0 35.808,0 34.496 37.376 1.441,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 106.208 3 35.402,0 35.456,0 34.400 36.352 977,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.488 3 35.829,0 35.776,0 34.560 37.152 1.296,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.872 3 35.957,0 35.712,0 34.944 37.216 1.155,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.552 3 35.850,0 35.808,0 34.624 37.120 1.248,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.296 3 35.765,0 35.776,0 34.432 37.088 1.328,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.392 3 35.797,0 35.936,0 34.624 36.832 1.110,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 119.616 3 39.872,0 40.256,0 38.560 40.800 1.168,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 108.192 3 36.064,0 35.968,0 35.200 37.024 915,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.488 3 35.829,0 35.616,0 34.528 37.344 1.420,0 CUDA_KERNEL lud_perimeter(float *, int, int)
