4,0 130.144 4 32.536,0 31.808,0 31.136 35.392 1.936,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 136.416 4 34.104,0 33.184,0 32.928 37.120 2.017,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 146.912 4 36.728,0 35.728,0 34.688 40.768 2.737,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.720 4 32.680,0 31.568,0 31.136 36.448 2.544,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.696 4 32.424,0 31.680,0 31.136 35.200 1.886,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.656 4 32.664,0 31.600,0 31.168 36.288 2.446,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.336 4 34.584,0 33.216,0 32.768 39.136 3.058,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.984 4 32.496,0 31.632,0 31.136 35.584 2.075,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.328 4 32.832,0 32.080,0 31.136 36.032 2.179,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.824 4 32.456,0 31.744,0 31.200 35.136 1.805,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.432 4 32.608,0 31.568,0 31.136 36.160 2.395,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 129.408 4 32.352,0 31.568,0 31.168 35.104 1.868,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.296 4 32.824,0 31.936,0 31.168 36.256 2.317,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.144 4 32.536,0 31.680,0 31.136 35.648 2.100,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 146.016 4 36.504,0 35.248,0 34.592 40.928 2.989,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 144.128 4 36.032,0 35.280,0 34.528 39.040 2.043,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.560 4 34.640,0 33.152,0 33.088 39.168 3.018,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.232 4 32.808,0 32.000,0 31.168 36.064 2.207,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.040 4 32.760,0 32.000,0 31.136 35.904 2.135,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.792 4 32.448,0 31.712,0 31.168 35.200 1.855,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.464 4 32.616,0 31.824,0 31.168 35.648 2.046,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.728 4 32.432,0 31.648,0 31.168 35.264 1.941,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.248 4 32.312,0 31.360,0 31.296 35.232 1.947,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.656 4 32.664,0 32.064,0 31.200 35.328 1.822,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.112 4 32.528,0 31.824,0 31.200 35.264 1.849,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.496 4 32.624,0 31.600,0 31.168 36.128 2.371,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.984 4 32.496,0 31.584,0 31.168 35.648 2.123,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.432 4 32.608,0 31.904,0 31.136 35.488 1.954,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.520 4 32.880,0 31.984,0 31.200 36.352 2.345,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.200 4 32.800,0 32.096,0 31.200 35.808 2.049,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.240 4 32.560,0 31.584,0 31.168 35.904 2.253,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.680 4 32.920,0 32.096,0 31.200 36.288 2.288,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.496 4 32.624,0 31.568,0 31.200 36.160 2.382,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.008 4 32.752,0 32.000,0 31.168 35.840 2.098,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 147.072 4 36.768,0 35.664,0 35.328 40.416 2.437,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.616 4 32.904,0 32.160,0 31.168 36.128 2.200,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.408 4 32.352,0 31.376,0 31.136 35.520 2.124,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.152 4 32.288,0 31.408,0 31.136 35.200 1.950,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.168 4 32.792,0 31.888,0 31.200 36.192 2.298,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.048 4 32.512,0 31.584,0 31.168 35.712 2.165,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.688 4 32.672,0 32.080,0 31.168 35.360 1.842,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.720 4 32.680,0 31.744,0 31.104 36.128 2.360,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.016 4 32.504,0 31.312,0 31.200 36.192 2.459,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 128.864 4 32.216,0 31.168,0 31.136 35.392 2.117,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 132.160 4 33.040,0 32.096,0 32.000 35.968 1.952,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.560 4 32.640,0 31.664,0 31.136 36.096 2.352,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.360 4 32.840,0 31.728,0 31.456 36.448 2.409,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.208 4 32.552,0 31.792,0 31.200 35.424 1.935,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.648 4 32.912,0 32.080,0 31.168 36.320 2.314,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 136.960 4 34.240,0 33.040,0 32.768 38.112 2.591,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 137.248 4 34.312,0 33.472,0 32.736 37.568 2.200,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.392 4 32.848,0 32.112,0 31.136 36.032 2.172,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.200 4 32.800,0 32.064,0 31.168 35.904 2.116,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.440 4 32.360,0 31.392,0 31.168 35.488 2.088,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.272 4 34.568,0 33.424,0 32.864 38.560 2.688,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.816 4 32.704,0 31.824,0 31.200 35.968 2.200,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 145.312 4 36.328,0 35.664,0 34.688 39.296 2.034,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.888 4 32.472,0 31.696,0 31.168 35.328 1.947,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.320 4 64.080,0 62.656,0 62.304 68.704 3.096,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.720 4 32.680,0 32.000,0 31.136 35.584 1.978,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.152 4 32.288,0 31.312,0 31.168 35.360 2.050,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.080 4 32.520,0 31.920,0 31.168 35.072 1.739,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.176 4 32.544,0 31.968,0 31.168 35.072 1.727,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.304 4 32.576,0 31.472,0 31.168 36.192 2.415,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 146.912 4 36.728,0 35.760,0 34.976 40.416 2.492,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 128.512 4 32.128,0 31.168,0 31.136 35.040 1.941,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 141.504 4 35.376,0 34.320,0 34.208 38.656 2.187,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.536 4 32.384,0 31.200,0 31.168 35.968 2.389,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 137.024 4 34.256,0 32.768,0 32.736 38.752 2.997,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.944 4 32.736,0 32.048,0 31.136 35.712 2.030,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.784 4 32.696,0 31.872,0 31.136 35.904 2.166,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 131.136 4 32.784,0 31.904,0 31.776 35.552 1.847,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.392 4 32.848,0 32.032,0 31.136 36.192 2.269,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.112 4 32.528,0 31.632,0 31.168 35.680 2.127,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.624 4 32.656,0 31.888,0 31.136 35.712 2.068,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.744 4 32.936,0 32.160,0 31.168 36.256 2.262,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 131.360 4 32.840,0 32.096,0 31.200 35.968 2.135,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.880 4 32.720,0 32.032,0 31.168 35.648 1.995,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.536 4 32.384,0 31.328,0 31.168 35.712 2.222,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.696 4 32.424,0 31.504,0 31.136 35.552 2.095,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 128.832 4 32.208,0 31.312,0 31.136 35.072 1.912,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.912 4 32.728,0 31.888,0 31.168 35.968 2.197,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.304 4 32.576,0 31.312,0 31.136 36.544 2.649,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 141.888 4 35.472,0 34.496,0 33.760 39.136 2.472,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 131.296 4 32.824,0 32.032,0 31.744 35.488 1.782,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.976 4 32.744,0 31.744,0 31.200 36.288 2.383,0 CUDA_KERNEL lud_diagonal(float *, int, int)
