0,0 20.352 2 10.176,0 10.176,0 8.704 11.648 2.081,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.360 2 7.680,0 7.680,0 7.008 8.352 950,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
1,0 15.648 2 7.824,0 7.824,0 7.200 8.448 882,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.904 2 7.952,0 7.952,0 6.784 9.120 1.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.664 2 10.832,0 10.832,0 9.824 11.840 1.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.688 2 7.344,0 7.344,0 6.496 8.192 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.888 2 10.944,0 10.944,0 8.864 13.024 2.941,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.152 2 10.576,0 10.576,0 8.800 12.352 2.511,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.816 2 5.408,0 5.408,0 4.576 6.240 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.912 2 7.456,0 7.456,0 6.528 8.384 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
1,0 13.216 2 6.608,0 6.608,0 5.696 7.520 1.289,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.416 2 10.208,0 10.208,0 8.768 11.648 2.036,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.816 2 5.408,0 5.408,0 4.576 6.240 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.616 2 7.808,0 7.808,0 7.072 8.544 1.040,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.656 2 5.328,0 5.328,0 4.512 6.144 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.448 2 6.224,0 6.224,0 5.344 7.104 1.244,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.064 2 6.032,0 6.032,0 4.896 7.168 1.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.128 2 6.064,0 6.064,0 5.184 6.944 1.244,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.352 2 6.176,0 6.176,0 5.312 7.040 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.152 2 6.576,0 6.576,0 5.632 7.520 1.335,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.112 2 7.056,0 7.056,0 6.016 8.096 1.470,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.656 2 5.328,0 5.328,0 4.512 6.144 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.848 2 7.424,0 7.424,0 6.496 8.352 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.784 2 7.392,0 7.392,0 6.400 8.384 1.402,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.448 2 6.224,0 6.224,0 5.344 7.104 1.244,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.384 2 6.192,0 6.192,0 5.312 7.072 1.244,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.640 2 6.320,0 6.320,0 5.536 7.104 1.108,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.672 2 10.336,0 10.336,0 8.768 11.904 2.217,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.480 2 6.240,0 6.240,0 5.312 7.168 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.480 2 6.240,0 6.240,0 5.312 7.168 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.480 2 10.240,0 10.240,0 8.800 11.680 2.036,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.976 2 7.488,0 7.488,0 6.560 8.416 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.720 2 5.360,0 5.360,0 4.512 6.208 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.640 2 10.320,0 10.320,0 8.992 11.648 1.878,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.320 2 6.160,0 6.160,0 5.312 7.008 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.584 2 7.792,0 7.792,0 7.200 8.384 837,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.768 2 8.384,0 8.384,0 7.136 9.632 1.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.880 2 7.440,0 7.440,0 6.432 8.448 1.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.168 2 7.584,0 7.584,0 6.752 8.416 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.512 2 6.256,0 6.256,0 5.280 7.232 1.380,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.672 2 6.336,0 6.336,0 5.440 7.232 1.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.408 2 6.704,0 6.704,0 6.080 7.328 882,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.168 2 7.584,0 7.584,0 6.816 8.352 1.086,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.160 2 6.080,0 6.080,0 5.216 6.944 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.472 2 10.736,0 10.736,0 9.792 11.680 1.335,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.424 2 7.712,0 7.712,0 6.688 8.736 1.448,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.104 2 7.552,0 7.552,0 6.752 8.352 1.131,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.720 2 7.360,0 7.360,0 6.432 8.288 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.216 2 6.608,0 6.608,0 5.536 7.680 1.516,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.440 2 10.720,0 10.720,0 9.728 11.712 1.402,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.408 2 10.704,0 10.704,0 9.728 11.680 1.380,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.800 2 10.400,0 10.400,0 8.800 12.000 2.262,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.528 2 11.264,0 11.264,0 9.696 12.832 2.217,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.696 2 10.848,0 10.848,0 9.920 11.776 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.800 2 10.400,0 10.400,0 9.184 11.616 1.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.288 2 6.144,0 6.144,0 5.280 7.008 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.648 2 7.824,0 7.824,0 7.264 8.384 792,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.344 2 10.672,0 10.672,0 9.216 12.128 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.408 2 10.704,0 10.704,0 8.800 12.608 2.692,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.800 2 10.400,0 10.400,0 9.184 11.616 1.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.592 2 11.296,0 11.296,0 9.952 12.640 1.900,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
