0,0 13.376 2 6.688,0 6.688,0 4.288 9.088 3.394,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.792 2 8.896,0 8.896,0 6.080 11.712 3.982,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 13.152 2 6.576,0 6.576,0 4.224 8.928 3.326,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.040 2 7.520,0 7.520,0 5.056 9.984 3.484,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.640 2 8.320,0 8.320,0 4.640 12.000 5.204,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.880 2 7.440,0 7.440,0 4.896 9.984 3.597,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.072 2 7.536,0 7.536,0 5.024 10.048 3.552,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.744 2 7.872,0 7.872,0 5.280 10.464 3.665,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.776 2 7.888,0 7.888,0 5.344 10.432 3.597,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.280 2 6.640,0 6.640,0 4.288 8.992 3.326,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.536 2 8.768,0 8.768,0 5.952 11.584 3.982,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.728 2 8.864,0 8.864,0 5.984 11.744 4.072,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.168 2 7.584,0 7.584,0 4.992 10.176 3.665,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.232 2 7.616,0 7.616,0 5.056 10.176 3.620,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.072 2 7.536,0 7.536,0 5.024 10.048 3.552,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.984 2 12.992,0 12.992,0 9.248 16.736 5.294,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.264 2 7.632,0 7.632,0 5.024 10.240 3.688,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.880 2 7.440,0 7.440,0 4.992 9.888 3.462,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 27.232 2 13.616,0 13.616,0 8.896 18.336 6.675,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.920 2 8.960,0 8.960,0 6.112 11.808 4.027,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.120 2 6.560,0 6.560,0 4.224 8.896 3.303,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.400 2 13.200,0 13.200,0 9.472 16.928 5.272,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.232 2 7.616,0 7.616,0 5.056 10.176 3.620,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.504 2 8.752,0 8.752,0 6.016 11.488 3.869,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.080 2 9.040,0 9.040,0 6.240 11.840 3.959,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.824 2 8.912,0 8.912,0 6.240 11.584 3.778,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.400 2 9.200,0 9.200,0 6.784 11.616 3.416,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.168 2 7.584,0 7.584,0 4.960 10.208 3.710,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.488 2 7.744,0 7.744,0 5.120 10.368 3.710,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.392 2 7.696,0 7.696,0 5.152 10.240 3.597,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.472 2 8.736,0 8.736,0 6.080 11.392 3.756,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.264 2 7.632,0 7.632,0 4.960 10.304 3.778,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.768 2 12.384,0 12.384,0 8.096 16.672 6.064,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.048 2 9.024,0 9.024,0 6.080 11.968 4.163,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.440 2 8.720,0 8.720,0 5.920 11.520 3.959,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.664 2 8.832,0 8.832,0 6.016 11.648 3.982,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.072 2 7.536,0 7.536,0 5.024 10.048 3.552,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.992 2 12.496,0 12.496,0 8.192 16.800 6.086,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.368 2 13.184,0 13.184,0 8.608 17.760 6.471,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.600 2 12.800,0 12.800,0 8.192 17.408 6.516,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.760 2 12.880,0 12.880,0 8.640 17.120 5.996,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.344 2 12.672,0 12.672,0 8.192 17.152 6.335,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.912 2 13.456,0 13.456,0 9.216 17.696 5.996,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.424 2 7.712,0 7.712,0 4.896 10.528 3.982,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.696 2 8.848,0 8.848,0 6.048 11.648 3.959,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.792 2 12.896,0 12.896,0 8.192 17.600 6.652,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.176 2 13.088,0 13.088,0 9.440 16.736 5.159,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.856 2 12.928,0 12.928,0 8.768 17.088 5.883,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 28.160 2 14.080,0 14.080,0 9.600 18.560 6.335,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.632 2 8.816,0 8.816,0 6.112 11.520 3.824,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.520 2 7.760,0 7.760,0 5.152 10.368 3.688,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.984 2 8.992,0 8.992,0 6.240 11.744 3.891,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.072 2 7.536,0 7.536,0 5.024 10.048 3.552,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.384 2 12.192,0 12.192,0 8.192 16.192 5.656,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.272 2 9.136,0 9.136,0 6.624 11.648 3.552,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.008 2 7.504,0 7.504,0 4.960 10.048 3.597,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.904 2 7.952,0 7.952,0 5.312 10.592 3.733,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.024 2 6.512,0 6.512,0 4.160 8.864 3.326,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.568 2 8.784,0 8.784,0 6.016 11.552 3.914,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.592 2 13.296,0 13.296,0 9.440 17.152 5.453,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.960 2 12.480,0 12.480,0 8.288 16.672 5.928,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.984 2 12.992,0 12.992,0 8.224 17.760 6.743,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.312 2 12.656,0 12.656,0 8.480 16.832 5.905,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.728 2 8.864,0 8.864,0 6.016 11.712 4.027,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.992 2 12.496,0 12.496,0 8.256 16.736 5.996,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.248 2 12.624,0 12.624,0 8.288 16.960 6.132,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.864 2 12.432,0 12.432,0 8.256 16.608 5.905,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.280 2 6.640,0 6.640,0 4.224 9.056 3.416,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.600 2 8.800,0 8.800,0 6.016 11.584 3.937,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.800 2 12.400,0 12.400,0 8.160 16.640 5.996,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.576 2 12.288,0 12.288,0 8.256 16.320 5.702,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.576 2 12.288,0 12.288,0 8.096 16.480 5.928,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.800 2 12.400,0 12.400,0 8.448 16.352 5.589,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.312 2 12.656,0 12.656,0 8.640 16.672 5.679,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.080 2 13.040,0 13.040,0 8.192 17.888 6.856,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.952 2 8.976,0 8.976,0 6.176 11.776 3.959,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.248 2 6.624,0 6.624,0 4.256 8.992 3.348,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.280 2 6.640,0 6.640,0 4.320 8.960 3.281,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.824 2 6.912,0 6.912,0 4.256 9.568 3.756,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.048 2 9.024,0 9.024,0 6.592 11.456 3.439,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.016 2 9.008,0 9.008,0 6.400 11.616 3.688,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.600 2 8.800,0 8.800,0 6.080 11.520 3.846,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.368 2 9.184,0 9.184,0 6.720 11.648 3.484,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.328 2 7.664,0 7.664,0 5.152 10.176 3.552,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.072 2 7.536,0 7.536,0 4.992 10.080 3.597,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.096 2 10.048,0 10.048,0 6.304 13.792 5.294,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.696 2 8.848,0 8.848,0 6.016 11.680 4.005,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.288 2 8.144,0 8.144,0 5.536 10.752 3.688,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.432 2 9.216,0 9.216,0 6.624 11.808 3.665,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.856 2 12.928,0 12.928,0 8.128 17.728 6.788,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.016 2 13.008,0 13.008,0 8.576 17.440 6.267,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.816 2 13.408,0 13.408,0 8.896 17.920 6.380,0 CUDA_KERNEL Fan1(float *, float *, int, int)
