11,0 2.831.552 1 2.831.552,0 2.831.552,0 2.831.552 2.831.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
22,0 1.519.264 1 1.519.264,0 1.519.264,0 1.519.264 1.519.264 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.834.048 1 2.834.048,0 2.834.048,0 2.834.048 2.834.048 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.834.816 1 2.834.816,0 2.834.816,0 2.834.816 2.834.816 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.168 1 2.835.168,0 2.835.168,0 2.835.168 2.835.168 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
23,0 1.440.640 1 1.440.640,0 1.440.640,0 1.440.640 1.440.640 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.024 1 2.833.024,0 2.833.024,0 2.833.024 2.833.024 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.072 1 2.835.072,0 2.835.072,0 2.835.072 2.835.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.832.064 1 2.832.064,0 2.832.064,0 2.832.064 2.832.064 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.837.632 1 2.837.632,0 2.837.632,0 2.837.632 2.837.632 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.184 1 2.833.184,0 2.833.184,0 2.833.184 2.833.184 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.184 1 2.833.184,0 2.833.184,0 2.833.184 2.833.184 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.040 1 2.835.040,0 2.835.040,0 2.835.040 2.835.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.834.528 1 2.834.528,0 2.834.528,0 2.834.528 2.834.528 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.216 1 2.833.216,0 2.833.216,0 2.833.216 2.833.216 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.834.912 1 2.834.912,0 2.834.912,0 2.834.912 2.834.912 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.680 1 2.835.680,0 2.835.680,0 2.835.680 2.835.680 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.834.656 1 2.834.656,0 2.834.656,0 2.834.656 2.834.656 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.837.056 1 2.837.056,0 2.837.056,0 2.837.056 2.837.056 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.831.008 1 2.831.008,0 2.831.008,0 2.831.008 2.831.008 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
23,0 2.835.584 1 2.835.584,0 2.835.584,0 2.835.584 2.835.584 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.835.296 1 2.835.296,0 2.835.296,0 2.835.296 2.835.296 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.832.832 1 2.832.832,0 2.832.832,0 2.832.832 2.832.832 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.040 1 2.835.040,0 2.835.040,0 2.835.040 2.835.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
25,0 2.835.744 1 2.835.744,0 2.835.744,0 2.835.744 2.835.744 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
19,0 1.442.208 1 1.442.208,0 1.442.208,0 1.442.208 1.442.208 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.836.128 1 2.836.128,0 2.836.128,0 2.836.128 2.836.128 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.833.408 1 2.833.408,0 2.833.408,0 2.833.408 2.833.408 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 2.836.224 1 2.836.224,0 2.836.224,0 2.836.224 2.836.224 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.632 1 2.833.632,0 2.833.632,0 2.833.632 2.833.632 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.835.616 1 2.835.616,0 2.835.616,0 2.835.616 2.835.616 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 1.834.432 1 1.834.432,0 1.834.432,0 1.834.432 1.834.432 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.832.800 1 2.832.800,0 2.832.800,0 2.832.800 2.832.800 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.833.792 1 2.833.792,0 2.833.792,0 2.833.792 2.833.792 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 2.125.856 1 2.125.856,0 2.125.856,0 2.125.856 2.125.856 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
24,0 2.834.432 1 2.834.432,0 2.834.432,0 2.834.432 2.834.432 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
24,0 1.439.552 1 1.439.552,0 1.439.552,0 1.439.552 1.439.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
