0.0 70816 8 8852.0 8560.0 8320 10368 695.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68416 8 8552.0 8336.0 8160 10368 739.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 35936 8 4492.0 4240.0 3968 5760 597.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68768 8 8596.0 8240.0 8000 10976 977.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69184 8 8648.0 8464.0 7904 10240 746.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68288 8 8536.0 8320.0 7936 10336 748.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69248 8 8656.0 8304.0 8064 11040 987.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68192 8 8524.0 8288.0 7904 10528 823.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68608 8 8576.0 8336.0 7936 10432 779.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68544 8 8568.0 8304.0 8128 10400 747.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68576 8 8572.0 8304.0 7776 10304 810.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69568 8 8696.0 8320.0 7904 11392 1110.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 72032 8 9004.0 8816.0 8288 10432 719.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69440 8 8680.0 8416.0 8160 10592 803.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69824 8 8728.0 8592.0 8064 10336 701.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 37120 8 4640.0 4240.0 3968 5760 746.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70112 8 8764.0 8400.0 8192 10368 817.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68224 8 8528.0 8288.0 7776 10240 760.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69824 8 8728.0 8512.0 8064 10464 785.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70560 8 8820.0 8432.0 8224 10720 849.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69600 8 8700.0 8624.0 7904 10432 768.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69056 8 8632.0 8304.0 7904 10240 733.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 37888 8 4736.0 4432.0 3968 5760 777.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69024 8 8628.0 8384.0 8000 10336 721.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 36928 8 4616.0 4304.0 3968 5760 696.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69600 8 8700.0 8336.0 7840 10880 942.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68576 8 8572.0 8240.0 8000 10688 895.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70976 8 8872.0 8752.0 8128 10336 709.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68320 8 8540.0 8288.0 7808 10304 768.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69600 8 8700.0 8416.0 7808 10912 962.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69024 8 8628.0 8304.0 7840 10336 826.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 71392 8 8924.0 8640.0 8256 10432 776.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69760 8 8720.0 8336.0 8128 10912 925.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68416 8 8552.0 8288.0 8064 10240 700.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68096 8 8512.0 8304.0 8000 10272 725.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69920 8 8740.0 8384.0 7968 11168 1011.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68704 8 8588.0 8320.0 8160 10432 751.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68768 8 8596.0 8304.0 8192 10368 737.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 54208 8 6776.0 6496.0 6208 8256 726.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70176 8 8772.0 8448.0 8000 10912 932.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 52896 8 6612.0 6560.0 5856 8032 646.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68576 8 8572.0 8336.0 8128 10336 721.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69376 8 8672.0 8608.0 7968 10272 698.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68032 8 8504.0 8336.0 7744 10432 812.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68416 8 8552.0 8352.0 7872 10400 791.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68640 8 8580.0 8288.0 8128 10720 868.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69408 8 8676.0 8352.0 8192 11040 964.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 35840 8 4480.0 4240.0 4000 5792 608.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69952 8 8744.0 8368.0 8192 10336 746.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68736 8 8592.0 8352.0 7904 10432 789.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69248 8 8656.0 8384.0 8192 10368 721.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68768 8 8596.0 8272.0 8160 10368 757.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69216 8 8652.0 8352.0 8096 10336 720.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 54464 8 6808.0 6736.0 6112 8096 673.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70336 8 8792.0 8320.0 8000 11296 1074.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69344 8 8668.0 8416.0 8064 10368 742.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68832 8 8604.0 8352.0 7872 10432 799.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69664 8 8708.0 8352.0 7904 10336 775.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68448 8 8556.0 8304.0 7936 10464 816.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69952 8 8744.0 8368.0 8192 10560 790.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69696 8 8712.0 8464.0 8032 10784 875.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69728 8 8716.0 8496.0 8288 10336 676.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68576 8 8572.0 8272.0 7872 10400 836.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69472 8 8684.0 8288.0 7968 11296 1092.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69632 8 8704.0 8512.0 8096 10272 695.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69440 8 8680.0 8304.0 7904 10944 1000.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69792 8 8724.0 8432.0 8256 10304 675.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 67520 8 8440.0 8288.0 7776 10368 805.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68160 8 8520.0 8240.0 8064 10432 786.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68576 8 8572.0 8368.0 7808 10304 750.2 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
