0.1 185728 8 23216.0 24624.0 11360 29088 5680.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187040 8 23380.0 24832.0 11520 29408 5741.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185280 8 23160.0 24272.0 11456 29376 5679.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185792 8 23224.0 24768.0 11840 28704 5425.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185568 8 23196.0 24464.0 11776 28672 5433.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185920 8 23240.0 24704.0 11360 28608 5755.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186752 8 23344.0 25312.0 11296 29024 5703.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186208 8 23276.0 24608.0 11840 28928 5599.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185056 8 23132.0 24640.0 11296 28480 5616.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186304 8 23288.0 24688.0 11264 29504 5835.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 189312 8 23664.0 24848.0 11840 30976 5951.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 129728 8 16216.0 16800.0 8736 20800 3829.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187648 8 23456.0 24864.0 12096 29152 5511.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 141344 8 17668.0 18512.0 9280 22336 4029.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187744 8 23468.0 24896.0 11712 28896 5607.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185344 8 23168.0 24640.0 11296 29728 5762.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187360 8 23420.0 25088.0 11232 29920 5941.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187264 8 23408.0 24896.0 11264 29280 5782.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186432 8 23304.0 24848.0 11744 29344 5639.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188128 8 23516.0 24640.0 11264 30304 5957.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 98592 8 12324.0 13216.0 5760 15648 3172.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185024 8 23128.0 24672.0 12064 28864 5461.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187456 8 23432.0 24848.0 11360 28800 5687.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185664 8 23208.0 24752.0 11328 28800 5715.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186720 8 23340.0 24848.0 12448 29248 5433.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188416 8 23552.0 25136.0 11968 28608 5610.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 142656 8 17832.0 19088.0 8864 21792 4353.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187424 8 23428.0 25056.0 11328 28736 5716.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186336 8 23292.0 24992.0 11616 28576 5525.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186848 8 23356.0 24544.0 12032 29792 5558.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185472 8 23184.0 24976.0 12192 28768 5356.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187392 8 23424.0 24896.0 12192 29312 5540.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186528 8 23316.0 24960.0 11744 29600 5723.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 190176 8 23772.0 24656.0 11424 29856 6006.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186400 8 23300.0 24704.0 11328 28928 5647.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186400 8 23300.0 24784.0 11680 28928 5533.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186560 8 23320.0 24624.0 11968 29600 5663.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187712 8 23464.0 24448.0 11392 31168 6050.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187968 8 23496.0 25168.0 11424 29312 5766.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187200 8 23400.0 24784.0 11936 29248 5509.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188480 8 23560.0 24976.0 11872 29536 5646.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188704 8 23588.0 24720.0 12576 29792 5497.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187648 8 23456.0 25296.0 11296 28992 5638.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 127616 8 15952.0 16352.0 8160 21664 4202.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 189088 8 23636.0 24912.0 12096 30880 5676.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186688 8 23336.0 24416.0 12288 29440 5558.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186464 8 23308.0 24976.0 11264 29568 5849.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 184480 8 23060.0 24496.0 11424 28800 5711.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 97280 8 12160.0 13024.0 6784 14624 2706.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 187264 8 23408.0 25248.0 11840 28448 5547.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 185632 8 23204.0 24672.0 11936 29088 5464.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186464 8 23308.0 24768.0 11904 28672 5541.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186816 8 23352.0 24864.0 11968 29792 5512.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 188640 8 23580.0 24608.0 11360 32128 6246.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0.1 186400 8 23300.0 24752.0 12000 29088 5389.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
