7,0 21.495.872 12 1.791.322,0 569.728,0 213.952 8.934.560 2.606.972,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 25.204.512 12 2.100.376,0 573.472,0 209.120 12.562.784 3.550.600,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.456.928 12 1.788.077,0 569.296,0 208.640 8.937.888 2.606.295,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.466.048 12 1.788.837,0 572.528,0 209.056 8.947.488 2.607.004,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.479.712 12 1.789.976,0 569.072,0 210.368 8.942.176 2.608.157,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.451.360 12 1.787.613,0 569.344,0 208.992 8.936.960 2.605.604,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.438.464 12 1.786.538,0 565.680,0 208.640 8.931.424 2.604.555,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 15.887.008 12 1.323.917,0 415.904,0 156.288 6.700.800 1.953.663,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.426.304 12 1.785.525,0 564.640,0 209.248 8.952.096 2.608.425,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.450.592 12 1.787.549,0 576.080,0 212.480 8.942.528 2.603.876,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.442.464 12 1.786.872,0 567.872,0 209.568 8.939.648 2.607.442,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.472.928 12 1.789.410,0 571.888,0 213.024 8.940.416 2.606.955,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.462.656 12 1.788.554,0 571.168,0 212.160 8.939.840 2.607.287,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.517.664 12 1.793.138,0 570.096,0 211.424 8.953.888 2.612.362,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.445.408 12 1.787.117,0 566.000,0 212.064 8.943.328 2.607.248,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.490.912 12 1.790.909,0 579.632,0 211.008 8.935.936 2.603.576,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.461.344 12 1.788.445,0 568.560,0 212.768 8.934.624 2.605.250,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.437.472 12 1.786.456,0 566.784,0 211.840 8.936.960 2.605.546,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.434.400 12 1.786.200,0 569.680,0 212.960 8.935.424 2.605.752,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.441.760 12 1.786.813,0 564.624,0 212.000 8.949.120 2.608.434,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.479.520 12 1.789.960,0 568.640,0 211.104 8.941.760 2.608.096,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.445.248 12 1.787.104,0 570.416,0 207.584 8.956.608 2.611.125,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.420.096 12 1.785.008,0 569.584,0 212.192 8.933.216 2.602.565,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.419.648 12 1.784.970,0 567.952,0 211.040 8.925.344 2.601.963,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.426.240 12 1.785.520,0 568.112,0 212.192 8.941.664 2.607.389,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.459.584 12 1.788.298,0 578.592,0 211.104 8.943.392 2.604.950,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.406.624 12 1.783.885,0 567.152,0 212.544 8.944.096 2.606.582,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.440.032 12 1.786.669,0 572.128,0 212.576 8.928.800 2.603.336,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.459.552 12 1.788.296,0 570.560,0 212.192 8.939.232 2.607.518,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.446.720 12 1.787.226,0 563.712,0 210.848 8.939.616 2.607.352,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.397.280 12 1.783.106,0 564.656,0 211.648 8.937.344 2.605.430,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.474.112 12 1.789.509,0 579.040,0 212.896 8.940.992 2.604.232,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.444.960 12 1.787.080,0 567.296,0 213.152 8.952.416 2.608.547,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.428.384 12 1.785.698,0 567.152,0 211.808 8.945.280 2.607.741,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.444.608 12 1.787.050,0 565.344,0 210.976 8.938.240 2.606.033,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.486.848 12 1.790.570,0 564.816,0 210.304 8.936.448 2.607.738,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.447.648 12 1.787.304,0 564.512,0 208.544 8.941.920 2.607.291,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.534.368 12 1.794.530,0 585.408,0 213.184 8.934.912 2.602.861,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 21.439.232 12 1.786.602,0 568.784,0 212.352 8.931.616 2.603.001,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.409.792 12 1.784.149,0 562.960,0 212.640 8.929.856 2.603.345,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 21.446.432 12 1.787.202,0 574.128,0 213.312 8.941.152 2.604.964,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
