1,0 3.276.128 12 273.010,0 302.448,0 195.584 345.344 65.670,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.266.592 12 272.216,0 303.248,0 194.336 341.984 65.625,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.263.808 12 271.984,0 299.264,0 194.400 344.160 65.020,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.297.344 12 274.778,0 306.704,0 194.848 344.096 65.345,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.290.624 12 274.218,0 305.520,0 194.560 342.656 64.671,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.265.760 12 272.146,0 301.344,0 195.168 343.104 65.057,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.283.488 12 273.624,0 305.136,0 194.720 341.536 63.908,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.263.264 12 271.938,0 298.640,0 194.368 343.136 64.898,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.277.984 12 273.165,0 303.024,0 194.400 343.456 64.667,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.263.840 12 271.986,0 298.976,0 194.432 342.976 64.599,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.280.096 12 273.341,0 299.664,0 194.688 343.712 64.078,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.286.208 12 273.850,0 303.392,0 194.752 344.320 64.878,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.280.160 12 273.346,0 304.720,0 194.720 343.360 65.521,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.262.304 12 271.858,0 300.848,0 194.528 341.696 64.157,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.273.440 12 272.786,0 300.560,0 194.496 343.712 64.753,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.314.464 12 276.205,0 307.696,0 194.400 342.592 63.740,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.274.816 12 272.901,0 299.056,0 194.848 340.544 62.467,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.270.848 12 272.570,0 300.912,0 193.888 344.192 65.469,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.282.528 12 273.544,0 299.680,0 194.464 345.568 64.512,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.265.440 12 272.120,0 301.648,0 194.304 342.688 64.907,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.260.544 12 271.712,0 299.104,0 194.560 342.048 64.586,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.279.776 12 273.314,0 305.584,0 194.208 342.752 64.609,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.275.648 12 272.970,0 303.728,0 194.240 341.344 64.127,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.282.368 12 273.530,0 305.952,0 194.304 344.864 65.569,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.301.696 12 275.141,0 309.824,0 194.816 344.192 65.586,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.270.656 12 272.554,0 301.376,0 194.368 343.648 64.563,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.270.400 12 272.533,0 302.160,0 194.592 343.456 65.048,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.262.496 12 271.874,0 300.432,0 195.264 344.096 65.040,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.277.504 12 273.125,0 301.696,0 194.624 345.024 64.961,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.278.464 12 273.205,0 302.736,0 194.272 343.008 65.012,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.278.240 12 273.186,0 302.016,0 194.272 341.888 64.073,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.272.608 12 272.717,0 302.432,0 194.464 343.840 65.471,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.265.920 12 272.160,0 302.080,0 194.528 342.784 65.090,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.277.664 12 273.138,0 302.880,0 195.040 346.816 66.059,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.273.408 12 272.784,0 303.024,0 194.272 346.208 66.378,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.258.496 12 271.541,0 299.376,0 194.848 341.888 64.955,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
