3,0 3.827.616 12 318.968,0 313.504,0 300.128 347.552 19.431,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.823.488 12 318.624,0 314.128,0 299.456 346.272 18.870,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.829.344 12 319.112,0 313.024,0 300.928 347.616 19.165,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.906.784 12 325.565,0 316.752,0 310.880 349.792 14.863,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.824.224 12 318.685,0 312.528,0 299.488 348.448 19.412,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.320 12 319.026,0 312.976,0 298.880 350.528 20.011,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.843.520 12 320.293,0 314.064,0 301.280 349.312 19.193,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.832.960 12 319.413,0 312.320,0 300.416 352.480 20.370,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.834.368 12 319.530,0 313.472,0 300.512 349.216 19.565,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.813.472 12 317.789,0 312.752,0 281.120 348.224 21.582,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.831.360 12 319.280,0 312.832,0 299.680 349.024 20.187,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.826.176 12 318.848,0 312.848,0 299.648 348.480 19.524,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.855.744 12 321.312,0 316.160,0 302.048 349.408 18.399,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.817.728 12 318.144,0 314.496,0 283.328 349.184 21.722,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.833.248 12 319.437,0 312.512,0 299.264 352.256 21.108,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.837.888 12 319.824,0 313.024,0 299.648 351.456 20.575,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.833.920 12 319.493,0 311.888,0 299.072 352.672 20.772,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.825.248 12 318.770,0 312.528,0 299.520 347.008 19.290,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.842.880 12 320.240,0 313.776,0 300.832 351.520 20.081,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.843.040 12 320.253,0 314.288,0 302.880 348.256 18.545,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.831.968 12 319.330,0 313.616,0 300.288 349.568 19.322,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.847.392 12 320.616,0 312.672,0 302.144 348.800 18.863,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.849.568 12 320.797,0 314.880,0 300.960 348.928 19.100,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.836.096 12 319.674,0 313.056,0 301.120 348.832 19.321,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.828.768 12 319.064,0 311.744,0 300.032 349.216 19.916,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.824.768 12 318.730,0 313.552,0 299.648 346.240 19.022,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.830.272 12 319.189,0 313.968,0 300.192 348.480 19.197,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.835.552 12 319.629,0 313.200,0 300.288 348.512 19.445,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.830.816 12 319.234,0 313.184,0 300.576 350.528 19.831,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.836.736 12 319.728,0 313.200,0 301.856 348.160 18.853,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.839.968 12 319.997,0 314.208,0 301.344 348.384 18.911,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.796.704 12 316.392,0 312.912,0 280.544 349.568 24.190,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.840.224 12 320.018,0 313.088,0 300.672 351.040 20.321,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.832.928 12 319.410,0 312.288,0 299.712 348.640 19.280,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.833.216 12 319.434,0 313.552,0 300.320 348.032 18.967,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.835.712 12 319.642,0 312.784,0 300.160 350.016 19.640,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.842.240 12 320.186,0 314.544,0 301.248 348.608 19.211,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.835.168 12 319.597,0 313.248,0 300.192 349.056 19.804,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.851.392 12 320.949,0 314.256,0 302.496 349.632 18.377,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.831.328 12 319.277,0 312.368,0 299.392 349.824 20.322,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.837.664 12 319.805,0 314.160,0 299.904 351.296 19.573,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
3,0 3.831.808 12 319.317,0 313.184,0 301.568 347.616 18.836,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
