27,0 11.272.640 1 11.272.640,0 11.272.640,0 11.272.640 11.272.640 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.277.760 1 11.277.760,0 11.277.760,0 11.277.760 11.277.760 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.800 1 11.272.800,0 11.272.800,0 11.272.800 11.272.800 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.872 1 11.271.872,0 11.271.872,0 11.271.872 11.271.872 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.271.552 1 11.271.552,0 11.271.552,0 11.271.552 11.271.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.072 1 11.271.072,0 11.271.072,0 11.271.072 11.271.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.832 1 11.272.832,0 11.272.832,0 11.272.832 11.272.832 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.270.944 1 11.270.944,0 11.270.944,0 11.270.944 11.270.944 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.274.656 1 11.274.656,0 11.274.656,0 11.274.656 11.274.656 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.200 1 11.271.200,0 11.271.200,0 11.271.200 11.271.200 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.576 1 11.272.576,0 11.272.576,0 11.272.576 11.272.576 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.270.432 1 11.270.432,0 11.270.432,0 11.270.432 11.270.432 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.552 1 11.271.552,0 11.271.552,0 11.271.552 11.271.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.920 1 11.273.920,0 11.273.920,0 11.273.920 11.273.920 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.274.080 1 11.274.080,0 11.274.080,0 11.274.080 11.274.080 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 11.273.248 1 11.273.248,0 11.273.248,0 11.273.248 11.273.248 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.270.144 1 11.270.144,0 11.270.144,0 11.270.144 11.270.144 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.960 1 11.272.960,0 11.272.960,0 11.272.960 11.272.960 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 11.272.544 1 11.272.544,0 11.272.544,0 11.272.544 11.272.544 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.968 1 11.271.968,0 11.271.968,0 11.271.968 11.271.968 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.273.184 1 11.273.184,0 11.273.184,0 11.273.184 11.273.184 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.271.136 1 11.271.136,0 11.271.136,0 11.271.136 11.271.136 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 11.273.056 1 11.273.056,0 11.273.056,0 11.273.056 11.273.056 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 11.272.256 1 11.272.256,0 11.272.256,0 11.272.256 11.272.256 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 8.453.984 1 8.453.984,0 8.453.984,0 8.453.984 8.453.984 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.800 1 11.272.800,0 11.272.800,0 11.272.800 11.272.800 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 8.453.888 1 8.453.888,0 8.453.888,0 8.453.888 8.453.888 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.072 1 11.271.072,0 11.271.072,0 11.271.072 11.271.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.274.528 1 11.274.528,0 11.274.528,0 11.274.528 11.274.528 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.273.760 1 11.273.760,0 11.273.760,0 11.273.760 11.273.760 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.000 1 11.272.000,0 11.272.000,0 11.272.000 11.272.000 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.608 1 11.272.608,0 11.272.608,0 11.272.608 11.272.608 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.032 1 11.272.032,0 11.272.032,0 11.272.032 11.272.032 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
