0.3 7234144 1023 7071.5 6272.0 3456 34976 3581.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7029120 1023 6871.1 6464.0 3520 36256 3339.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 12079232 1023 11807.7 12768.0 6976 34528 2532.3 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6483264 1023 6337.5 6496.0 3520 34720 2142.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7607232 1023 7436.2 6496.0 3520 34272 3841.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6920384 1023 6764.8 6496.0 3520 34592 2954.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7685600 1023 7512.8 6400.0 3424 34560 3803.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7724000 1023 7550.3 6560.0 3552 34592 3495.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6505888 1023 6359.6 6464.0 3520 34400 2250.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6826016 1023 6672.5 6464.0 3520 35200 2722.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 9458848 1023 9246.2 8928.0 4288 26048 2759.1 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6688640 1023 6538.3 6464.0 3488 34144 2557.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7032416 1023 6874.3 6464.0 3520 35936 3180.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 12382368 1023 12104.0 12800.0 6976 35520 2974.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6554304 1023 6406.9 6464.0 3520 34272 2413.0 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6541152 1023 6394.1 6496.0 3520 35200 2369.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7059040 1023 6900.3 6560.0 3520 34720 2781.4 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6754560 1023 6602.7 6496.0 3520 36160 2614.8 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7052576 1023 6894.0 6560.0 3520 34944 2905.7 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7034816 1023 6876.7 6496.0 3552 34816 2918.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6881664 1023 6726.9 6464.0 3552 34560 2884.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6812288 1023 6659.1 6368.0 3520 34752 3203.2 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6597632 1023 6449.3 6464.0 3552 34368 2701.5 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6891072 1023 6736.1 6528.0 3520 35648 2659.6 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 7338688 1023 7173.7 6496.0 3520 34304 3541.9 CUDA_KERNEL Fan1(float *, float *, int, int)
0.3 6707552 1023 6556.7 6464.0 3520 35264 2626.4 CUDA_KERNEL Fan1(float *, float *, int, int)
