3,0 2.355.646.400 6.000 392.607,0 391.616,0 387.488 1.262.880 23.060,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.855.808 6.000 393.809,0 392.256,0 389.120 1.266.304 25.766,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.446.848 6.000 393.574,0 392.256,0 389.568 1.267.616 23.959,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.359.008 6.000 393.559,0 392.032,0 389.312 1.265.248 25.100,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.336.651.424 6.000 389.441,0 387.232,0 385.120 1.265.856 29.246,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.380.192 6.000 393.563,0 391.968,0 389.344 1.266.560 24.830,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.335.189.600 6.000 389.198,0 386.944,0 382.752 1.262.240 29.132,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.330.020.160 6.000 388.336,0 386.752,0 382.784 1.261.920 23.946,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.359.630.176 6.000 393.271,0 391.776,0 388.032 1.264.320 21.905,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.334.794.048 6.000 389.132,0 387.008,0 382.752 1.488.064 26.622,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.389.459.168 6.000 398.243,0 392.064,0 389.056 1.266.592 47.939,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.359.160.320 6.000 393.193,0 392.000,0 388.832 1.267.200 22.984,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.336.656.864 6.000 389.442,0 387.488,0 384.928 1.265.952 22.147,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.335.538.720 6.000 389.256,0 387.296,0 385.120 1.468.512 26.360,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.307.488 6.000 393.551,0 392.224,0 389.248 1.266.048 24.031,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.334.006.432 6.000 389.001,0 387.392,0 384.928 1.266.464 20.561,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.368.892.768 6.000 394.815,0 392.160,0 389.216 1.266.304 32.728,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.359.620.224 6.000 393.270,0 392.256,0 389.344 1.265.664 20.859,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.335.199.488 6.000 389.199,0 387.104,0 385.184 1.266.272 29.596,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.333.141.152 6.000 388.856,0 387.328,0 384.480 1.266.816 24.847,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.359.838.976 6.000 393.306,0 391.936,0 388.800 1.482.688 26.869,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.335.365.312 6.000 389.227,0 387.232,0 385.088 1.406.144 30.086,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.355.841.472 6.000 392.640,0 391.648,0 386.752 1.262.080 23.900,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.360.478.624 6.000 393.413,0 392.192,0 389.056 1.265.920 22.184,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.340.298.816 6.000 390.049,0 387.424,0 385.056 2.242.528 34.037,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.358.759.008 6.000 393.126,0 392.064,0 389.184 1.266.272 21.944,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.032.960 6.000 393.505,0 392.160,0 389.248 1.266.880 23.119,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.359.270.976 6.000 393.211,0 391.968,0 387.008 1.266.816 22.662,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.356.641.152 6.000 392.773,0 391.584,0 387.520 1.262.048 25.400,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.369.675.584 6.000 394.945,0 392.128,0 389.472 2.892.128 40.085,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.358.645.312 6.000 393.107,0 392.096,0 389.184 1.266.688 21.396,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.332.787.872 6.000 388.798,0 387.200,0 385.024 1.266.528 20.510,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.916.352 6.000 393.652,0 392.192,0 389.408 1.489.664 27.473,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.339.340.640 6.000 389.890,0 387.232,0 385.024 1.462.528 28.447,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.360.407.072 6.000 393.401,0 392.096,0 386.944 1.266.272 23.914,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.632.640 6.000 393.772,0 392.352,0 389.152 1.266.176 22.699,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.331.717.984 6.000 388.619,0 387.200,0 385.152 1.266.752 24.310,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.373.006.880 6.000 395.501,0 392.000,0 389.184 1.481.280 39.055,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.330.620.512 6.000 388.436,0 387.264,0 385.088 1.266.912 21.540,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.337.665.792 6.000 389.611,0 387.168,0 385.120 1.448.256 29.975,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.867.968 6.000 393.811,0 392.128,0 386.272 1.267.488 26.336,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.370.662.976 6.000 395.110,0 387.040,0 384.928 2.893.920 63.825,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.358.434.016 6.000 393.072,0 391.904,0 386.720 1.266.176 22.852,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.356.653.728 6.000 392.775,0 391.584,0 385.248 1.262.336 24.973,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.339.382.816 6.000 389.897,0 387.232,0 385.152 2.425.728 40.585,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.336.102.912 6.000 389.350,0 387.264,0 385.024 2.332.064 33.513,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.369.845.728 6.000 394.974,0 392.480,0 389.440 2.793.568 42.643,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.346.210.176 6.000 391.035,0 387.296,0 384.960 3.667.808 51.829,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.589.312 6.000 393.764,0 392.352,0 389.632 2.005.920 30.599,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.367.014.176 6.000 394.502,0 392.320,0 389.248 1.265.184 29.423,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.336.468.000 6.000 389.411,0 387.520,0 384.320 1.266.368 24.017,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.360.567.808 6.000 393.428,0 392.128,0 389.024 1.266.560 23.860,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.343.074.240 6.000 390.512,0 386.912,0 382.976 1.467.456 37.012,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.335.594.080 6.000 389.265,0 387.040,0 382.752 1.262.208 22.385,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.332.127.712 6.000 388.688,0 387.264,0 385.216 1.874.400 29.367,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.367.167.360 6.000 394.527,0 391.776,0 387.968 1.262.592 33.406,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.356.174.528 6.000 392.695,0 391.520,0 387.232 1.483.872 26.676,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.364.310.144 6.000 394.051,0 392.384,0 389.376 1.265.888 24.948,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.357.228.192 6.000 392.871,0 391.648,0 387.584 1.262.752 25.345,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.342.241.344 6.000 390.373,0 387.392,0 385.152 1.266.016 31.982,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.333.001.696 6.000 388.833,0 386.752,0 382.688 1.262.112 24.670,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.357.227.840 6.000 392.871,0 391.712,0 386.848 1.999.392 30.792,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.330.270.016 6.000 388.378,0 386.848,0 382.880 1.262.720 23.197,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.372.175.968 6.000 395.362,0 392.224,0 389.280 3.923.264 55.346,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.365.866.784 6.000 394.311,0 392.160,0 389.376 2.800.096 42.754,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.359.403.456 6.000 393.233,0 391.616,0 387.232 1.932.032 32.982,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.335.058.432 6.000 389.176,0 386.816,0 383.392 1.264.128 25.942,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.363.097.152 6.000 393.849,0 392.256,0 388.928 1.266.112 25.898,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.335.427.744 6.000 389.238,0 387.328,0 384.832 1.266.816 21.757,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.368.989.056 6.000 394.831,0 392.320,0 389.696 1.267.104 31.694,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.360.585.504 6.000 393.430,0 392.288,0 389.152 1.495.360 25.136,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.360.165.280 6.000 393.360,0 392.128,0 389.216 2.095.424 30.234,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.359.052.416 6.000 393.175,0 392.224,0 389.408 1.265.472 20.700,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.514.848 6.000 393.585,0 392.224,0 389.472 1.266.656 24.031,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.071.616 6.000 393.678,0 392.288,0 389.152 1.266.272 24.415,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.363.285.600 6.000 393.880,0 392.128,0 389.088 1.267.104 26.747,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.338.629.728 6.000 389.771,0 387.296,0 385.088 1.471.072 30.778,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.388.815.232 6.000 398.135,0 392.352,0 389.408 3.626.880 63.786,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.367.650.976 6.000 394.608,0 392.288,0 389.152 1.266.592 30.788,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.594.944 6.000 393.765,0 392.224,0 388.960 1.266.848 25.340,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.968.928 6.000 393.828,0 392.256,0 389.568 1.999.616 31.617,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.342.208.032 6.000 390.368,0 387.584,0 385.120 1.267.136 22.012,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.366.003.584 6.000 394.333,0 392.288,0 389.536 2.779.744 40.258,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.366.405.152 6.000 394.400,0 392.256,0 386.112 1.266.496 29.649,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.337.517.216 6.000 389.586,0 387.456,0 384.960 1.265.632 27.083,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.338.619.616 6.000 389.769,0 387.392,0 384.320 1.266.432 21.852,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.365.440.608 6.000 394.240,0 392.224,0 389.760 1.832.064 32.910,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.360.560.832 6.000 393.426,0 392.224,0 389.408 1.265.632 22.485,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.779.776 6.000 393.796,0 392.448,0 389.440 1.266.752 23.577,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.336.963.040 6.000 389.493,0 387.488,0 385.152 1.650.912 28.247,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.371.265.472 6.000 395.210,0 392.544,0 389.312 3.403.584 48.921,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.371.181.792 6.000 395.197,0 392.480,0 389.440 1.266.080 32.808,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.369.588.928 6.000 394.931,0 392.592,0 389.920 1.720.192 30.253,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
