43,0 32.118.296.864 6.000 5.353.049,0 5.331.424,0 5.310.528 13.123.392 307.519,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.192.779.904 6.000 5.365.463,0 5.332.448,0 5.309.088 13.122.144 370.132,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.559.377.728 6.000 5.426.563,0 5.402.464,0 5.385.952 13.132.576 343.506,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.477.468.352 6.000 5.412.911,0 5.400.736,0 5.380.448 13.135.840 231.379,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.472.122.432 6.000 5.412.020,0 5.398.624,0 5.382.080 13.131.584 247.934,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.077.907.552 6.000 5.346.317,0 5.328.928,0 5.308.544 13.131.456 236.935,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.492.428.832 6.000 5.415.404,0 5.398.112,0 5.384.224 13.128.448 282.375,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.061.406.720 6.000 5.343.567,0 5.331.040,0 5.310.208 13.128.672 230.862,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.472.701.984 6.000 5.412.117,0 5.397.568,0 5.382.944 15.668.448 273.676,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.558.389.888 6.000 5.426.398,0 5.399.616,0 5.382.656 13.710.784 373.358,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.172.356.480 6.000 5.362.059,0 5.330.624,0 5.308.800 13.128.288 321.585,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.114.092.224 6.000 5.352.348,0 5.329.952,0 5.310.496 13.123.904 296.588,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.492.949.984 6.000 5.415.491,0 5.398.880,0 5.382.464 13.137.792 266.785,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.099.953.984 6.000 5.349.992,0 5.329.824,0 5.310.368 13.130.528 291.271,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.122.223.520 6.000 5.353.703,0 5.332.224,0 5.308.672 13.139.776 320.008,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.507.332.000 6.000 5.417.888,0 5.399.136,0 5.385.504 13.129.920 248.790,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.453.088.160 6.000 5.408.848,0 5.395.072,0 5.380.192 13.130.208 252.588,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.480.785.504 6.000 5.413.464,0 5.396.544,0 5.381.600 13.126.304 274.933,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.509.621.504 6.000 5.418.270,0 5.397.280,0 5.381.312 13.124.384 317.264,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.494.457.984 6.000 5.415.743,0 5.397.888,0 5.383.136 13.124.928 288.509,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.494.579.232 6.000 5.415.763,0 5.395.936,0 5.380.416 13.128.512 302.466,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.155.759.744 6.000 5.359.293,0 5.329.472,0 5.309.280 13.142.720 367.530,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.494.680.832 6.000 5.415.780,0 5.394.688,0 5.381.536 13.128.512 297.872,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.203.645.632 6.000 5.367.274,0 5.330.144,0 5.309.088 14.234.528 391.707,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.128.641.952 6.000 5.354.773,0 5.328.160,0 5.308.928 13.138.688 287.209,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.512.082.720 6.000 5.418.680,0 5.397.024,0 5.382.912 13.135.840 253.993,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.170.793.344 6.000 5.361.798,0 5.330.592,0 5.309.312 13.127.840 259.433,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.886.687.680 6.000 5.481.114,0 5.396.096,0 5.383.392 19.079.424 663.361,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.456.470.304 6.000 5.409.411,0 5.394.048,0 5.380.352 13.134.208 267.546,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.156.796.064 6.000 5.359.466,0 5.332.192,0 5.309.248 17.379.552 291.587,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.125.985.440 6.000 5.354.330,0 5.329.760,0 5.308.960 13.133.696 261.046,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.487.102.144 6.000 5.414.517,0 5.397.312,0 5.382.176 13.127.648 282.756,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.121.017.792 6.000 5.353.503,0 5.330.816,0 5.308.864 13.140.256 235.572,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.599.184.480 6.000 5.433.197,0 5.396.352,0 5.380.320 16.583.136 440.845,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.467.441.952 6.000 5.411.240,0 5.398.240,0 5.377.856 13.122.528 229.845,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.134.152.992 6.000 5.355.692,0 5.327.296,0 5.310.048 13.130.048 375.845,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.099.212.288 6.000 5.349.868,0 5.328.768,0 5.309.824 13.134.720 302.933,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.451.943.936 6.000 5.408.657,0 5.393.600,0 5.380.576 13.134.144 265.842,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.117.813.952 6.000 5.352.969,0 5.328.784,0 5.309.888 13.137.024 330.411,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.477.837.600 6.000 5.412.972,0 5.396.448,0 5.382.016 13.129.024 281.081,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.473.618.688 6.000 5.412.269,0 5.396.320,0 5.382.496 13.129.888 257.996,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.175.815.136 6.000 5.362.635,0 5.330.752,0 5.309.280 13.139.136 289.306,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.457.964.800 6.000 5.409.660,0 5.395.664,0 5.382.624 13.125.888 250.048,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.488.095.232 6.000 5.414.682,0 5.396.800,0 5.382.080 13.129.600 275.034,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.466.507.488 6.000 5.411.084,0 5.394.592,0 5.376.672 13.130.432 266.744,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.490.295.552 6.000 5.415.049,0 5.394.080,0 5.380.672 13.126.048 317.573,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.577.526.848 6.000 5.429.587,0 5.397.216,0 5.384.608 16.012.000 304.220,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.447.715.360 6.000 5.407.952,0 5.394.848,0 5.377.824 13.131.296 240.808,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.102.490.272 6.000 5.350.415,0 5.328.288,0 5.309.216 13.132.576 232.887,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.478.194.496 6.000 5.413.032,0 5.396.896,0 5.381.280 13.136.736 277.030,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.158.591.712 6.000 5.359.765,0 5.327.040,0 5.308.960 13.137.344 295.473,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.470.356.512 6.000 5.411.726,0 5.395.552,0 5.382.560 13.130.624 279.672,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.502.971.680 6.000 5.417.161,0 5.398.976,0 5.382.368 13.129.536 267.183,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.081.397.280 6.000 5.346.899,0 5.328.480,0 5.309.824 13.128.864 291.459,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.643.288.320 6.000 5.440.548,0 5.394.496,0 5.381.888 16.537.760 494.231,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.072.742.656 6.000 5.345.457,0 5.328.512,0 5.309.632 13.127.552 257.508,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
