1,0 875.674.528 6.000 145.945,0 145.440,0 144.032 327.584 8.420,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.902.432 6.000 145.983,0 145.504,0 144.128 328.928 8.227,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.935.360 6.000 146.322,0 145.536,0 143.808 944.320 14.440,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 880.618.784 6.000 146.769,0 145.440,0 144.096 3.219.328 40.468,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.574.944 6.000 146.095,0 145.728,0 144.576 336.864 7.448,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.556.480 6.000 144.259,0 143.712,0 141.856 323.904 6.714,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.901.216 6.000 146.316,0 145.824,0 144.512 332.832 9.012,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.443.808 6.000 144.740,0 143.808,0 141.952 328.640 9.231,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.311.168 6.000 146.051,0 145.280,0 143.424 1.658.880 21.527,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.886.912 6.000 145.814,0 145.248,0 143.680 327.296 8.327,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 864.406.624 6.000 144.067,0 143.488,0 141.824 335.008 9.498,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 881.281.568 6.000 146.880,0 145.408,0 144.000 328.768 15.904,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 863.726.976 6.000 143.954,0 143.520,0 141.600 329.824 7.797,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.691.040 6.000 144.281,0 143.392,0 141.440 342.464 10.646,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.001.344 6.000 146.166,0 145.472,0 143.488 328.256 10.416,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 884.232.320 6.000 147.372,0 143.936,0 142.400 339.424 24.384,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.448.640 6.000 145.741,0 145.280,0 143.104 329.184 8.366,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.618.240 6.000 146.269,0 145.664,0 144.128 327.488 9.815,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.797.248 6.000 144.466,0 143.552,0 141.728 330.208 11.435,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.556.096 6.000 144.759,0 143.936,0 141.920 1.205.632 15.823,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.559.104 6.000 146.426,0 145.504,0 144.096 339.232 12.237,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 870.988.928 6.000 145.164,0 143.872,0 141.856 329.248 12.357,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.055.840 6.000 146.009,0 145.536,0 144.128 330.144 8.310,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.722.496 6.000 146.287,0 145.376,0 143.840 326.400 11.996,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 867.805.600 6.000 144.634,0 143.904,0 141.984 324.864 9.081,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.577.472 6.000 146.262,0 145.728,0 144.384 332.896 8.983,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 870.750.528 6.000 145.125,0 143.584,0 142.016 333.280 14.239,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.278.048 6.000 144.713,0 143.744,0 141.632 328.832 8.275,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 864.700.800 6.000 144.116,0 143.648,0 141.984 324.640 8.081,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 883.431.712 6.000 147.238,0 145.920,0 144.384 330.528 14.254,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.661.120 6.000 146.610,0 145.632,0 144.192 3.222.624 40.485,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.614.720 6.000 145.935,0 145.280,0 143.744 327.456 9.372,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.947.456 6.000 146.157,0 145.536,0 144.160 332.832 9.883,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 869.427.680 6.000 144.904,0 143.680,0 141.760 327.136 13.488,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.868.128 6.000 144.811,0 143.872,0 142.048 327.520 9.527,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.917.056 6.000 146.152,0 145.664,0 144.032 332.960 8.398,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 863.871.776 6.000 143.978,0 143.264,0 141.440 330.112 8.349,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.484.128 6.000 146.414,0 145.280,0 143.680 345.024 13.409,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.346.432 6.000 146.224,0 145.568,0 144.256 335.680 10.290,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 880.506.272 6.000 146.751,0 146.048,0 144.512 332.768 10.751,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 867.278.400 6.000 144.546,0 143.552,0 141.792 326.688 10.088,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.071.136 6.000 146.511,0 145.344,0 144.032 3.258.912 41.415,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.332.320 6.000 144.722,0 144.032,0 142.272 334.048 7.481,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.599.456 6.000 146.599,0 145.504,0 144.096 332.064 13.223,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.873.056 6.000 146.145,0 145.792,0 144.416 335.328 7.004,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.684.928 6.000 146.280,0 145.920,0 144.512 328.736 7.015,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 873.481.600 6.000 145.580,0 145.248,0 143.840 324.992 6.956,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 880.652.352 6.000 146.775,0 145.952,0 144.448 1.649.440 21.504,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.273.824 6.000 146.045,0 145.504,0 144.256 332.000 9.272,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.944.800 6.000 146.324,0 145.600,0 144.096 331.808 10.604,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 871.272.608 6.000 145.212,0 144.288,0 142.400 332.096 11.134,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 889.961.248 6.000 148.326,0 145.984,0 144.704 356.992 20.139,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.594.880 6.000 146.599,0 145.632,0 144.256 329.792 12.801,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.896.736 6.000 145.982,0 145.376,0 143.840 331.744 9.942,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.957.504 6.000 146.326,0 145.760,0 144.128 335.328 9.358,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 871.891.328 6.000 145.315,0 144.352,0 142.368 332.512 7.708,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.641.856 6.000 146.440,0 145.760,0 144.416 329.024 10.426,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.099.648 6.000 146.516,0 145.600,0 144.256 331.232 12.301,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 869.300.064 6.000 144.883,0 144.032,0 142.336 329.024 10.766,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.546.080 6.000 144.757,0 143.904,0 141.920 336.864 7.856,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 880.189.696 6.000 146.698,0 145.952,0 144.352 338.560 10.936,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.635.456 6.000 145.772,0 145.312,0 144.032 329.760 8.143,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.954.080 6.000 146.159,0 145.408,0 144.000 1.226.720 16.625,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.304.512 6.000 144.217,0 143.552,0 141.824 333.056 8.277,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.708.128 6.000 146.451,0 145.504,0 144.096 336.352 12.433,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 882.173.568 6.000 147.028,0 145.728,0 144.224 941.440 17.304,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 880.881.152 6.000 146.813,0 146.016,0 144.320 335.456 9.296,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 871.774.688 6.000 145.295,0 143.872,0 141.984 331.488 12.430,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.465.408 6.000 146.077,0 145.632,0 144.096 330.912 7.721,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
