3,0 74.432 1 74.432,0 74.432,0 74.432 74.432 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 41.376 1 41.376,0 41.376,0 41.376 41.376 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.016 1 74.016,0 74.016,0 74.016 74.016 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.072 1 75.072,0 75.072,0 75.072 75.072 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.488 1 75.488,0 75.488,0 75.488 75.488 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.464 1 74.464,0 74.464,0 74.464 74.464 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.016 1 74.016,0 74.016,0 74.016 74.016 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.176 1 74.176,0 74.176,0 74.176 74.176 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 73.824 1 73.824,0 73.824,0 73.824 73.824 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.976 1 74.976,0 74.976,0 74.976 74.976 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 74.080 1 74.080,0 74.080,0 74.080 74.080 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 74.688 1 74.688,0 74.688,0 74.688 74.688 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.624 1 74.624,0 74.624,0 74.624 74.624 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 73.888 1 73.888,0 73.888,0 73.888 73.888 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.304 1 74.304,0 74.304,0 74.304 74.304 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 74.912 1 74.912,0 74.912,0 74.912 74.912 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.488 1 75.488,0 75.488,0 75.488 75.488 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.976 1 74.976,0 74.976,0 74.976 74.976 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 73.984 1 73.984,0 73.984,0 73.984 73.984 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.712 1 75.712,0 75.712,0 75.712 75.712 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.168 1 75.168,0 75.168,0 75.168 75.168 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.976 1 74.976,0 74.976,0 74.976 74.976 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 74.080 1 74.080,0 74.080,0 74.080 74.080 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.360 1 75.360,0 75.360,0 75.360 75.360 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.912 1 74.912,0 74.912,0 74.912 74.912 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.560 1 74.560,0 74.560,0 74.560 74.560 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.360 1 75.360,0 75.360,0 75.360 75.360 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 73.728 1 73.728,0 73.728,0 73.728 73.728 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.528 1 74.528,0 74.528,0 74.528 74.528 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.392 1 75.392,0 75.392,0 75.392 75.392 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.200 1 75.200,0 75.200,0 75.200 75.200 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.592 1 74.592,0 74.592,0 74.592 74.592 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 73.760 1 73.760,0 73.760,0 73.760 73.760 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 73.664 1 73.664,0 73.664,0 73.664 73.664 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 74.208 1 74.208,0 74.208,0 74.208 74.208 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.944 1 74.944,0 74.944,0 74.944 74.944 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.168 1 75.168,0 75.168,0 75.168 75.168 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 41.600 1 41.600,0 41.600,0 41.600 41.600 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 42.816 1 42.816,0 42.816,0 42.816 42.816 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.560 1 74.560,0 74.560,0 74.560 74.560 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.976 1 74.976,0 74.976,0 74.976 74.976 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.552 1 75.552,0 75.552,0 75.552 75.552 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.144 1 74.144,0 74.144,0 74.144 74.144 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.720 1 74.720,0 74.720,0 74.720 74.720 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.880 1 74.880,0 74.880,0 74.880 74.880 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 75.328 1 75.328,0 75.328,0 75.328 75.328 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
2,0 41.888 1 41.888,0 41.888,0 41.888 41.888 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.208 1 74.208,0 74.208,0 74.208 74.208 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 75.264 1 75.264,0 75.264,0 75.264 75.264 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
3,0 74.368 1 74.368,0 74.368,0 74.368 74.368 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
