42,0 908.435.616 1.023 888.011,0 819.904,0 791.680 1.926.656 208.975,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 923.427.200 1.023 902.665,0 829.536,0 800.416 1.863.296 207.303,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 923.431.808 1.023 902.670,0 829.632,0 795.904 1.910.432 206.839,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 925.728.032 1.023 904.915,0 820.000,0 787.744 2.081.152 262.633,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 956.161.728 1.023 934.664,0 829.600,0 800.224 1.913.376 255.288,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 934.918.976 1.023 913.899,0 819.744,0 789.632 1.864.192 239.488,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 932.015.072 1.023 911.060,0 830.400,0 800.160 2.042.336 231.535,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 923.197.440 1.023 902.441,0 820.768,0 790.528 1.842.496 211.422,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 977.703.072 1.023 955.721,0 830.816,0 801.568 1.920.384 296.563,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 908.151.616 1.023 887.733,0 820.032,0 788.448 1.863.040 199.174,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 916.295.008 1.023 895.694,0 829.376,0 796.224 1.861.664 199.745,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 926.763.072 1.023 905.926,0 830.624,0 797.312 1.838.816 209.431,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 931.808.064 1.023 910.858,0 830.880,0 798.560 1.858.304 220.033,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 928.594.464 1.023 907.717,0 829.824,0 795.456 1.857.248 223.458,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 928.928.512 1.023 908.043,0 829.824,0 798.624 1.908.000 217.869,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 924.830.912 1.023 904.038,0 819.936,0 790.016 1.988.800 238.081,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 925.946.368 1.023 905.128,0 819.584,0 790.528 1.912.416 240.876,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 985.264.896 1.023 963.113,0 829.536,0 800.032 1.913.696 308.389,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 936.475.488 1.023 915.420,0 829.728,0 800.544 1.917.440 243.726,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 930.006.080 1.023 909.096,0 830.272,0 794.720 1.857.440 219.169,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 973.956.512 1.023 952.059,0 819.232,0 791.168 1.918.464 304.598,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 949.047.200 1.023 927.709,0 830.016,0 800.448 2.023.104 240.973,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 947.497.504 1.023 926.195,0 830.240,0 797.984 1.874.912 238.505,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 941.122.272 1.023 919.963,0 830.144,0 800.640 1.861.312 236.776,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 930.382.464 1.023 909.464,0 829.984,0 801.344 1.882.528 226.749,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 916.131.424 1.023 895.534,0 829.408,0 800.000 1.909.696 201.700,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 925.087.040 1.023 904.288,0 829.888,0 798.624 1.897.600 218.359,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 928.058.144 1.023 907.192,0 829.312,0 801.152 1.855.168 215.450,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 918.123.712 1.023 897.481,0 829.120,0 801.472 1.920.000 209.210,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 956.178.976 1.023 934.681,0 829.728,0 802.496 1.834.656 254.817,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 922.078.336 1.023 901.347,0 829.888,0 801.504 1.854.240 198.226,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 931.515.840 1.023 910.572,0 829.248,0 801.152 1.890.496 212.951,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 928.367.584 1.023 907.495,0 829.344,0 799.712 1.886.208 214.690,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 928.123.936 1.023 907.257,0 829.312,0 799.968 2.051.424 226.576,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 931.874.464 1.023 910.923,0 828.928,0 798.816 1.910.464 242.271,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 927.501.312 1.023 906.648,0 829.536,0 799.392 1.905.600 217.588,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 919.172.288 1.023 898.506,0 829.664,0 799.872 1.900.128 195.227,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 945.375.808 1.023 924.121,0 829.728,0 798.944 1.878.080 237.440,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 913.182.176 1.023 892.651,0 820.064,0 788.608 1.848.096 202.528,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 957.432.864 1.023 935.907,0 829.376,0 801.344 1.848.768 223.053,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 928.474.912 1.023 907.600,0 830.208,0 798.304 2.020.096 216.708,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 1.152.905.344 1.023 1.126.984,0 835.552,0 796.704 1.851.168 412.107,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
