0,0 9.464.224 1.023 9.251,0 7.872,0 4.224 26.976 4.053,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.465.760 1.023 8.275,0 8.512,0 4.992 34.944 2.365,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.927.072 1.023 8.726,0 8.160,0 4.160 37.696 3.589,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.456.576 1.023 11.199,0 11.712,0 6.656 26.688 2.185,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.578.240 1.023 7.407,0 7.392,0 4.512 30.176 1.625,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.989.952 1.023 7.810,0 7.136,0 4.160 26.528 2.966,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.282.816 1.023 12.006,0 11.968,0 7.104 36.032 2.670,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.353.024 1.023 8.165,0 7.200,0 4.192 27.104 3.265,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.215.520 1.023 8.030,0 7.136,0 4.192 27.744 3.268,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.854.464 1.023 12.565,0 12.640,0 7.680 25.504 2.405,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.954.720 1.023 7.775,0 7.072,0 4.192 26.976 2.956,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.376.896 1.023 9.166,0 7.264,0 4.192 33.312 4.230,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.078.080 1.023 8.874,0 7.776,0 4.160 30.176 3.913,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.041.184 1.023 7.860,0 8.032,0 4.160 29.664 2.344,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.436.192 1.023 8.246,0 7.168,0 4.128 27.360 3.336,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.052.512 1.023 7.871,0 7.456,0 4.192 29.728 2.745,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.939.552 1.023 7.761,0 7.232,0 4.224 26.656 2.854,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.743.360 1.023 7.569,0 7.680,0 4.192 29.472 2.174,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.260.032 1.023 11.006,0 10.432,0 7.040 26.656 2.813,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.672.064 1.023 12.387,0 12.512,0 7.520 29.312 2.412,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.985.664 1.023 11.716,0 12.832,0 5.152 26.752 3.547,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.080.000 1.023 9.853,0 8.640,0 4.960 26.240 3.780,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.239.456 1.023 9.031,0 8.256,0 4.128 27.680 3.860,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.862.432 1.023 12.573,0 12.640,0 7.712 27.328 2.402,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.906.944 1.023 12.616,0 12.704,0 7.584 26.688 2.445,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.723.072 1.023 11.459,0 11.008,0 7.168 26.624 2.592,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.148.832 1.023 7.965,0 7.232,0 4.128 34.976 3.003,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.857.728 1.023 9.636,0 9.312,0 5.984 26.560 2.368,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.404.736 1.023 8.215,0 7.744,0 4.160 29.152 3.187,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.601.728 1.023 7.430,0 7.136,0 4.128 29.952 2.287,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.170.912 1.023 7.987,0 7.168,0 4.160 29.888 3.131,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.607.040 1.023 8.413,0 6.816,0 4.128 34.272 3.873,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.348.288 1.023 9.138,0 7.328,0 4.128 34.112 4.065,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.816.704 1.023 9.596,0 8.128,0 4.160 35.072 4.415,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.808.480 1.023 9.588,0 9.728,0 6.048 27.104 1.996,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.936.544 1.023 7.758,0 7.168,0 4.128 34.016 2.986,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.716.800 1.023 7.543,0 7.136,0 4.160 34.528 2.577,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.097.248 1.023 7.915,0 7.168,0 4.192 25.760 2.827,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.167.744 1.023 7.984,0 7.168,0 4.256 31.648 3.235,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.632.416 1.023 12.348,0 12.384,0 7.744 36.800 2.474,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.222.048 1.023 10.969,0 11.200,0 6.688 27.296 2.193,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.634.592 1.023 8.440,0 7.712,0 4.192 30.528 3.507,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.379.904 1.023 10.146,0 8.896,0 4.224 36.448 4.323,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.856.960 1.023 7.680,0 7.104,0 4.160 27.808 2.748,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.336.896 1.023 8.149,0 7.136,0 4.160 27.360 3.213,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.500.320 1.023 11.241,0 12.064,0 6.656 26.368 2.224,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.148.384 1.023 7.965,0 7.168,0 4.160 28.960 3.095,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.604.448 1.023 8.411,0 7.744,0 4.160 25.408 3.547,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.216.384 1.023 9.986,0 8.256,0 4.928 27.072 3.784,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.359.520 1.023 8.171,0 7.200,0 4.160 32.416 3.082,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.630.208 1.023 8.436,0 7.936,0 4.896 30.656 2.803,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.974.336 1.023 9.750,0 8.320,0 4.960 26.560 3.656,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.262.848 1.023 8.077,0 8.480,0 4.160 27.776 2.946,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.188.960 1.023 8.982,0 8.000,0 4.224 29.728 3.788,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.654.272 1.023 10.414,0 11.456,0 4.160 33.568 4.495,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.936.736 1.023 7.758,0 7.040,0 4.128 26.176 2.989,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.680.096 1.023 7.507,0 7.136,0 4.192 25.952 2.467,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.441.440 1.023 8.251,0 8.480,0 4.928 33.024 2.283,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.076.928 1.023 8.872,0 8.480,0 5.184 33.056 3.001,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.806.752 1.023 7.631,0 7.200,0 4.160 34.304 2.583,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.729.664 1.023 7.555,0 6.784,0 4.160 27.136 2.926,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.016.000 1.023 7.835,0 7.168,0 4.192 26.784 2.993,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.732.576 1.023 11.468,0 12.448,0 4.192 26.496 3.662,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.896.800 1.023 7.719,0 7.072,0 4.224 29.888 2.792,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.857.696 1.023 12.568,0 12.704,0 7.680 26.432 2.355,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.621.120 1.023 8.427,0 8.416,0 4.672 37.984 2.660,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.826.496 1.023 12.538,0 12.608,0 7.168 31.424 2.646,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.069.664 1.023 8.865,0 8.192,0 4.192 26.336 3.028,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.465.504 1.023 8.275,0 7.488,0 4.128 27.168 3.165,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.910.976 1.023 7.733,0 7.168,0 4.224 27.712 2.629,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.892.064 1.023 8.692,0 7.168,0 4.160 33.408 4.017,0 CUDA_KERNEL Fan1(float *, float *, int, int)
