45,0 1.125.604.320 1.023 1.100.297,0 880.256,0 782.784 2.354.496 433.190,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.329.468.768 1.023 1.299.578,0 1.108.352,0 937.280 2.203.200 384.743,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.104.533.408 1.023 1.079.700,0 880.448,0 783.616 2.217.664 393.805,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.050.266.048 1.023 1.026.653,0 975.232,0 804.576 2.207.872 205.767,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
48,0 1.260.740.928 1.023 1.232.395,0 1.043.040,0 781.504 2.047.392 409.517,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.186.724.640 1.023 1.160.043,0 1.038.656,0 782.944 2.216.864 417.481,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.117.352.000 1.023 1.092.230,0 879.904,0 782.432 2.246.720 406.819,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.708.483.840 1.023 1.670.072,0 1.652.512,0 1.057.728 2.015.136 209.406,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.117.988.000 1.023 1.092.852,0 879.040,0 783.616 2.218.400 381.123,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.147.725.120 1.023 1.121.920,0 880.736,0 782.496 2.059.616 418.435,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.178.511.968 1.023 1.152.015,0 1.060.000,0 952.352 2.296.992 290.855,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.183.019.552 1.023 1.156.421,0 879.584,0 782.528 2.045.184 436.798,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.766.693.088 1.023 1.726.972,0 1.684.224,0 1.266.912 2.131.296 164.384,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.758.697.184 1.023 1.719.156,0 1.676.128,0 1.252.480 2.097.216 167.002,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.104.856.736 1.023 1.080.016,0 877.728,0 784.288 2.199.168 375.372,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.739.041.184 1.023 1.699.942,0 1.664.448,0 1.087.040 2.352.192 217.723,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.752.031.200 1.023 1.712.640,0 1.672.928,0 1.258.816 2.074.784 159.684,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.191.692.960 1.023 1.164.900,0 1.051.872,0 789.472 2.218.368 337.941,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.379.739.936 1.023 1.348.719,0 1.261.984,0 1.164.960 2.189.088 233.952,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
48,0 1.311.198.240 1.023 1.281.718,0 1.037.504,0 782.272 2.243.200 515.229,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.214.677.248 1.023 1.187.367,0 1.053.344,0 780.608 2.211.776 426.966,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.265.762.560 1.023 1.237.304,0 1.058.496,0 950.464 2.184.384 387.991,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.266.050.912 1.023 1.237.586,0 1.036.128,0 781.248 2.131.424 486.066,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.175.937.536 1.023 1.149.499,0 1.074.112,0 952.512 2.283.328 288.427,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 1.193.431.520 1.023 1.166.599,0 1.037.984,0 786.688 2.335.680 442.174,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.737.613.408 1.023 1.698.546,0 1.676.256,0 1.237.472 2.072.672 137.398,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 985.856.544 1.023 963.691,0 932.704,0 787.328 2.203.488 213.948,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.087.034.880 1.023 1.062.595,0 880.480,0 780.512 2.057.568 361.094,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.689.862.656 1.023 1.651.869,0 1.647.488,0 1.021.856 2.335.648 244.602,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.138.732.992 1.023 1.113.131,0 891.168,0 784.064 2.023.360 383.203,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.116.987.808 1.023 1.091.874,0 880.928,0 783.200 2.117.408 403.781,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.757.264.320 1.023 1.717.755,0 1.679.328,0 1.248.352 2.082.688 162.928,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.075.981.728 1.023 1.051.790,0 878.592,0 781.920 2.010.944 346.201,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.255.260.704 1.023 1.227.038,0 892.864,0 783.584 2.255.392 512.037,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.231.744.512 1.023 1.204.051,0 1.033.600,0 787.584 2.201.184 455.910,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 1.075.130.752 1.023 1.050.958,0 1.015.104,0 782.912 2.213.952 258.998,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.161.493.632 1.023 1.135.379,0 878.976,0 782.816 2.191.232 450.668,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.080.543.776 1.023 1.056.250,0 878.976,0 782.944 2.216.064 334.911,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.079.521.856 1.023 1.055.251,0 891.040,0 794.240 2.102.560 352.228,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.040.211.456 1.023 1.016.824,0 989.344,0 782.592 2.189.440 250.881,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.566.891.712 1.023 1.531.663,0 1.607.616,0 959.744 1.885.952 272.387,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.745.746.400 1.023 1.706.497,0 1.673.024,0 1.181.312 2.204.928 189.460,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.619.378.496 1.023 1.582.970,0 1.675.072,0 935.680 2.092.480 347.503,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.372.457.760 1.023 1.341.600,0 1.088.832,0 946.528 2.087.680 417.303,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.243.549.152 1.023 1.215.590,0 1.040.640,0 781.184 2.140.512 458.631,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.765.096.960 1.023 1.725.412,0 1.684.128,0 1.263.744 2.118.976 165.511,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.757.118.688 1.023 1.717.613,0 1.676.736,0 1.245.536 2.088.896 168.617,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.624.288.800 1.023 1.587.770,0 1.627.488,0 980.224 1.902.816 247.825,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.105.029.152 1.023 1.080.184,0 879.648,0 784.960 2.303.616 393.146,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.382.497.312 1.023 1.351.414,0 1.248.128,0 1.145.760 2.099.200 251.713,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 1.135.782.816 1.023 1.110.247,0 1.036.320,0 780.800 2.232.544 375.191,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.037.926.944 1.023 1.014.591,0 880.320,0 781.600 2.232.544 259.239,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.115.756.608 1.023 1.090.671,0 879.520,0 784.160 2.239.616 390.017,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.186.229.472 1.023 1.159.559,0 879.744,0 783.488 2.258.848 477.524,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.268.815.360 1.023 1.240.288,0 891.744,0 783.936 2.268.288 505.890,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.337.978.912 1.023 1.307.897,0 1.036.768,0 784.640 2.364.672 550.075,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.365.524.288 1.023 1.334.823,0 1.280.896,0 1.170.656 2.023.328 186.492,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.075.100.736 1.023 1.050.929,0 878.528,0 785.728 2.269.504 384.600,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.057.206.496 1.023 1.033.437,0 878.560,0 782.144 2.219.712 321.206,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.100.721.632 1.023 1.075.974,0 879.328,0 781.280 2.095.168 334.036,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.113.933.376 1.023 1.088.888,0 878.656,0 780.864 2.213.728 392.661,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.741.243.168 1.023 1.702.095,0 1.668.960,0 1.176.736 2.351.904 210.792,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
48,0 1.724.396.160 1.023 1.685.626,0 1.667.616,0 1.227.008 2.044.416 140.860,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.166.378.368 1.023 1.140.154,0 891.040,0 782.080 2.207.456 429.147,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 1.378.248.480 1.023 1.347.261,0 1.209.216,0 779.648 2.347.104 487.129,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.088.159.520 1.023 1.063.694,0 878.976,0 784.160 2.012.480 356.004,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.135.819.872 1.023 1.110.283,0 880.160,0 781.792 2.125.568 393.932,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.768.706.688 1.023 1.728.941,0 1.700.096,0 1.300.864 2.199.648 141.203,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.114.067.328 1.023 1.089.019,0 880.960,0 784.096 2.236.352 404.401,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.161.266.400 1.023 1.135.157,0 892.448,0 782.432 2.115.552 428.913,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.387.777.952 1.023 1.356.576,0 1.053.344,0 938.144 2.124.672 422.573,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.138.505.184 1.023 1.112.908,0 894.208,0 779.616 2.251.424 388.291,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.196.915.008 1.023 1.170.004,0 1.036.032,0 935.232 2.214.272 317.888,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
48,0 1.363.866.272 1.023 1.333.202,0 1.073.376,0 950.016 2.136.096 417.791,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.125.853.568 1.023 1.100.541,0 1.055.520,0 781.920 2.150.432 353.260,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.238.667.232 1.023 1.210.818,0 1.042.976,0 780.960 2.213.728 440.003,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.424.539.904 1.023 1.392.512,0 1.527.168,0 782.080 2.246.560 517.640,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.094.474.464 1.023 1.069.867,0 880.672,0 783.808 2.116.608 351.307,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.064.598.208 1.023 1.040.663,0 881.920,0 784.096 1.952.896 315.831,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.171.478.784 1.023 1.145.140,0 1.076.256,0 951.104 2.252.256 272.817,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.253.971.872 1.023 1.225.779,0 1.081.984,0 978.304 2.247.424 353.938,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.063.594.080 1.023 1.039.681,0 880.160,0 784.640 2.344.640 338.902,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.074.177.248 1.023 1.050.026,0 879.040,0 784.320 2.088.800 355.126,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.101.099.904 1.023 1.076.344,0 880.800,0 782.560 2.188.160 424.581,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
48,0 1.592.866.496 1.023 1.557.054,0 1.671.232,0 797.440 2.077.312 366.945,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.089.515.200 1.023 1.065.019,0 882.048,0 782.208 2.216.800 357.871,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.765.985.152 1.023 1.726.280,0 1.685.504,0 1.255.840 2.122.368 165.547,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.201.372.064 1.023 1.174.361,0 1.057.600,0 949.248 2.346.496 338.793,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.744.556.992 1.023 1.705.334,0 1.674.624,0 1.058.784 2.220.256 205.825,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.264.857.792 1.023 1.236.420,0 1.043.040,0 791.712 2.023.776 378.997,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.148.374.816 1.023 1.122.556,0 889.888,0 782.176 2.007.936 388.236,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.086.445.920 1.023 1.062.019,0 880.768,0 781.376 2.029.024 349.384,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.200.021.664 1.023 1.173.041,0 878.304,0 782.016 2.237.408 491.028,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.157.984.512 1.023 1.131.949,0 880.544,0 781.472 2.213.888 412.479,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.112.629.824 1.023 1.087.614,0 879.328,0 782.880 2.213.888 391.798,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.161.624.416 1.023 1.135.507,0 878.592,0 782.848 2.016.384 419.040,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.749.886.208 1.023 1.710.543,0 1.675.296,0 1.246.592 2.078.720 163.047,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.114.740.704 1.023 1.089.678,0 878.240,0 783.360 2.214.944 428.803,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.821.067.424 1.023 1.780.124,0 1.735.424,0 1.557.728 2.348.960 183.807,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.196.958.240 1.023 1.170.047,0 1.037.856,0 780.480 2.234.272 431.243,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.138.561.152 1.023 1.112.963,0 878.400,0 785.152 2.235.776 441.230,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
