5,0 195.072 8 24.384,0 25.344,0 12.800 32.000 6.019,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 195.008 8 24.376,0 25.712,0 12.128 31.552 6.053,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 196.800 8 24.600,0 25.440,0 12.160 32.000 6.247,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 194.432 8 24.304,0 25.536,0 12.064 30.176 5.946,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 194.496 8 24.312,0 25.472,0 12.576 31.296 6.041,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 194.016 8 24.252,0 25.616,0 12.320 30.176 5.783,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 193.024 8 24.128,0 25.392,0 11.456 29.632 5.912,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 196.096 8 24.512,0 25.840,0 12.128 30.624 5.913,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 194.048 8 24.256,0 25.616,0 11.552 31.680 6.366,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 196.672 8 24.584,0 25.616,0 12.640 31.616 5.804,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
2,0 196.928 8 24.616,0 25.456,0 12.640 33.600 6.290,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 193.376 8 24.172,0 25.120,0 12.064 31.136 6.106,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 194.368 8 24.296,0 25.600,0 12.896 30.048 5.708,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 194.464 8 24.308,0 25.936,0 12.416 30.240 5.888,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 194.560 8 24.320,0 25.104,0 12.064 30.624 6.010,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 193.952 8 24.244,0 25.216,0 12.640 31.744 5.883,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 194.944 8 24.368,0 25.904,0 12.096 31.168 6.055,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 194.176 8 24.272,0 25.312,0 12.416 31.488 6.056,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 193.632 8 24.204,0 25.440,0 12.384 29.856 5.800,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 192.064 8 24.008,0 24.912,0 12.416 29.760 5.693,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 195.872 8 24.484,0 25.504,0 12.608 31.904 6.084,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 193.760 8 24.220,0 25.600,0 11.968 30.496 5.976,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 193.920 8 24.240,0 25.712,0 12.416 30.496 5.903,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 194.560 8 24.320,0 25.392,0 13.184 30.016 5.506,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 195.392 8 24.424,0 25.536,0 12.576 32.032 6.039,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 192.384 8 24.048,0 25.696,0 11.872 29.312 5.806,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 194.656 8 24.332,0 25.504,0 12.864 30.528 5.828,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 195.040 8 24.380,0 24.976,0 12.576 31.936 5.976,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 193.440 8 24.180,0 25.104,0 12.256 30.560 5.814,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 193.088 8 24.136,0 25.408,0 12.288 30.240 5.643,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 193.536 8 24.192,0 25.200,0 11.648 32.032 6.363,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 193.184 8 24.148,0 25.104,0 11.776 30.560 6.162,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 191.584 8 23.948,0 25.040,0 11.424 30.656 6.143,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 193.792 8 24.224,0 25.280,0 12.256 30.176 5.941,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 195.936 8 24.492,0 25.456,0 12.288 31.552 5.984,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 195.424 8 24.428,0 25.392,0 11.520 31.808 6.358,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 196.480 8 24.560,0 25.632,0 12.224 31.392 6.046,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 193.728 8 24.216,0 25.264,0 12.640 30.240 5.687,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 192.480 8 24.060,0 25.104,0 12.320 30.176 5.774,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 193.408 8 24.176,0 25.616,0 12.448 29.824 5.784,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
