1,0 67.552 8 8.444,0 8.320,0 8.096 9.408 419,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.152 8 8.644,0 8.496,0 7.904 9.440 580,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.384 8 8.548,0 8.496,0 7.904 9.440 465,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.208 8 8.776,0 8.640,0 8.224 9.888 599,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.384 8 8.548,0 8.256,0 7.904 9.792 677,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.784 8 8.848,0 8.656,0 7.936 10.272 787,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.864 8 8.608,0 8.336,0 7.904 9.536 578,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.056 8 8.632,0 8.480,0 7.808 9.760 645,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.224 8 8.528,0 8.448,0 8.032 9.280 436,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.456 8 8.432,0 8.368,0 7.936 9.280 458,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.304 8 8.788,0 8.800,0 7.936 9.696 577,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.488 8 8.436,0 8.256,0 7.840 9.088 422,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.560 8 8.320,0 8.368,0 7.872 8.576 200,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.944 8 8.368,0 8.320,0 7.840 9.312 460,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.632 8 8.704,0 8.624,0 7.872 9.600 632,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.864 8 8.608,0 8.480,0 7.840 9.440 556,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.608 8 8.576,0 8.432,0 7.968 9.696 603,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 72.288 8 9.036,0 9.056,0 8.288 10.144 642,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.952 8 8.744,0 8.672,0 7.872 10.112 689,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.656 8 8.332,0 8.272,0 7.840 9.312 449,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.056 8 8.632,0 8.480,0 7.904 9.536 539,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.584 8 8.448,0 8.480,0 7.968 8.896 331,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.208 8 8.776,0 8.656,0 7.872 10.176 723,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.960 8 8.620,0 8.320,0 7.936 9.888 678,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 70.080 8 8.760,0 8.720,0 7.968 9.568 616,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.928 8 8.616,0 8.288,0 7.936 10.048 733,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 39.744 8 4.968,0 5.040,0 3.904 6.368 825,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.432 8 8.804,0 8.480,0 7.904 10.336 859,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.800 8 8.600,0 8.352,0 7.872 9.728 645,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.992 8 8.624,0 8.320,0 7.840 9.824 680,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.936 8 8.492,0 8.448,0 7.968 9.024 377,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.944 8 8.868,0 8.752,0 7.936 9.984 728,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.544 8 8.568,0 8.544,0 7.936 9.600 482,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.072 8 8.384,0 8.320,0 8.064 8.672 220,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.408 8 8.676,0 8.592,0 7.904 9.728 600,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.504 8 8.688,0 8.480,0 7.968 9.632 557,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 40.064 8 5.008,0 5.072,0 3.936 5.888 748,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.024 8 8.628,0 8.624,0 7.872 9.536 514,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.552 8 8.444,0 8.480,0 7.904 8.800 285,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.152 8 8.644,0 8.464,0 7.968 9.568 587,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
