5,0 4.170.112 12 347.509,0 309.904,0 295.072 471.328 74.153,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.165.696 12 347.141,0 312.384,0 295.872 466.432 72.476,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.176.128 12 348.010,0 310.992,0 294.752 475.328 75.892,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.173.600 12 347.800,0 310.016,0 294.816 476.064 76.033,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.176.192 12 348.016,0 310.928,0 296.576 471.392 74.508,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.164.544 12 347.045,0 309.888,0 294.912 471.040 74.500,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.223.296 12 351.941,0 312.416,0 303.104 478.816 72.421,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.160.480 12 346.706,0 309.696,0 293.760 470.016 74.996,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.182.272 12 348.522,0 309.824,0 295.264 480.928 76.250,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.165.856 12 347.154,0 309.968,0 295.232 470.432 74.056,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.169.376 12 347.448,0 309.680,0 294.112 470.336 74.870,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.177.792 12 348.149,0 312.160,0 296.832 468.448 72.754,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.196.736 12 349.728,0 312.560,0 300.032 471.424 72.581,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.165.152 12 347.096,0 310.240,0 295.936 468.736 73.766,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.167.264 12 347.272,0 310.832,0 294.976 472.640 75.167,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.171.488 12 347.624,0 309.760,0 295.232 474.944 74.603,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.172.256 12 347.688,0 309.024,0 295.008 475.360 76.285,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.167.712 12 347.309,0 310.016,0 294.656 474.464 75.645,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.168.384 12 347.365,0 310.032,0 295.680 474.784 75.171,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.161.152 12 346.762,0 308.816,0 295.072 470.624 74.574,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.164.128 12 347.010,0 309.728,0 295.488 469.920 74.362,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.164.672 12 347.056,0 309.296,0 294.848 472.064 74.982,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.176.704 12 348.058,0 310.560,0 297.248 473.600 74.411,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.162.336 12 346.861,0 309.936,0 294.912 469.760 74.564,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.168.576 12 347.381,0 309.664,0 294.240 470.656 74.988,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.168.032 12 347.336,0 310.064,0 295.424 473.920 75.037,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.233.152 12 352.762,0 314.352,0 306.176 472.064 70.930,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.235.520 12 352.960,0 314.704,0 306.720 469.760 70.682,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
4,0 2.669.536 12 222.461,0 218.320,0 207.296 245.632 15.237,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.177.280 12 348.106,0 311.424,0 297.216 470.464 74.007,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.177.504 12 348.125,0 311.168,0 296.512 471.584 74.224,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.173.152 12 347.762,0 310.848,0 294.656 472.320 74.926,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.196.128 12 349.677,0 312.528,0 298.304 468.608 71.966,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.168.064 12 347.338,0 310.016,0 294.688 471.168 75.040,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
4,0 2.672.736 12 222.728,0 218.528,0 207.456 244.832 15.018,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.164.704 12 347.058,0 310.384,0 294.400 474.944 75.432,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.180.064 12 348.338,0 309.664,0 295.264 476.096 75.811,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.166.496 12 347.208,0 311.280,0 296.288 468.320 73.078,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0,0 1.297.696 12 108.141,0 89.408,0 84.736 156.960 30.857,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.171.520 12 347.626,0 309.680,0 294.816 473.088 75.343,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.169.408 12 347.450,0 308.592,0 295.072 476.864 76.539,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.149.984 12 345.832,0 309.312,0 294.816 467.840 73.402,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
