31,0 24.138.880 12 2.011.573,0 709.392,0 302.016 9.003.584 2.683.746,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.170.240 12 2.014.186,0 714.128,0 301.504 9.009.248 2.687.186,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.154.528 12 2.012.877,0 710.992,0 300.960 8.980.512 2.681.728,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.121.600 12 2.010.133,0 710.448,0 298.976 8.980.128 2.679.004,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 26.645.280 12 2.220.440,0 711.472,0 301.600 9.009.568 2.911.912,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.113.824 12 2.009.485,0 705.248,0 303.296 9.022.304 2.688.817,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.143.968 12 2.011.997,0 715.984,0 300.480 9.013.824 2.685.976,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.094.816 12 2.007.901,0 711.632,0 299.616 9.013.344 2.684.325,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.140.640 12 2.011.720,0 713.792,0 300.320 9.003.648 2.683.342,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.188.896 12 2.015.741,0 712.480,0 300.480 9.013.856 2.690.071,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.162.176 12 2.013.514,0 715.808,0 300.960 9.026.368 2.690.268,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.114.400 12 2.009.533,0 710.944,0 299.808 9.008.576 2.685.467,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.181.792 12 2.015.149,0 713.232,0 300.160 9.011.392 2.686.734,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.167.680 12 2.013.973,0 710.592,0 301.856 9.016.672 2.688.288,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.169.216 12 2.014.101,0 707.408,0 301.728 9.025.152 2.691.095,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.097.920 12 2.008.160,0 711.360,0 299.616 8.995.232 2.681.699,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.117.888 12 2.009.824,0 713.216,0 299.712 9.004.512 2.682.706,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.152.704 12 2.012.725,0 708.752,0 300.640 9.032.960 2.689.694,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.142.880 12 2.011.906,0 713.408,0 300.416 8.995.968 2.682.265,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.166.432 12 2.013.869,0 714.976,0 304.224 9.021.664 2.689.195,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.091.872 12 2.007.656,0 708.080,0 299.648 8.993.344 2.681.785,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.072.896 12 2.006.074,0 712.864,0 300.320 8.986.688 2.677.361,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.142.496 12 2.011.874,0 709.664,0 301.376 9.027.936 2.689.025,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.101.920 12 2.008.493,0 709.072,0 299.424 8.986.752 2.679.091,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.174.112 12 2.014.509,0 707.264,0 302.080 9.024.992 2.691.357,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.149.088 12 2.012.424,0 713.824,0 303.040 9.013.088 2.684.925,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.120.832 12 2.010.069,0 707.920,0 300.800 9.005.056 2.683.017,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.093.376 12 2.007.781,0 709.600,0 298.592 8.995.584 2.682.544,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.167.584 12 2.013.965,0 712.336,0 300.128 9.019.616 2.691.119,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.135.200 12 2.011.266,0 708.144,0 297.856 9.017.184 2.688.285,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.143.968 12 2.011.997,0 712.464,0 300.800 8.996.288 2.682.714,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.169.728 12 2.014.144,0 709.728,0 301.056 9.026.432 2.690.134,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.122.144 12 2.010.178,0 709.408,0 299.520 9.014.368 2.687.272,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.126.976 12 2.010.581,0 717.040,0 300.960 9.000.064 2.682.324,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.132.672 12 2.011.056,0 713.424,0 300.672 9.007.488 2.684.293,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.122.880 12 2.010.240,0 709.248,0 300.320 9.010.144 2.685.445,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.168.992 12 2.014.082,0 707.984,0 299.808 9.016.640 2.688.887,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.173.664 12 2.014.472,0 716.192,0 298.432 8.998.240 2.684.909,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
29,0 24.165.792 12 2.013.816,0 708.560,0 300.448 9.036.256 2.691.019,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.202.016 12 2.016.834,0 711.664,0 310.528 9.028.672 2.687.804,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.156.352 12 2.013.029,0 712.368,0 307.712 9.026.208 2.686.093,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
29,0 17.221.216 12 1.435.101,0 494.240,0 211.232 6.722.656 1.973.657,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.129.504 12 2.010.792,0 709.680,0 302.400 9.015.872 2.684.125,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.123.552 12 2.010.296,0 713.792,0 301.152 9.014.400 2.686.015,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.123.584 12 2.010.298,0 707.680,0 300.608 8.976.352 2.677.218,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.175.904 12 2.014.658,0 711.216,0 300.960 9.017.440 2.689.895,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.126.432 12 2.010.536,0 712.208,0 298.304 8.987.264 2.680.250,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
29,0 17.244.864 12 1.437.072,0 496.880,0 210.560 6.726.624 1.976.378,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.133.248 12 2.011.104,0 714.672,0 300.768 8.986.592 2.680.077,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.133.152 12 2.011.096,0 713.248,0 299.424 9.010.848 2.686.230,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.117.664 12 2.009.805,0 710.336,0 301.920 9.015.456 2.683.786,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 7.304.800 12 608.733,0 211.120,0 87.840 2.472.608 784.065,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.112.160 12 2.009.346,0 707.328,0 299.936 8.993.920 2.682.674,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.143.392 12 2.011.949,0 713.936,0 300.320 9.011.040 2.684.627,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.175.840 12 2.014.653,0 715.024,0 301.088 9.009.408 2.685.845,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.121.088 12 2.010.090,0 710.000,0 299.520 8.993.600 2.682.165,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.141.536 12 2.011.794,0 708.688,0 303.360 9.005.376 2.683.114,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.167.168 12 2.013.930,0 714.672,0 301.568 9.020.352 2.687.159,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.126.720 12 2.010.560,0 708.720,0 300.544 8.991.040 2.682.603,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.115.680 12 2.009.640,0 708.272,0 300.576 9.016.032 2.687.213,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
31,0 24.117.888 12 2.009.824,0 710.080,0 300.352 9.010.496 2.683.549,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
30,0 24.158.592 12 2.013.216,0 710.480,0 299.936 9.016.128 2.690.505,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
