3,0 9.585.344 1 9.585.344,0 9.585.344,0 9.585.344 9.585.344 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.140.416 1 3.140.416,0 3.140.416,0 3.140.416 3.140.416 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.222.688 1 3.222.688,0 3.222.688,0 3.222.688 3.222.688 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.589.088 1 4.589.088,0 4.589.088,0 4.589.088 4.589.088 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.152.352 1 3.152.352,0 3.152.352,0 3.152.352 3.152.352 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.207.712 1 3.207.712,0 3.207.712,0 3.207.712 3.207.712 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.583.168 1 3.583.168,0 3.583.168,0 3.583.168 3.583.168 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.547.200 1 4.547.200,0 4.547.200,0 4.547.200 4.547.200 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 8.635.328 1 8.635.328,0 8.635.328,0 8.635.328 8.635.328 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
4,0 12.417.344 1 12.417.344,0 12.417.344,0 12.417.344 12.417.344 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.971.328 1 10.971.328,0 10.971.328,0 10.971.328 10.971.328 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.978.528 1 3.978.528,0 3.978.528,0 3.978.528 3.978.528 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.135.840 1 3.135.840,0 3.135.840,0 3.135.840 3.135.840 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.518.208 1 3.518.208,0 3.518.208,0 3.518.208 3.518.208 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.666.336 1 11.666.336,0 11.666.336,0 11.666.336 11.666.336 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 6.965.888 1 6.965.888,0 6.965.888,0 6.965.888 6.965.888 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.135.712 1 3.135.712,0 3.135.712,0 3.135.712 3.135.712 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.807.776 1 10.807.776,0 10.807.776,0 10.807.776 10.807.776 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 6.654.112 1 6.654.112,0 6.654.112,0 6.654.112 6.654.112 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.334.592 1 10.334.592,0 10.334.592,0 10.334.592 10.334.592 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 3.117.152 1 3.117.152,0 3.117.152,0 3.117.152 3.117.152 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.138.112 1 3.138.112,0 3.138.112,0 3.138.112 3.138.112 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.832.704 1 11.832.704,0 11.832.704,0 11.832.704 11.832.704 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 8.524.480 1 8.524.480,0 8.524.480,0 8.524.480 8.524.480 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
6,0 10.929.472 1 10.929.472,0 10.929.472,0 10.929.472 10.929.472 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.539.648 1 3.539.648,0 3.539.648,0 3.539.648 3.539.648 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 6.057.216 1 6.057.216,0 6.057.216,0 6.057.216 6.057.216 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.218.208 1 3.218.208,0 3.218.208,0 3.218.208 3.218.208 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.612.992 1 11.612.992,0 11.612.992,0 11.612.992 11.612.992 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.205.088 1 3.205.088,0 3.205.088,0 3.205.088 3.205.088 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 10.326.688 1 10.326.688,0 10.326.688,0 10.326.688 10.326.688 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.248.800 1 11.248.800,0 11.248.800,0 11.248.800 11.248.800 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 4.549.888 1 4.549.888,0 4.549.888,0 4.549.888 4.549.888 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.216.800 1 11.216.800,0 11.216.800,0 11.216.800 11.216.800 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 11.912.512 1 11.912.512,0 11.912.512,0 11.912.512 11.912.512 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
2,0 8.957.184 1 8.957.184,0 8.957.184,0 8.957.184 8.957.184 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
3,0 9.097.344 1 9.097.344,0 9.097.344,0 9.097.344 9.097.344 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.125.760 1 3.125.760,0 3.125.760,0 3.125.760 3.125.760 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 5.325.024 1 5.325.024,0 5.325.024,0 5.325.024 5.325.024 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 3.156.992 1 3.156.992,0 3.156.992,0 3.156.992 3.156.992 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 5.168.384 1 5.168.384,0 5.168.384,0 5.168.384 5.168.384 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
