4,0 16.625.888 2 8.312.944,0 8.312.944,0 6.235.040 10.390.848 2.938.600,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.848.384 2 7.924.192,0 7.924.192,0 5.410.080 10.438.304 3.555.491,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 19.094.752 2 9.547.376,0 9.547.376,0 8.809.184 10.285.568 1.043.961,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 19.444.864 2 9.722.432,0 9.722.432,0 9.110.944 10.333.920 864.774,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.296.128 2 2.648.064,0 2.648.064,0 2.643.968 2.652.160 5.792,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.571.808 2 7.785.904,0 7.785.904,0 5.333.376 10.238.432 3.468.398,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.835.200 2 9.417.600,0 9.417.600,0 8.540.928 10.294.272 1.239.801,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 19.388.192 2 9.694.096,0 9.694.096,0 9.175.872 10.212.320 732.879,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.696.224 2 7.848.112,0 7.848.112,0 5.391.008 10.305.216 3.474.869,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.714.432 2 9.357.216,0 9.357.216,0 8.470.208 10.244.224 1.254.418,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.719.200 2 7.859.600,0 7.859.600,0 5.537.024 10.182.176 3.284.618,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.049.536 2 9.024.768,0 9.024.768,0 7.777.760 10.271.776 1.763.535,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 12.779.136 2 6.389.568,0 6.389.568,0 2.594.112 10.185.024 5.367.585,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.264.576 2 9.132.288,0 9.132.288,0 8.031.360 10.233.216 1.556.947,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.434.656 2 9.217.328,0 9.217.328,0 8.245.568 10.189.088 1.374.276,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.232.800 2 9.116.400,0 9.116.400,0 7.985.888 10.246.912 1.598.785,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 12.928.192 2 6.464.096,0 6.464.096,0 2.635.488 10.292.704 5.414.469,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 16.233.184 2 8.116.592,0 8.116.592,0 6.005.216 10.227.968 2.985.936,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.657.024 2 7.828.512,0 7.828.512,0 5.380.288 10.276.736 3.462.311,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.879.040 2 7.939.520,0 7.939.520,0 5.606.208 10.272.832 3.299.801,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.625.472 2 7.812.736,0 7.812.736,0 5.421.600 10.203.872 3.381.577,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 12.949.280 2 6.474.640,0 6.474.640,0 2.643.136 10.306.144 5.418.564,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
6,0 15.754.400 2 7.877.200,0 7.877.200,0 5.505.248 10.249.152 3.354.446,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 16.475.904 2 8.237.952,0 8.237.952,0 6.224.544 10.251.360 2.847.388,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.867.648 2 9.433.824,0 9.433.824,0 8.662.944 10.204.704 1.090.189,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.640.480 2 7.820.240,0 7.820.240,0 5.403.328 10.237.152 3.418.029,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.658.752 2 7.829.376,0 7.829.376,0 5.405.088 10.253.664 3.428.461,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.604.672 2 7.802.336,0 7.802.336,0 5.396.416 10.208.256 3.402.484,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.660.704 2 7.830.352,0 7.830.352,0 5.412.992 10.247.712 3.418.663,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.709.440 2 7.854.720,0 7.854.720,0 5.391.968 10.317.472 3.482.857,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
10,0 18.086.848 2 9.043.424,0 9.043.424,0 7.869.088 10.217.760 1.660.761,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 12.812.192 2 6.406.096,0 6.406.096,0 2.636.288 10.175.904 5.331.313,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.593.728 2 7.796.864,0 7.796.864,0 5.352.128 10.241.600 3.457.378,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.991.328 2 7.995.664,0 7.995.664,0 5.695.712 10.295.616 3.252.623,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.650.112 2 7.825.056,0 7.825.056,0 5.398.112 10.252.000 3.432.217,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 17.835.424 2 8.917.712,0 8.917.712,0 7.497.472 10.337.952 2.008.522,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 11.399.552 2 5.699.776,0 5.699.776,0 2.637.952 8.761.600 4.330.073,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 17.896.960 2 8.948.480,0 8.948.480,0 7.651.040 10.245.920 1.834.857,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.631.904 2 7.815.952,0 7.815.952,0 5.373.920 10.257.984 3.453.554,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 19.046.528 2 9.523.264,0 9.523.264,0 8.822.080 10.224.448 991.623,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.534.400 2 9.267.200,0 9.267.200,0 8.273.376 10.261.024 1.405.479,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.650.240 2 7.825.120,0 7.825.120,0 5.410.528 10.239.712 3.414.748,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
10,0 20.460.416 2 10.230.208,0 10.230.208,0 10.207.072 10.253.344 32.719,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 19.194.144 2 9.597.072,0 9.597.072,0 8.947.456 10.246.688 918.695,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 19.339.552 2 9.669.776,0 9.669.776,0 9.155.552 10.184.000 727.222,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.716.704 2 7.858.352,0 7.858.352,0 5.424.416 10.292.288 3.442.105,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 12.831.104 2 6.415.552,0 6.415.552,0 2.633.952 10.197.152 5.347.990,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
6,0 16.647.872 2 8.323.936,0 8.323.936,0 6.254.528 10.393.344 2.926.584,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.630.464 2 7.815.232,0 7.815.232,0 5.343.360 10.287.104 3.495.754,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.586.560 2 7.793.280,0 7.793.280,0 5.353.824 10.232.736 3.449.911,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
9,0 15.602.368 2 7.801.184,0 7.801.184,0 5.377.536 10.224.832 3.427.555,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.312.832 2 9.156.416,0 9.156.416,0 7.964.992 10.347.840 1.684.928,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
11,0 18.338.144 2 9.169.072,0 9.169.072,0 8.123.232 10.214.912 1.479.041,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
7,0 15.546.688 2 7.773.344,0 7.773.344,0 5.357.792 10.188.896 3.416.106,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 14.235.104 2 7.117.552,0 7.117.552,0 4.018.144 10.216.960 4.383.224,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.801.312 2 7.900.656,0 7.900.656,0 5.535.328 10.265.984 3.345.078,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.326.944 2 9.163.472,0 9.163.472,0 8.048.448 10.278.496 1.576.882,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 12.876.032 2 6.438.016,0 6.438.016,0 2.623.840 10.252.192 5.394.059,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.852.960 2 7.926.480,0 7.926.480,0 5.614.336 10.238.624 3.269.865,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
6,0 17.653.088 2 8.826.544,0 8.826.544,0 7.280.576 10.372.512 2.186.328,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 16.091.904 2 8.045.952,0 8.045.952,0 5.850.592 10.241.312 3.104.707,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 12.854.272 2 6.427.136,0 6.427.136,0 2.616.096 10.238.176 5.389.624,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.732.960 2 7.866.480,0 7.866.480,0 5.491.040 10.241.920 3.359.379,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.589.760 2 7.794.880,0 7.794.880,0 5.409.760 10.180.000 3.373.069,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.762.304 2 7.881.152,0 7.881.152,0 5.447.424 10.314.880 3.441.811,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.556.512 2 7.778.256,0 7.778.256,0 5.362.144 10.194.368 3.416.898,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.631.264 2 7.815.632,0 7.815.632,0 5.379.968 10.251.296 3.444.549,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 17.802.016 2 8.901.008,0 8.901.008,0 7.507.520 10.294.496 1.970.689,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
6,0 19.848.864 2 9.924.432,0 9.924.432,0 9.573.952 10.274.912 495.653,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.925.568 2 9.462.784,0 9.462.784,0 8.693.984 10.231.584 1.087.247,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.723.680 2 7.861.840,0 7.861.840,0 5.444.288 10.279.392 3.418.934,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.659.296 2 7.829.648,0 7.829.648,0 5.445.984 10.213.312 3.371.010,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
8,0 15.727.360 2 7.863.680,0 7.863.680,0 5.420.896 10.306.464 3.454.618,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.693.856 2 9.346.928,0 9.346.928,0 8.458.080 10.235.776 1.257.020,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 16.029.728 2 8.014.864,0 8.014.864,0 5.801.024 10.228.704 3.130.842,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 12.882.912 2 6.441.456,0 6.441.456,0 2.625.920 10.256.992 5.395.982,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.539.328 2 9.269.664,0 9.269.664,0 8.257.248 10.282.080 1.431.772,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.678.880 2 7.839.440,0 7.839.440,0 5.343.488 10.335.392 3.529.809,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 17.800.768 2 8.900.384,0 8.900.384,0 7.522.560 10.278.208 1.948.537,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.767.328 2 7.883.664,0 7.883.664,0 5.457.984 10.309.344 3.430.429,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 12.907.968 2 6.453.984,0 6.453.984,0 2.641.952 10.266.016 5.391.027,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.748.096 2 9.374.048,0 9.374.048,0 8.493.600 10.254.496 1.245.141,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 17.772.992 2 8.886.496,0 8.886.496,0 7.486.240 10.286.752 1.980.261,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
11,0 20.527.392 2 10.263.696,0 10.263.696,0 10.235.296 10.292.096 40.163,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.746.912 2 7.873.456,0 7.873.456,0 5.386.496 10.360.416 3.517.092,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.803.200 2 7.901.600,0 7.901.600,0 5.529.952 10.273.248 3.354.016,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 12.883.040 2 6.441.520,0 6.441.520,0 2.636.000 10.247.040 5.381.818,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.776.864 2 9.388.432,0 9.388.432,0 8.565.792 10.211.072 1.163.388,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.601.344 2 7.800.672,0 7.800.672,0 5.406.144 10.195.200 3.386.374,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 17.745.056 2 8.872.528,0 8.872.528,0 7.502.176 10.242.880 1.937.970,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.651.968 2 9.325.984,0 9.325.984,0 8.353.920 10.298.048 1.374.706,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.884.480 2 7.942.240,0 7.942.240,0 5.524.000 10.360.480 3.419.907,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.582.464 2 9.291.232,0 9.291.232,0 8.327.200 10.255.264 1.363.347,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.340.864 2 9.170.432,0 9.170.432,0 8.045.888 10.294.976 1.590.345,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 17.084.896 2 8.542.448,0 8.542.448,0 6.773.888 10.311.008 2.501.121,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 17.756.992 2 8.878.496,0 8.878.496,0 7.514.528 10.242.464 1.928.942,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.715.968 2 7.857.984,0 7.857.984,0 5.402.336 10.313.632 3.472.810,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.593.056 2 7.796.528,0 7.796.528,0 5.368.704 10.224.352 3.433.461,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.797.568 2 7.898.784,0 7.898.784,0 5.421.440 10.376.128 3.503.493,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.572.608 2 7.786.304,0 7.786.304,0 5.372.448 10.200.160 3.413.707,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.677.088 2 7.838.544,0 7.838.544,0 5.424.256 10.252.832 3.414.318,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.662.016 2 7.831.008,0 7.831.008,0 5.356.896 10.305.120 3.498.922,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 15.214.880 2 7.607.440,0 7.607.440,0 4.921.056 10.293.824 3.799.120,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
