0,0 4.537.696 1 4.537.696,0 4.537.696,0 4.537.696 4.537.696 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.656 1 4.534.656,0 4.534.656,0 4.534.656 4.534.656 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.567.808 1 3.567.808,0 3.567.808,0 3.567.808 3.567.808 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.088 1 4.537.088,0 4.537.088,0 4.537.088 4.537.088 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 5.140.608 1 5.140.608,0 5.140.608,0 5.140.608 5.140.608 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.704 1 4.536.704,0 4.536.704,0 4.536.704 4.536.704 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.399.040 1 3.399.040,0 3.399.040,0 3.399.040 3.399.040 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.816 1 4.534.816,0 4.534.816,0 4.534.816 4.534.816 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.400.704 1 3.400.704,0 3.400.704,0 3.400.704 3.400.704 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.064 1 4.536.064,0 4.536.064,0 4.536.064 4.536.064 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.872 1 4.535.872,0 4.535.872,0 4.535.872 4.535.872 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.216 1 4.537.216,0 4.537.216,0 4.537.216 4.537.216 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.264 1 4.535.264,0 4.535.264,0 4.535.264 4.535.264 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.168 1 4.535.168,0 4.535.168,0 4.535.168 4.535.168 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.211.360 1 3.211.360,0 3.211.360,0 3.211.360 3.211.360 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.040 1 4.535.040,0 4.535.040,0 4.535.040 4.535.040 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.544 1 4.536.544,0 4.536.544,0 4.536.544 4.536.544 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.995.968 1 2.995.968,0 2.995.968,0 2.995.968 2.995.968 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.067.840 1 3.067.840,0 3.067.840,0 3.067.840 3.067.840 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.028.576 1 3.028.576,0 3.028.576,0 3.028.576 3.028.576 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.888 1 4.537.888,0 4.537.888,0 4.537.888 4.537.888 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.015.584 1 3.015.584,0 3.015.584,0 3.015.584 3.015.584 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.014.112 1 3.014.112,0 3.014.112,0 3.014.112 3.014.112 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.672 1 4.536.672,0 4.536.672,0 4.536.672 4.536.672 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.784 1 4.534.784,0 4.534.784,0 4.534.784 4.534.784 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.996.928 1 2.996.928,0 2.996.928,0 2.996.928 2.996.928 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.128 1 4.536.128,0 4.536.128,0 4.536.128 4.536.128 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.992.256 1 2.992.256,0 2.992.256,0 2.992.256 2.992.256 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.311.712 1 3.311.712,0 3.311.712,0 3.311.712 3.311.712 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.984 1 4.533.984,0 4.533.984,0 4.533.984 4.533.984 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.080 1 4.534.080,0 4.534.080,0 4.534.080 4.534.080 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.184 1 4.537.184,0 4.537.184,0 4.537.184 4.537.184 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.538.176 1 4.538.176,0 4.538.176,0 4.538.176 4.538.176 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.018.624 1 3.018.624,0 3.018.624,0 3.018.624 3.018.624 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.868.352 1 2.868.352,0 2.868.352,0 2.868.352 2.868.352 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.992.736 1 2.992.736,0 2.992.736,0 2.992.736 2.992.736 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.224 1 4.536.224,0 4.536.224,0 4.536.224 4.536.224 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.959.616 1 2.959.616,0 2.959.616,0 2.959.616 2.959.616 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.664 1 4.533.664,0 4.533.664,0 4.533.664 4.533.664 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
