46,0 951.605.152 10 95.160.515,0 92.405.296,0 86.758.336 120.033.024 9.258.230,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 960.849.760 10 96.084.976,0 92.208.144,0 86.760.768 129.431.040 12.117.076,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 960.583.328 10 96.058.332,0 92.155.632,0 86.796.768 129.929.888 12.286.892,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 951.768.896 10 95.176.889,0 92.493.328,0 86.874.464 114.879.456 7.926.697,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 982.524.352 10 98.252.435,0 92.463.328,0 86.874.240 149.595.296 18.301.962,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 951.318.400 10 95.131.840,0 92.128.928,0 90.450.048 116.810.272 8.002.602,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 946.673.120 10 94.667.312,0 91.876.816,0 86.658.752 116.693.792 8.339.824,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 944.328.288 10 94.432.828,0 92.023.728,0 86.924.640 117.801.696 8.529.868,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 937.212.832 10 93.721.283,0 92.152.336,0 86.927.776 109.222.176 6.141.570,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 945.531.680 10 94.553.168,0 92.043.488,0 86.869.664 115.507.552 7.953.097,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 958.389.312 10 95.838.931,0 93.288.000,0 86.931.296 122.507.840 9.907.381,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 951.752.640 10 95.175.264,0 92.917.232,0 86.868.544 116.817.152 8.255.751,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 972.672.672 10 97.267.267,0 92.651.632,0 86.662.304 116.938.272 10.377.605,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.020.594.656 10 102.059.465,0 91.801.376,0 86.960.192 194.500.224 32.624.755,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.033.904.288 10 103.390.428,0 92.418.080,0 86.800.064 157.917.728 21.985.132,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 945.943.264 10 94.594.326,0 92.076.288,0 85.599.200 121.611.168 9.972.257,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 959.307.296 10 95.930.729,0 92.241.632,0 86.704.800 130.781.184 12.591.858,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 971.935.616 10 97.193.561,0 93.737.664,0 86.755.776 122.494.048 10.419.976,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
