0,0 8.024.544 1.023 7.844,0 8.416,0 4.160 36.288 2.530,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.217.856 1.023 8.033,0 7.232,0 4.256 36.640 3.414,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.673.088 1.023 7.500,0 7.136,0 4.192 36.576 2.701,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.383.680 1.023 10.150,0 8.864,0 4.224 36.800 4.119,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.238.496 1.023 8.053,0 7.264,0 4.192 37.376 3.015,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.556.096 1.023 7.386,0 7.232,0 4.256 37.056 2.589,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.891.808 1.023 6.736,0 6.976,0 4.192 37.376 2.084,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.207.936 1.023 7.045,0 7.200,0 4.224 35.552 2.200,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.231.424 1.023 7.068,0 7.168,0 4.192 35.936 2.478,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.345.056 1.023 7.179,0 7.200,0 4.192 34.464 2.419,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.264.128 1.023 7.100,0 7.232,0 4.192 35.200 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.126.560 1.023 7.943,0 7.296,0 4.288 36.608 3.096,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.528.928 1.023 7.359,0 7.232,0 4.192 37.408 2.665,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.514.368 1.023 7.345,0 7.200,0 4.224 36.640 2.591,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.540.736 1.023 7.371,0 7.104,0 4.192 39.232 2.778,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.461.088 1.023 7.293,0 7.168,0 4.224 34.784 2.656,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.526.400 1.023 7.357,0 7.168,0 4.256 37.792 2.662,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.621.792 1.023 7.450,0 7.488,0 4.256 36.832 2.119,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.503.456 1.023 7.334,0 7.136,0 4.160 37.536 2.584,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.063.328 1.023 6.904,0 7.168,0 4.192 19.808 1.483,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.753.216 1.023 7.578,0 7.232,0 4.224 36.576 2.733,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.321.472 1.023 7.156,0 7.200,0 4.224 37.568 2.369,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.206.720 1.023 8.022,0 7.072,0 4.160 36.032 3.453,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.283.104 1.023 7.119,0 7.232,0 4.224 37.536 2.183,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.178.016 1.023 7.016,0 7.136,0 4.160 36.512 2.257,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.248.736 1.023 7.085,0 7.232,0 4.192 36.192 2.143,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.718.432 1.023 7.544,0 7.328,0 4.160 36.704 2.588,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.209.952 1.023 7.047,0 7.072,0 4.256 36.960 2.288,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.110.688 1.023 6.950,0 7.200,0 4.224 38.048 2.161,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.330.784 1.023 7.166,0 7.168,0 4.192 36.032 2.311,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.212.928 1.023 7.050,0 7.200,0 4.192 36.640 2.212,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.796.352 1.023 7.621,0 7.200,0 4.224 37.088 3.053,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.324.032 1.023 7.159,0 7.200,0 4.192 37.248 2.382,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.234.976 1.023 7.072,0 7.232,0 4.192 37.056 2.201,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.152.192 1.023 7.968,0 8.512,0 4.192 36.896 2.617,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.003.584 1.023 8.801,0 8.384,0 4.256 37.088 3.533,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.505.856 1.023 7.337,0 7.200,0 4.224 36.352 2.513,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.186.976 1.023 7.025,0 7.168,0 4.192 36.352 2.200,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.397.632 1.023 7.231,0 7.104,0 4.128 36.896 2.607,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.591.168 1.023 7.420,0 7.168,0 4.256 37.664 2.707,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.241.696 1.023 7.078,0 7.200,0 4.256 35.328 2.261,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.578.528 1.023 7.408,0 7.456,0 4.128 35.744 2.290,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.023.104 1.023 6.865,0 7.168,0 4.224 37.536 2.277,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.716.192 1.023 7.542,0 7.232,0 4.192 36.960 2.946,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.339.488 1.023 7.174,0 7.264,0 4.224 35.488 2.209,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.332.384 1.023 7.167,0 7.264,0 4.192 37.408 2.322,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.951.296 1.023 6.795,0 7.168,0 4.224 36.704 2.039,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.358.080 1.023 7.192,0 7.200,0 4.256 35.552 2.445,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.791.904 1.023 7.616,0 7.200,0 4.192 36.576 3.029,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.162.080 1.023 7.001,0 7.136,0 4.192 35.456 2.122,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.344.672 1.023 7.179,0 7.232,0 4.224 35.424 2.412,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.918.368 1.023 7.740,0 7.168,0 4.160 34.400 3.224,0 CUDA_KERNEL Fan1(float *, float *, int, int)
