46,0 1.028.912.512 1.023 1.005.779,0 878.720,0 782.880 2.362.144 340.520,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 980.757.856 1.023 958.707,0 879.456,0 783.808 2.350.784 268.751,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.078.403.712 1.023 1.054.158,0 889.664,0 794.464 2.360.160 416.515,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.077.945.568 1.023 1.053.710,0 891.136,0 794.272 2.325.728 408.458,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.094.015.456 1.023 1.069.418,0 893.984,0 791.904 2.358.080 430.640,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.031.230.432 1.023 1.008.045,0 878.304,0 782.528 2.331.264 353.712,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 996.071.456 1.023 973.676,0 880.800,0 784.128 2.347.552 309.230,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 997.244.448 1.023 974.823,0 891.840,0 795.712 2.371.520 286.633,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.019.373.888 1.023 996.455,0 891.936,0 780.032 2.333.152 333.500,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.541.765.152 1.023 1.507.101,0 1.739.840,0 793.856 2.351.136 508.266,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 995.145.568 1.023 972.771,0 894.976,0 779.744 2.346.624 295.345,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.009.171.584 1.023 986.482,0 892.160,0 794.368 2.338.976 312.287,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 986.202.976 1.023 964.030,0 879.616,0 783.872 2.355.104 291.306,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.021.891.584 1.023 998.916,0 891.520,0 791.936 2.348.224 324.920,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.003.547.008 1.023 980.984,0 893.248,0 793.184 2.316.416 301.161,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.032.699.840 1.023 1.009.481,0 889.856,0 792.736 2.383.328 359.330,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.078.583.008 1.023 1.054.333,0 891.264,0 792.992 2.312.032 411.927,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.005.373.792 1.023 982.770,0 891.552,0 796.128 2.358.048 307.920,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.011.496.160 1.023 988.754,0 890.688,0 791.360 2.358.208 325.666,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.055.994.592 1.023 1.032.252,0 892.288,0 793.696 2.358.976 389.962,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.033.988.992 1.023 1.010.741,0 890.752,0 792.096 2.332.576 333.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.329.907.104 1.023 1.300.006,0 909.568,0 781.920 2.356.064 547.684,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.032.965.152 1.023 1.009.741,0 890.560,0 794.304 2.373.056 326.561,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.283.068.416 1.023 1.254.221,0 890.400,0 793.248 2.344.096 533.986,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 998.412.800 1.023 975.965,0 890.816,0 790.304 2.336.800 294.646,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.002.978.240 1.023 980.428,0 891.392,0 793.440 2.351.680 307.329,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.009.630.048 1.023 986.930,0 881.024,0 779.072 2.358.048 322.477,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.004.796.992 1.023 982.206,0 880.032,0 784.864 2.350.112 328.110,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.025.835.328 1.023 1.002.771,0 891.008,0 790.048 2.346.848 331.320,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 994.762.464 1.023 972.397,0 879.584,0 783.360 2.332.576 311.789,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.003.231.936 1.023 980.676,0 890.720,0 793.056 2.333.152 305.404,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.035.334.560 1.023 1.012.057,0 890.112,0 794.688 2.359.328 328.168,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.025.921.312 1.023 1.002.855,0 889.856,0 794.240 2.358.944 352.680,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.069.358.880 1.023 1.045.316,0 935.552,0 789.728 2.305.760 318.255,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.009.836.896 1.023 987.132,0 890.464,0 791.104 2.336.064 318.273,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.007.065.312 1.023 984.423,0 880.224,0 783.040 2.343.360 334.543,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 988.949.600 1.023 966.715,0 891.072,0 792.576 2.364.160 268.960,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.042.579.840 1.023 1.019.139,0 885.696,0 781.600 2.355.968 377.913,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 988.753.760 1.023 966.523,0 890.528,0 791.104 2.365.344 271.914,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.028.210.848 1.023 1.005.093,0 891.168,0 795.648 2.349.664 345.464,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.031.990.656 1.023 1.008.788,0 891.328,0 789.984 2.371.296 350.926,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
