1,0 44.928 2 22.464,0 22.464,0 18.752 26.176 5.249,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.504 2 22.752,0 22.752,0 18.688 26.816 5.747,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 78.880 2 39.440,0 39.440,0 36.224 42.656 4.548,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.512 2 22.256,0 22.256,0 18.112 26.400 5.860,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 46.112 2 23.056,0 23.056,0 18.432 27.680 6.539,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.768 2 22.384,0 22.384,0 18.144 26.624 5.996,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.888 2 22.944,0 22.944,0 18.528 27.360 6.245,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.024 2 22.512,0 22.512,0 18.528 26.496 5.634,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 51.648 2 25.824,0 25.824,0 21.984 29.664 5.430,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.728 2 22.864,0 22.864,0 18.560 27.168 6.086,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.992 2 22.496,0 22.496,0 18.144 26.848 6.154,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.160 2 22.080,0 22.080,0 17.824 26.336 6.018,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.992 2 22.496,0 22.496,0 18.752 26.240 5.294,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 84.032 2 42.016,0 42.016,0 36.640 47.392 7.602,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 79.744 2 39.872,0 39.872,0 36.224 43.520 5.159,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 46.592 2 23.296,0 23.296,0 18.848 27.744 6.290,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.120 2 22.560,0 22.560,0 18.112 27.008 6.290,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.320 2 22.160,0 22.160,0 17.984 26.336 5.905,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.576 2 22.288,0 22.288,0 18.144 26.432 5.860,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.704 2 22.352,0 22.352,0 18.336 26.368 5.679,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 50.336 2 25.168,0 25.168,0 21.664 28.672 4.955,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 50.976 2 25.488,0 25.488,0 21.696 29.280 5.362,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.128 2 22.064,0 22.064,0 17.856 26.272 5.951,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.544 2 22.272,0 22.272,0 18.016 26.528 6.018,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.248 2 22.624,0 22.624,0 18.848 26.400 5.340,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 73.056 2 36.528,0 36.528,0 33.504 39.552 4.276,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.704 2 22.352,0 22.352,0 18.176 26.528 5.905,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.896 2 22.448,0 22.448,0 17.952 26.944 6.358,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.280 2 22.640,0 22.640,0 17.984 27.296 6.584,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.184 2 22.592,0 22.592,0 17.920 27.264 6.607,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 79.584 2 39.792,0 39.792,0 36.000 43.584 5.362,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.992 2 22.496,0 22.496,0 18.432 26.560 5.747,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.416 2 22.208,0 22.208,0 18.304 26.112 5.521,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.664 2 22.832,0 22.832,0 18.848 26.816 5.634,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.608 2 22.304,0 22.304,0 17.792 26.816 6.380,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.280 2 22.640,0 22.640,0 17.984 27.296 6.584,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 51.296 2 25.648,0 25.648,0 22.432 28.864 4.548,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 43.968 2 21.984,0 21.984,0 17.760 26.208 5.973,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.728 2 22.864,0 22.864,0 18.912 26.816 5.589,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 46.272 2 23.136,0 23.136,0 18.720 27.552 6.245,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.704 2 22.352,0 22.352,0 17.856 26.848 6.358,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.800 2 22.400,0 22.400,0 17.856 26.944 6.426,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 46.176 2 23.088,0 23.088,0 17.792 28.384 7.489,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.192 2 22.096,0 22.096,0 17.664 26.528 6.267,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.088 2 22.544,0 22.544,0 18.560 26.528 5.634,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.064 2 22.032,0 22.032,0 17.824 26.240 5.951,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.024 2 22.512,0 22.512,0 18.432 26.592 5.770,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.728 2 22.864,0 22.864,0 18.304 27.424 6.448,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.184 2 22.592,0 22.592,0 18.464 26.720 5.837,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.824 2 22.912,0 22.912,0 18.016 27.808 6.924,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 48.288 2 24.144,0 24.144,0 19.808 28.480 6.132,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.184 2 22.592,0 22.592,0 18.656 26.528 5.566,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 75.168 2 37.584,0 37.584,0 34.144 41.024 4.864,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.888 2 22.944,0 22.944,0 18.560 27.328 6.199,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 78.624 2 39.312,0 39.312,0 35.648 42.976 5.181,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.896 2 22.448,0 22.448,0 17.696 27.200 6.720,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.576 2 22.288,0 22.288,0 18.304 26.272 5.634,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.696 2 22.848,0 22.848,0 18.400 27.296 6.290,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 78.880 2 39.440,0 39.440,0 35.968 42.912 4.910,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.664 2 22.832,0 22.832,0 18.176 27.488 6.584,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.280 2 22.640,0 22.640,0 18.304 26.976 6.132,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.152 2 22.576,0 22.576,0 18.592 26.560 5.634,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.024 2 22.512,0 22.512,0 18.144 26.880 6.177,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.152 2 22.576,0 22.576,0 18.368 26.784 5.951,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 79.552 2 39.776,0 39.776,0 36.608 42.944 4.480,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 73.120 2 36.560,0 36.560,0 33.696 39.424 4.050,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.440 2 22.720,0 22.720,0 18.016 27.424 6.652,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
