0.0 20128 2 10064.0 10064.0 8224 11904 2602.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19776 2 9888.0 9888.0 7648 12128 3167.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20192 2 10096.0 10096.0 8608 11584 2104.3 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19232 2 9616.0 9616.0 7648 11584 2783.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19296 2 9648.0 9648.0 7584 11712 2918.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20736 2 10368.0 10368.0 8128 12608 3167.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20256 2 10128.0 10128.0 8128 12128 2828.4 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20416 2 10208.0 10208.0 8064 12352 3032.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20128 2 10064.0 10064.0 8288 11840 2511.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 21408 2 10704.0 10704.0 8672 12736 2873.7 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20512 2 10256.0 10256.0 8832 11680 2013.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20320 2 10160.0 10160.0 7584 12736 3643.0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20608 2 10304.0 10304.0 8448 12160 2624.8 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19712 2 9856.0 9856.0 7584 12128 3213.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19296 2 9648.0 9648.0 7584 11712 2918.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19232 2 9616.0 9616.0 7648 11584 2783.2 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 19968 2 9984.0 9984.0 7648 12320 3303.6 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20128 2 10064.0 10064.0 8480 11648 2240.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 20448 2 10224.0 10224.0 8768 11680 2059.1 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0.0 11040 2 5520.0 5520.0 3840 7200 2375.9 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
