6.1 34139872 100 341398.7 341456.0 339776 343136 652.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34130592 100 341305.9 341248.0 339712 342816 656.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34142720 100 341427.2 341328.0 340128 342880 640.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
4.8 19352800 100 193528.0 193408.0 191712 197664 980.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 32077024 100 320770.2 341248.0 202912 342592 49324.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34131360 100 341313.6 341312.0 339424 342976 759.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34134816 100 341348.2 341392.0 339872 342880 683.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34133984 100 341339.8 341264.0 339872 342944 704.6 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34120544 100 341205.4 341136.0 339904 342656 691.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 31805600 100 318056.0 341152.0 203392 344032 51779.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 31742560 100 317425.6 341056.0 198848 343168 52716.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34119136 100 341191.4 341248.0 339488 342464 659.6 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34129376 100 341293.8 341248.0 339904 343360 669.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34126656 100 341266.6 341248.0 339552 343008 653.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 31612384 100 316123.8 341312.0 199296 343168 54371.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34068000 100 340680.0 340640.0 337728 342880 1069.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34126656 100 341266.6 341232.0 339776 343360 655.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
