1.4 7308096 100 73081.0 76000.0 57056 77888 6833.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7811328 100 78113.3 78112.0 77216 81088 571.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5484576 100 54845.8 52992.0 50528 72800 5783.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7022304 100 70223.0 79952.0 54272 82176 11482.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8323968 100 83239.7 83312.0 80800 84992 724.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7482752 100 74827.5 74704.0 73792 80576 792.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7719680 100 77196.8 77168.0 76320 78944 513.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7780864 100 77808.6 77824.0 76288 80480 614.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7574784 100 75747.8 75792.0 74112 80000 782.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8365824 100 83658.2 83712.0 82496 85376 553.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7535008 100 75350.1 75264.0 74400 81152 775.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 5710656 100 57106.6 57104.0 53760 59456 977.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 8078176 100 80781.8 80528.0 79680 83200 726.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8225280 100 82252.8 82240.0 80832 84704 649.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7880864 100 78808.6 78848.0 77760 80576 578.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5340096 100 53401.0 53328.0 51712 56000 723.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7028160 100 70281.6 73232.0 52352 76096 7229.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7849408 100 78494.1 78352.0 77344 80672 575.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7678336 100 76783.4 76784.0 75712 81440 687.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7711360 100 77113.6 76992.0 76128 81472 707.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7756352 100 77563.5 77456.0 76288 81632 712.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7375776 100 73757.8 77216.0 55744 79872 7786.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7082240 100 70822.4 74224.0 52832 75296 7643.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7547584 100 75475.8 75472.0 74432 79360 600.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8204928 100 82049.3 81952.0 81120 83232 555.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7592000 100 75920.0 75872.0 74592 80800 742.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7214336 100 72143.4 75648.0 54880 77056 7689.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7954944 100 79549.4 80016.0 77440 82848 1356.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8295296 100 82953.0 83008.0 81408 84544 552.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7674464 100 76744.6 76624.0 75648 80064 712.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8065536 100 80655.4 80640.0 79456 83616 649.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7630784 100 76307.8 76240.0 74944 82016 792.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 8032800 100 80328.0 80336.0 78976 82208 672.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7530176 100 75301.8 75232.0 74272 79872 688.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7759424 100 77594.2 77568.0 76672 80864 577.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7317664 100 73176.6 71056.0 69504 78272 3298.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7922624 100 79226.2 79216.0 76864 80448 613.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8282400 100 82824.0 82768.0 81024 84576 584.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7806400 100 78064.0 77936.0 77088 82528 711.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7742848 100 77428.5 77424.0 76160 80000 666.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7617472 100 76174.7 76096.0 75136 80512 669.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7557984 100 75579.8 78432.0 59104 80192 6865.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7533728 100 75337.3 75264.0 74144 80320 680.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7947648 100 79476.5 79392.0 78400 81792 601.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5004768 100 50047.7 49904.0 48672 57568 1000.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7703840 100 77038.4 77056.0 75936 80960 661.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7764480 100 77644.8 77520.0 76352 79424 591.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 6122016 100 61220.2 56368.0 47776 77888 12577.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8269216 100 82692.2 82688.0 81056 84192 570.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7374784 100 73747.8 77568.0 56576 78816 7862.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 4979008 100 49790.1 49632.0 48800 54560 741.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7549568 100 75495.7 75472.0 74336 82368 907.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7566016 100 75660.2 75600.0 74432 81184 786.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7496160 100 74961.6 74944.0 73856 80256 724.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7470016 100 74700.2 74688.0 73472 80576 845.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7672288 100 76722.9 76704.0 75360 80960 681.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7675936 100 76759.4 78752.0 59360 79904 5819.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7254144 100 72541.4 75552.0 56064 77184 7055.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7188096 100 71881.0 74176.0 55232 75808 6132.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7482976 100 74829.8 74816.0 73600 81632 910.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7642048 100 76420.5 76224.0 75584 80704 697.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7790624 100 77906.2 78624.0 59072 80032 3661.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7443200 100 74432.0 74400.0 73216 79296 795.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 6148128 100 61481.3 57200.0 47136 77024 11955.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7934208 100 79342.1 79232.0 78144 80608 552.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7246016 100 72460.2 76032.0 55104 78464 7761.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7767904 100 77679.0 77696.0 76544 80384 485.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8043616 100 80436.2 80320.0 79744 81824 486.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7655520 100 76555.2 76656.0 75232 79328 657.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7908320 100 79083.2 79024.0 77856 83008 730.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7818400 100 78184.0 78176.0 76864 82688 705.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8490304 100 84903.0 84976.0 81024 86432 700.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 7973696 100 79737.0 79712.0 78784 80672 450.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7724992 100 77249.9 77184.0 76224 81056 648.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.6 9031904 100 90319.0 90288.0 84928 93696 888.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7690048 100 76900.5 76832.0 75552 80416 598.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7696768 100 76967.7 77376.0 74368 80928 1509.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.6 8854208 100 88542.1 88512.0 80128 91040 1102.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7564896 100 75649.0 73184.0 72128 110368 8927.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.6 8984448 100 89844.5 89840.0 82944 92000 1039.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7451808 100 74518.1 75760.0 68224 77152 2774.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7321568 100 73215.7 73120.0 72032 81440 1014.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.6 7478368 100 74783.7 73072.0 62112 90592 10237.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7490912 100 74909.1 74768.0 73600 80352 795.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7315072 100 73150.7 73088.0 71936 82176 1028.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5504480 100 55044.8 52400.0 49568 74688 5841.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7662368 100 76623.7 76512.0 75456 83008 893.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7704864 100 77048.6 76992.0 75872 80960 650.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7619008 100 76190.1 76064.0 74880 81344 750.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7570784 100 75707.8 75600.0 74624 81536 743.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8352704 100 83527.0 83504.0 82272 84800 549.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7810560 100 78105.6 78016.0 77120 81888 606.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7540064 100 75400.6 75344.0 74016 81344 841.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7658400 100 76584.0 76544.0 75552 79904 602.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7700576 100 77005.8 76880.0 75648 83456 888.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7470688 100 74706.9 74544.0 73696 80832 816.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 6514912 100 65149.1 59056.0 51520 79232 11738.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 6293760 100 62937.6 57904.0 52000 78304 10926.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7530304 100 75303.0 75312.0 74112 79840 647.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5284576 100 52845.8 52800.0 51296 54720 698.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 6603808 100 66038.1 74032.0 47008 75744 11227.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7891648 100 78916.5 78880.0 77856 81472 578.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7724704 100 77247.0 77168.0 76064 80544 660.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7171168 100 71711.7 74192.0 53088 75264 6569.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 7864288 100 78642.9 81632.0 62656 83328 6947.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7998496 100 79985.0 80000.0 78624 81024 469.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7584448 100 75844.5 75808.0 74592 81632 741.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7556896 100 75569.0 75424.0 74528 83008 936.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7655232 100 76552.3 76544.0 75104 81760 811.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7489920 100 74899.2 74848.0 73888 81152 802.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7739424 100 77394.2 77440.0 76160 80128 639.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 6204384 100 62043.8 58304.0 52192 79328 10477.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.6 8741856 100 87418.6 87616.0 80800 91040 1604.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 6688864 100 66888.6 76192.0 49600 77760 11439.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7627136 100 76271.4 78096.0 57920 79616 5734.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7062656 100 70626.6 74784.0 54848 76320 8002.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7761920 100 77619.2 77520.0 76352 83520 788.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7552896 100 75529.0 75504.0 74368 80576 721.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7659904 100 76599.0 76528.0 75520 80256 730.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7495776 100 74957.8 74880.0 73696 80672 786.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7672032 100 76720.3 76608.0 75488 82560 823.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 6093024 100 60930.2 55280.0 51712 79264 9569.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7551072 100 75510.7 75408.0 74496 80864 730.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7296128 100 72961.3 76016.0 54816 77600 7364.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7054304 100 70543.0 70496.0 69376 72736 563.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7190944 100 71909.4 71776.0 70816 80352 1035.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8115808 100 81158.1 81200.0 79648 82432 573.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7432384 100 74323.8 74224.0 72992 80736 822.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8119488 100 81194.9 81712.0 60832 82912 3268.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7575744 100 75757.4 75680.0 74560 80512 696.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7362016 100 73620.2 73568.0 72576 80928 944.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7769952 100 77699.5 78800.0 61568 80384 4190.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7503456 100 75034.6 74976.0 73568 79168 744.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7555872 100 75558.7 76992.0 70080 78848 3000.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8043040 100 80430.4 80992.0 60928 82208 3271.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7442816 100 74428.2 75584.0 67872 76768 2677.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7756064 100 77560.6 80384.0 58720 81504 7055.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7867200 100 78672.0 78560.0 77536 80832 583.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7050400 100 70504.0 72752.0 51616 73920 6289.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 6702720 100 67027.2 76384.0 52480 78080 10834.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7685632 100 76856.3 76880.0 75104 80960 700.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7172896 100 71729.0 71680.0 70400 79648 933.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.7 9244128 100 92441.3 92656.0 82880 94848 1282.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7905120 100 79051.2 79008.0 78240 82624 538.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7296160 100 72961.6 72880.0 72000 80640 907.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7554112 100 75541.1 75504.0 74272 80576 740.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7512224 100 75122.2 77792.0 60736 79456 6362.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 8111104 100 81111.0 81072.0 79264 82464 587.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 7794048 100 77940.5 81120.0 62880 83040 6997.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5684096 100 56841.0 54800.0 53088 74496 6022.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5908160 100 59081.6 55136.0 51776 79584 9080.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8282720 100 82827.2 84640.0 73312 86304 3335.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5605248 100 56052.5 50736.0 48000 76352 9337.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7733792 100 77337.9 77280.0 76128 82944 782.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 6516832 100 65168.3 61936.0 53984 80224 10352.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 5735104 100 57351.0 57456.0 52224 58944 802.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.2 4805408 100 48054.1 48000.0 46848 57568 1083.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7620160 100 76201.6 77472.0 56736 79520 5046.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7574720 100 75747.2 78128.0 52928 80224 3993.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7490304 100 74903.0 74736.0 73792 79520 759.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7150784 100 71507.8 74896.0 54752 76096 7312.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 7836384 100 78363.8 81248.0 61248 83456 6890.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7340320 100 73403.2 76720.0 55968 78592 7505.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7712064 100 77120.6 77072.0 75968 81056 575.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7610272 100 76102.7 76048.0 74752 81440 717.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7649440 100 76494.4 76416.0 75488 80160 616.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7034912 100 70349.1 70240.0 69152 78656 1003.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7921120 100 79211.2 79168.0 78016 81152 556.1 CUDA_KERNEL prepare(long, float *, float *, float *)
