0.0 78272 1 78272.0 78272.0 78272 78272 0.0 CUDA_KERNEL compress(long, float *)
0.0 79104 1 79104.0 79104.0 79104 79104 0.0 CUDA_KERNEL compress(long, float *)
0.0 78112 1 78112.0 78112.0 78112 78112 0.0 CUDA_KERNEL compress(long, float *)
0.0 78560 1 78560.0 78560.0 78560 78560 0.0 CUDA_KERNEL compress(long, float *)
0.0 77152 1 77152.0 77152.0 77152 77152 0.0 CUDA_KERNEL compress(long, float *)
0.0 75808 1 75808.0 75808.0 75808 75808 0.0 CUDA_KERNEL compress(long, float *)
0.0 77184 1 77184.0 77184.0 77184 77184 0.0 CUDA_KERNEL compress(long, float *)
0.0 75936 1 75936.0 75936.0 75936 75936 0.0 CUDA_KERNEL compress(long, float *)
0.0 76096 1 76096.0 76096.0 76096 76096 0.0 CUDA_KERNEL compress(long, float *)
0.0 75328 1 75328.0 75328.0 75328 75328 0.0 CUDA_KERNEL compress(long, float *)
0.0 79904 1 79904.0 79904.0 79904 79904 0.0 CUDA_KERNEL compress(long, float *)
0.0 79968 1 79968.0 79968.0 79968 79968 0.0 CUDA_KERNEL compress(long, float *)
0.0 78752 1 78752.0 78752.0 78752 78752 0.0 CUDA_KERNEL compress(long, float *)
0.0 77472 1 77472.0 77472.0 77472 77472 0.0 CUDA_KERNEL compress(long, float *)
0.0 78240 1 78240.0 78240.0 78240 78240 0.0 CUDA_KERNEL compress(long, float *)
0.0 44096 1 44096.0 44096.0 44096 44096 0.0 CUDA_KERNEL compress(long, float *)
0.0 78304 1 78304.0 78304.0 78304 78304 0.0 CUDA_KERNEL compress(long, float *)
0.0 75264 1 75264.0 75264.0 75264 75264 0.0 CUDA_KERNEL compress(long, float *)
0.0 78976 1 78976.0 78976.0 78976 78976 0.0 CUDA_KERNEL compress(long, float *)
0.0 79616 1 79616.0 79616.0 79616 79616 0.0 CUDA_KERNEL compress(long, float *)
0.0 77376 1 77376.0 77376.0 77376 77376 0.0 CUDA_KERNEL compress(long, float *)
0.0 42112 1 42112.0 42112.0 42112 42112 0.0 CUDA_KERNEL compress(long, float *)
0.0 76224 1 76224.0 76224.0 76224 76224 0.0 CUDA_KERNEL compress(long, float *)
0.0 76032 1 76032.0 76032.0 76032 76032 0.0 CUDA_KERNEL compress(long, float *)
0.0 77088 1 77088.0 77088.0 77088 77088 0.0 CUDA_KERNEL compress(long, float *)
0.0 76992 1 76992.0 76992.0 76992 76992 0.0 CUDA_KERNEL compress(long, float *)
0.0 76416 1 76416.0 76416.0 76416 76416 0.0 CUDA_KERNEL compress(long, float *)
0.0 76416 1 76416.0 76416.0 76416 76416 0.0 CUDA_KERNEL compress(long, float *)
0.0 78144 1 78144.0 78144.0 78144 78144 0.0 CUDA_KERNEL compress(long, float *)
0.0 77344 1 77344.0 77344.0 77344 77344 0.0 CUDA_KERNEL compress(long, float *)
0.0 75072 1 75072.0 75072.0 75072 75072 0.0 CUDA_KERNEL compress(long, float *)
0.0 76032 1 76032.0 76032.0 76032 76032 0.0 CUDA_KERNEL compress(long, float *)
0.0 76480 1 76480.0 76480.0 76480 76480 0.0 CUDA_KERNEL compress(long, float *)
0.0 77920 1 77920.0 77920.0 77920 77920 0.0 CUDA_KERNEL compress(long, float *)
0.0 75360 1 75360.0 75360.0 75360 75360 0.0 CUDA_KERNEL compress(long, float *)
0.0 80032 1 80032.0 80032.0 80032 80032 0.0 CUDA_KERNEL compress(long, float *)
0.0 76288 1 76288.0 76288.0 76288 76288 0.0 CUDA_KERNEL compress(long, float *)
0.0 78688 1 78688.0 78688.0 78688 78688 0.0 CUDA_KERNEL compress(long, float *)
0.0 79200 1 79200.0 79200.0 79200 79200 0.0 CUDA_KERNEL compress(long, float *)
0.0 76864 1 76864.0 76864.0 76864 76864 0.0 CUDA_KERNEL compress(long, float *)
